,,,,,,,,,,,,,,,,,,,,,,,,Yoon_Eng_Name,Yoon_Eng_Name,Yoon_Eng_Name,Yoon_Eng_Name,Yoon_Eng_Name,Yoon_Eng_Name,Yoon_Eng_Name,Yoon_Eng_Name,Yoon_Eng_Name,Yoon_Eng_Name,,Yoon_Eng_Conc,Yoon_Eng_Conc,Yoon_Eng_Conc,Yoon_Eng_Conc,Yoon_Eng_Conc,Yoon_Eng_Conc,Yoon_Eng_Conc,Yoon_Eng_Conc,Yoon_Eng_Conc,Yoon_Eng_Conc,,Yoon_Chn_Name,Yoon_Chn_Name,Yoon_Chn_Name,Yoon_Chn_Name,Yoon_Chn_Name,Yoon_Chn_Name,Yoon_Chn_Name,Yoon_Chn_Name,Yoon_Chn_Name,Yoon_Chn_Name,,Yoon_Chn_Conc,Yoon_Chn_Conc,Yoon_Chn_Conc,Yoon_Chn_Conc,Yoon_Chn_Conc,Yoon_Chn_Conc,Yoon_Chn_Conc,Yoon_Chn_Conc,Yoon_Chn_Conc,Yoon_Chn_Conc,,SV_Eng_Name,SV_Eng_Name,SV_Eng_Name,SV_Eng_Name,SV_Eng_Name,SV_Eng_Name,SV_Eng_Name,SV_Eng_Name,SV_Eng_Name,SV_Eng_Name,,SV_Eng_Conc,SV_Eng_Conc,SV_Eng_Conc,SV_Eng_Conc,SV_Eng_Conc,SV_Eng_Conc,SV_Eng_Conc,SV_Eng_Conc,SV_Eng_Conc,SV_Eng_Conc,,SY_Eng_Exp_1,SY_Eng_Exp_1,SY_Eng_Exp_1,SY_Eng_Exp_1,SY_Eng_Exp_1,SY_Eng_Exp_1,SY_Eng_Exp_1,SY_Eng_Exp_1,SY_Eng_Exp_1,SY_Eng_Exp_1,,SY_Eng_Exp_2,SY_Eng_Exp_2,SY_Eng_Exp_2,SY_Eng_Exp_2,SY_Eng_Exp_2,SY_Eng_Exp_2,SY_Eng_Exp_2,SY_Eng_Exp_2,SY_Eng_Exp_2,SY_Eng_Exp_2,,Bates_Eng,Bates_Eng,Bates_Eng,Bates_Eng,Bates_Eng,Bates_Eng,Bates_Eng,Bates_Eng,Bates_Eng,Bates_Eng,,Bates_Chin,Bates_Chin,Bates_Chin,Bates_Chin,Bates_Chin,Bates_Chin,Bates_Chin,Bates_Chin,Bates_Chin,Bates_Chin,,OrigRow
7,011,arm,0.973,0.973,7.000,0.874,0.874,0.000,0.440,0.460,0.440,0.392,0.412,0.000,0.900,xxx,0.000,1.000,1.000,0.000,0.840,0.840,,---,---,0.0000,0.0000,0.0535,xxx,---,---,0.0017,0.0017,,---,---,0.0000,0.0000,0.0535,xxx,---,---,0.0017,0.0017,,0.0000,0.0000,---,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,---,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0000,,0.0535,0.0535,0.0000,0.0000,---,---,0.0481,0.0297,---,---,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,---,---,0.0000,0.0000,0.0481,xxx,---,---,0.0107,0.0107,,---,---,0.0000,0.0000,0.0297,xxx,---,---,0.0050,0.0050,,0.0017,0.0017,0.0000,0.0000,---,xxx,0.0107,0.0050,---,---,,0.0017,0.0017,0.0000,0.0000,---,xxx,0.0107,0.0050,---,---,,12
8,xxx,arrow,0.867,0.867,8.000,0.767,0.767,0.000,0.720,0.760,0.720,0.708,0.875,0.000,0.980,xxx,0.000,0.947,1.000,0.000,xxx,xxx,,---,---,0.0075,0.0434,0.0394,xxx,---,0.0102,xxx,xxx,,---,---,0.0075,0.0434,0.0394,xxx,---,0.0102,xxx,xxx,,0.0075,0.0075,---,---,0.0004,xxx,0.0043,0.0001,xxx,xxx,,0.0434,0.0434,---,---,0.0016,xxx,0.0131,0.0003,xxx,xxx,,0.0394,0.0394,0.0004,0.0016,---,---,---,---,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,---,---,0.0043,0.0131,---,xxx,---,---,xxx,xxx,,0.0102,0.0102,0.0001,0.0003,---,xxx,---,---,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,13
9,013,artichoke,0.360,0.360,9.000,0.710,0.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.520,xxx,0.000,0.622,0.395,0.000,0.790,0.190,,---,---,0.0000,0.0000,0.0711,xxx,0.0051,---,0.0000,0.0301,,---,---,0.0000,0.0000,0.0711,xxx,0.0051,---,0.0000,0.0301,,0.0000,0.0000,---,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,---,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0000,,0.0711,0.0711,0.0000,0.0000,---,---,---,---,0.0062,0.0009,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,0.0051,0.0051,0.0000,0.0000,---,xxx,---,0.0408,0.0849,0.0000,,---,---,0.0000,0.0000,---,xxx,0.0408,---,0.0001,0.0274,,0.0000,0.0000,0.0000,0.0000,0.0062,xxx,0.0849,0.0001,---,0.0000,,0.0301,0.0301,0.0000,0.0000,0.0009,xxx,0.0000,0.0274,0.0000,---,,14
10,014,ashtray,0.661,0.661,10.000,0.980,0.980,0.000,0.510,0.541,0.510,0.463,0.832,0.000,1.000,xxx,0.000,0.868,0.925,0.000,0.840,0.790,,---,---,0.0260,0.0745,0.0000,xxx,0.0156,0.0007,0.0192,0.0962,,---,---,0.0260,0.0745,0.0000,xxx,0.0156,0.0007,0.0192,0.0962,,0.0260,0.0260,---,---,0.0000,xxx,0.0001,0.0000,0.0001,0.0010,,0.0745,0.0745,---,---,0.0000,xxx,0.0004,0.0000,0.0003,0.0030,,0.0000,0.0000,0.0000,0.0000,---,---,0.0151,0.0703,0.0067,0.0016,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,0.0156,0.0156,0.0001,0.0004,0.0151,xxx,---,---,---,---,,0.0007,0.0007,0.0000,0.0000,0.0703,xxx,---,---,---,0.0628,,0.0192,0.0192,0.0001,0.0003,0.0067,xxx,---,---,---,---,,0.0962,0.0962,0.0010,0.0030,0.0016,xxx,---,0.0628,---,---,,15
11,015,asparagus,0.875,0.875,11.000,0.961,0.961,0.000,0.020,0.030,0.020,0.051,0.000,0.000,0.690,xxx,0.000,0.703,0.625,0.000,0.880,0.740,,---,---,0.0000,0.0000,0.0071,xxx,0.0150,0.0004,---,0.0328,,---,---,0.0000,0.0000,0.0071,xxx,0.0150,0.0004,---,0.0328,,0.0000,0.0000,---,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,---,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0000,,0.0071,0.0071,0.0000,0.0000,---,---,---,---,0.0250,---,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,0.0150,0.0150,0.0000,0.0000,---,xxx,---,---,0.0395,---,,0.0004,0.0004,0.0000,0.0000,---,xxx,---,---,0.0037,---,,---,---,0.0000,0.0000,0.0250,xxx,0.0395,0.0037,---,0.0744,,0.0328,0.0328,0.0000,0.0000,---,xxx,---,---,0.0744,---,,16
12,016,axe,0.982,0.982,12.000,0.767,0.767,0.000,1.000,1.000,1.000,0.979,0.979,0.000,0.900,xxx,0.000,0.947,0.976,0.000,0.860,0.930,,---,---,---,---,0.0201,xxx,---,---,0.0016,0.0881,,---,---,---,---,0.0201,xxx,---,---,0.0016,0.0881,,---,---,---,---,0.0013,xxx,0.0204,---,0.0001,0.0074,,---,---,---,---,0.0013,xxx,0.0204,---,0.0001,0.0074,,0.0201,0.0201,0.0013,0.0013,---,---,---,---,---,---,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,---,---,0.0204,0.0204,---,xxx,---,---,---,---,,---,---,---,---,---,xxx,---,---,0.0430,---,,0.0016,0.0016,0.0001,0.0001,---,xxx,---,0.0430,---,---,,0.0881,0.0881,0.0074,0.0074,---,xxx,---,---,---,---,,17
13,xxx,baby carriage,0.345,0.690,13.000,0.340,0.621,0.000,0.700,0.900,0.700,0.398,0.949,0.000,0.520,0.980,0.000,0.973,0.905,0.000,xxx,xxx,,---,0.0000,0.0000,0.0000,0.0475,0.0000,0.0000,0.0000,xxx,xxx,,0.0000,---,---,0.0002,0.0491,0.0001,0.0005,0.0048,xxx,xxx,,0.0000,---,---,0.0004,0.0406,0.0002,0.0007,0.0072,xxx,xxx,,0.0000,0.0002,0.0004,---,0.0000,---,---,---,xxx,xxx,,0.0475,0.0491,0.0406,0.0000,---,0.0000,0.0000,0.0001,xxx,xxx,,0.0000,0.0001,0.0002,---,0.0000,---,---,---,xxx,xxx,,0.0000,0.0005,0.0007,---,0.0000,---,---,---,xxx,xxx,,0.0000,0.0048,0.0072,---,0.0001,---,---,---,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,18
14,024,ball,0.938,0.938,14.000,0.874,0.874,0.000,0.276,0.541,0.276,0.424,0.598,0.000,0.930,xxx,0.000,0.974,1.000,0.000,1.000,0.690,,---,---,0.0000,0.0000,---,xxx,---,0.0877,0.0720,0.0000,,---,---,0.0000,0.0000,---,xxx,---,0.0877,0.0720,0.0000,,0.0000,0.0000,---,0.0001,0.0000,xxx,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0001,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0798,,---,---,0.0000,0.0000,---,---,---,0.0710,0.0572,0.0042,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,---,---,0.0000,0.0000,---,xxx,---,---,---,0.0008,,0.0877,0.0877,0.0000,0.0000,0.0710,xxx,---,---,---,0.0000,,0.0720,0.0720,0.0000,0.0000,0.0572,xxx,---,---,---,0.0000,,0.0000,0.0000,0.0000,0.0798,0.0042,xxx,0.0008,0.0000,0.0000,---,,19
15,xxx,balloon,1.000,1.000,15.000,0.932,0.932,0.000,0.960,0.960,0.960,0.644,0.656,0.000,1.000,xxx,0.000,1.000,1.000,0.000,xxx,xxx,,---,---,0.0310,0.0310,---,xxx,---,---,xxx,xxx,,---,---,0.0310,0.0310,---,xxx,---,---,xxx,xxx,,0.0310,0.0310,---,---,---,xxx,---,---,xxx,xxx,,0.0310,0.0310,---,---,---,xxx,---,---,xxx,xxx,,---,---,---,---,---,---,---,---,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,---,---,---,---,---,xxx,---,---,xxx,xxx,,---,---,---,---,---,xxx,---,---,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,20
16,026,banana,1.000,1.000,16.000,1.000,1.000,0.000,0.929,0.929,0.929,0.990,0.990,0.000,1.000,xxx,0.000,1.000,0.976,0.000,1.000,1.000,,---,---,0.0039,0.0039,---,xxx,---,0.0984,---,---,,---,---,0.0039,0.0039,---,xxx,---,0.0984,---,---,,0.0039,0.0039,---,---,0.0755,xxx,0.0950,---,0.0528,0.0528,,0.0039,0.0039,---,---,0.0755,xxx,0.0950,---,0.0528,0.0528,,---,---,0.0755,0.0755,---,---,---,---,---,---,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,---,---,0.0950,0.0950,---,xxx,---,---,---,---,,0.0984,0.0984,---,---,---,xxx,---,---,---,---,,---,---,0.0528,0.0528,---,xxx,---,---,---,---,,---,---,0.0528,0.0528,---,xxx,---,---,---,---,,21
17,xxx,barn,0.779,0.796,17.000,0.738,0.971,0.000,0.020,0.020,0.020,0.000,0.000,0.000,0.690,0.900,0.000,0.973,0.930,0.000,xxx,xxx,,---,---,0.0000,0.0000,---,0.0862,0.0067,0.0249,xxx,xxx,,---,---,0.0000,0.0000,---,---,0.0110,0.0415,xxx,xxx,,0.0000,0.0000,---,---,0.0000,0.0000,0.0000,0.0000,xxx,xxx,,0.0000,0.0000,---,---,0.0000,0.0000,0.0000,0.0000,xxx,xxx,,---,---,0.0000,0.0000,---,0.0171,0.0010,0.0040,xxx,xxx,,0.0862,---,0.0000,0.0000,0.0171,---,---,---,xxx,xxx,,0.0067,0.0110,0.0000,0.0000,0.0010,---,---,---,xxx,xxx,,0.0249,0.0415,0.0000,0.0000,0.0040,---,---,---,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,22
18,030,barrel,0.982,0.982,18.000,0.971,0.971,0.000,0.140,0.150,0.140,0.174,0.185,0.000,1.000,xxx,0.000,0.921,0.952,0.000,0.980,0.350,,---,---,0.0000,0.0000,---,xxx,0.0705,---,---,0.0000,,---,---,0.0000,0.0000,---,xxx,0.0705,---,---,0.0000,,0.0000,0.0000,---,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0029,,0.0000,0.0000,---,---,0.0000,xxx,0.0000,0.0000,0.0000,0.0051,,---,---,0.0000,0.0000,---,---,0.0634,---,---,0.0000,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,0.0705,0.0705,0.0000,0.0000,0.0634,xxx,---,---,---,0.0000,,---,---,0.0000,0.0000,---,xxx,---,---,---,0.0000,,---,---,0.0000,0.0000,---,xxx,---,---,---,0.0000,,0.0000,0.0000,0.0029,0.0051,0.0000,xxx,0.0000,0.0000,0.0000,---,,23
19,xxx,baseball bat,0.655,1.000,19.000,0.485,0.922,0.000,0.390,0.500,0.390,0.149,0.195,0.000,0.520,1.000,0.000,1.000,1.000,0.000,xxx,xxx,,---,0.0000,0.0001,0.0222,---,0.0000,0.0000,0.0000,xxx,xxx,,0.0000,---,0.0000,0.0000,0.0000,---,---,---,xxx,xxx,,0.0001,0.0000,---,---,---,0.0000,0.0000,0.0000,xxx,xxx,,0.0222,0.0000,---,---,---,0.0000,0.0000,0.0000,xxx,xxx,,---,0.0000,---,---,---,0.0000,0.0000,0.0000,xxx,xxx,,0.0000,---,0.0000,0.0000,0.0000,---,---,---,xxx,xxx,,0.0000,---,0.0000,0.0000,0.0000,---,---,---,xxx,xxx,,0.0000,---,0.0000,0.0000,0.0000,---,---,---,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,24
20,031,basket,0.841,0.841,20.000,0.951,0.951,0.000,0.620,0.650,0.620,0.459,0.643,0.000,0.900,xxx,0.000,0.974,1.000,0.000,0.980,0.910,,---,---,0.0003,0.0013,---,xxx,0.0342,0.0045,0.0106,---,,---,---,0.0003,0.0013,---,xxx,0.0342,0.0045,0.0106,---,,0.0003,0.0003,---,---,0.0009,xxx,0.0000,0.0000,0.0000,0.0002,,0.0013,0.0013,---,---,0.0024,xxx,0.0001,0.0000,0.0000,0.0007,,---,---,0.0009,0.0024,---,---,---,0.0297,0.0979,---,,xxx,xxx,xxx,xxx,xxx,---,xxx,xxx,xxx,xxx,,0.0342,0.0342,0.0000,0.0001,---,xxx,---,---,---,---,,0.0045,0.0045,0.0000,0.0000,0.0297,xxx,---,---,---,0.0392,,0.0106,0.0106,0.0000,0.0000,0.0979,xxx,---,---,---,---,,---,---,0.0002,0.0007,---,xxx,---,0.0392,---,---,,25
