,,,,University of Michigan Norms 1  (n = 113),,,,,,,,,,Snodgrass & Vanderwart Norms 2 (n = 42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picture,Concept 4,,,Familiarity 5,,,Name agreement 6,,,Concept agreement 7,,,,Familiarity 5,,,Name agreement 6,,,Concept agreement 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no. 3,,,,Mean,s.d.,,H,%,,%,,,,Mean,s.d.,,H,%,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,clothespin,,,2.84,0.89,,1.41,75,,79,,,,2.80,1.47,,0.83,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,cloud,,,4.39,0.93,a,0.92,82,b,82,,,,3.82,1.19,a,0.17,95,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,clown,,,2.52,0.91,,0.15,98,,98,,,,2.60,1.16,,0.28,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,coat,,,3.73,1.00,,1.95,58,b,58,,,,3.88,1.19,,0.95,79,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,comb,,,4.10,1.03,a,0.07,99,b,99,,,,4.52,0.87,a,0.44,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,corn,,,3.82,0.80,a,0.95,82,,82,,,,3.50,1.05,a,0.88,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,couch,,,4.65,0.62,a,0.88,82,b,96,,,,4.40,0.74,a,0.92,67,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,cow ,,,2.64,1.07,,0.39,95,,95,,,,2.42,1.20,,0.44,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,crown,,,2.13,0.98,a,0.18,97,,97,,,,1.52,0.81,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,cup,,,4.21,0.92,,1.58,63,b,63,,,,4.40,0.83,,0.44,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,deer,,,2.84,1.07,a,0.75,87,,96,c,,,2.22,1.21,a,1.44,76,,83,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,desk,,,4.73,0.50,a,0.15,98,,98,,,,4.32,0.90,a,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,dog,,,4.27,0.87,a,0.07,99,,100,,,,4.60,0.70,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,doll,,,3.29,1.27,,1.92,57,,57,c,,,2.92,1.14,,1.42,71,,93,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,donkey,,,2.12,0.90,,1.33,72,b,72,,,,1.88,0.87,,0.87,86,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,door,,,4.84,0.54,,0.18,97,,97,,,,4.68,0.79,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,doorknob,,,4.83,0.48,a,0.57,91,,91,,,,4.25,0.92,a,0.38,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,dress,,,3.88,1.01,,0.40,95,,95,,,,3.62,1.46,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,dresser,,,4.58,0.75,,1.26,76,b,99,c,,,4.52,0.77,,2.55,36,b,90,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
