Photograph,Category,Category_Code,Gender,Valence_ratings,Arousal_ratings,RT_free,RT_250ms,RT_100ms,RT_33ms,Mean_RT,Resp_Unpl_free,Resp_Neut_free,Resp_Plea_free,Resp_Unpl_250ms,Resp_Neut_250ms,Resp_Plea_250ms,Resp_Unpl_100ms,Resp_Neut_100ms,Resp_Plea_100ms,Resp_Unpl_33ms,Resp_Neut_33ms,Resp_Plea_33ms
        3350,Loss-Illness,22.00,2.00,1.76,5.78,703.55,788.22,821.26,"1,128.26",860.32,1.000,0.000,0.000,0.958,0.000,0.042,0.917,0.000,0.083,0.750,0.208,0.042
        3500,Human-Attack,33.00,2.00,1.94,7.16,633.09,693.38,708.91,792.50,706.97,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.958,0.042,0.000
        3530,Human-Attack,33.00,2.00,1.51,6.80,608.21,791.64,706.96,"1,000.95",776.94,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.667,0.292,0.042
        3550,Mutilation,44.00,2.00,1.98,6.14,705.92,697.75,703.55,825.22,733.11,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.000,0.042,1.000,0.000,0.000
        4220,.,0.00,2.00,5.29,3.63,"1,092.09","1,022.65",957.09,918.54,997.59,0.000,0.333,0.667,0.000,0.250,0.750,0.042,0.208,0.750,0.042,0.250,0.708
        4250,.,0.00,2.00,5.18,3.31,761.86,"1,020.75",789.67,954.35,881.66,0.000,0.125,0.875,0.000,0.417,0.583,0.000,0.250,0.750,0.000,0.167,0.833
        4533,Sport,4.00,2.00,7.00,5.89,947.04,899.96,930.83,"1,023.25",950.27,0.042,0.375,0.583,0.000,0.250,0.750,0.000,0.208,0.792,0.000,0.375,0.625
        4542,Adventure,1.00,2.00,7.51,6.17,870.45,"1,014.95",977.43,927.88,947.68,0.000,0.333,0.667,0.000,0.333,0.667,0.042,0.250,0.708,0.042,0.250,0.708
        4572,.,0.00,2.00,7.52,6.30,903.46,880.22,"1,133.71","1,148.54","1,016.48",0.000,0.167,0.833,0.000,0.125,0.875,0.042,0.167,0.792,0.042,0.250,0.708
        4574,.,0.00,2.00,7.40,4.95,682.13,732.85,956.08,780.25,787.83,0.000,0.042,0.958,0.000,0.167,0.833,0.000,0.292,0.708,0.000,0.125,0.875
        4598,.,0.00,2.00,6.13,5.77,992.39,"1,025.14","1,128.96","1,051.64","1,049.53",0.542,0.042,0.417,0.208,0.042,0.750,0.292,0.083,0.625,0.292,0.083,0.625
        4599,Erotic-Romance,2.00,2.00,7.23,5.64,534.50,583.88,810.33,756.92,671.41,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.083,0.917,0.000,0.000,1.000
        4607,Erotic-Romance,2.00,2.00,6.25,5.59,905.91,661.35,698.13,817.67,770.77,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.042,0.958
        4610,Erotic-Romance,2.00,2.00,7.79,5.04,815.75,853.58,766.08,827.25,815.67,0.000,0.250,0.750,0.000,0.000,1.000,0.000,0.042,0.958,0.000,0.083,0.917
        4611,Erotic-Romance,2.00,2.00,6.00,5.58,812.33,664.00,717.71,705.83,724.97,0.000,0.125,0.875,0.000,0.042,0.958,0.000,0.000,1.000,0.000,0.000,1.000
        4614,Erotic-Romance,2.00,2.00,7.71,5.38,875.48,769.61,804.18,802.22,812.87,0.042,0.042,0.917,0.000,0.083,0.917,0.083,0.000,0.917,0.000,0.083,0.917
        4624,Erotic-Romance,2.00,2.00,7.17,5.21,758.39,756.43,758.67,791.58,766.27,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.042,0.958
        4625,Erotic-Romance,2.00,2.00,6.51,5.13,759.33,687.37,857.50,726.21,757.60,0.000,0.000,1.000,0.000,0.000,1.000,0.042,0.042,0.917,0.000,0.125,0.875
        4626,Erotic-Romance,2.00,2.00,7.80,6.06,561.71,721.55,677.82,746.00,676.77,0.000,0.042,0.958,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.042,0.958
        4640,Erotic-Romance,2.00,2.00,7.64,5.94,697.38,741.89,757.65,771.70,742.16,0.000,0.042,0.958,0.000,0.000,1.000,0.000,0.000,1.000,0.042,0.042,0.917
        4641,Erotic-Romance,2.00,2.00,7.21,5.33,729.87,680.20,662.91,836.09,727.27,0.000,0.083,0.917,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.042,0.958
        4643,Erotic-Romance,2.00,2.00,6.73,5.92,848.39,816.70,916.25,988.17,892.38,0.000,0.000,1.000,0.042,0.083,0.875,0.000,0.083,0.917,0.042,0.125,0.833
        4645,Erotic-Romance,2.00,2.00,6.90,5.81,602.00,729.86,713.46,816.08,715.35,0.000,0.000,1.000,0.000,0.125,0.875,0.000,0.000,1.000,0.042,0.042,0.917
        4653,Erotic-Romance,2.00,2.00,6.04,5.68,731.79,739.53,671.26,801.25,735.96,0.000,0.042,0.958,0.042,0.000,0.958,0.000,0.000,1.000,0.000,0.083,0.917
        4658,Erotic-Romance,2.00,2.00,6.08,6.16,"1,034.90",905.90,800.18,926.91,916.97,0.000,0.083,0.917,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.083,0.917
        4660,Erotic-Romance,2.00,2.00,7.22,6.31,562.88,769.67,688.22,731.71,688.12,0.000,0.000,1.000,0.000,0.083,0.917,0.000,0.000,1.000,0.000,0.000,1.000
        4680,Erotic-Romance,2.00,2.00,6.91,6.07,841.25,796.29,891.38,783.88,828.20,0.042,0.125,0.833,0.042,0.083,0.875,0.000,0.000,1.000,0.042,0.000,0.958
        4687,Erotic-Romance,2.00,2.00,6.64,6.49,799.35,718.05,677.92,868.67,766.00,0.000,0.042,0.958,0.000,0.000,1.000,0.000,0.042,0.958,0.083,0.083,0.833
        4690,Erotic-Romance,2.00,2.00,6.43,5.79,827.82,739.04,"1,070.17",902.88,884.98,0.000,0.000,1.000,0.000,0.000,1.000,0.042,0.125,0.833,0.083,0.083,0.833
        4695,Erotic-Romance,2.00,2.00,6.38,6.25,726.79,860.17,719.23,798.79,776.25,0.000,0.000,1.000,0.000,0.125,0.875,0.000,0.000,1.000,0.000,0.000,1.000
        4700,Erotic-Romance,2.00,2.00,7.08,4.10,801.13,874.29,679.17,768.13,780.68,0.000,0.042,0.958,0.000,0.042,0.958,0.000,0.042,0.958,0.000,0.167,0.833
        5410,.,0.00,2.00,6.41,3.18,942.39,828.88,"1,002.22","1,138.50",978.00,0.083,0.417,0.500,0.083,0.458,0.458,0.083,0.458,0.458,0.042,0.500,0.458
        5470,Adventure,1.00,2.00,7.33,5.61,"1,007.67",997.10,985.43,"1,024.55","1,003.69",0.083,0.667,0.250,0.000,0.250,0.750,0.083,0.417,0.500,0.083,0.500,0.417
        5621,Sport,4.00,2.00,7.80,7.00,973.22,974.48,"1,161.88","1,096.38","1,051.49",0.000,0.375,0.625,0.000,0.333,0.667,0.000,0.375,0.625,0.000,0.500,0.500
        5831,.,0.00,2.00,8.05,4.79,842.63,858.43,890.04,873.96,866.27,0.042,0.125,0.833,0.000,0.208,0.792,0.000,0.250,0.750,0.000,0.042,0.958
        5833,Adventure,1.00,2.00,8.27,5.14,825.83,886.00,897.17,936.38,886.35,0.000,0.125,0.833,0.000,0.250,0.750,0.000,0.125,0.875,0.000,0.125,0.875
        5836,Adventure,1.00,2.00,7.36,4.16,"1,010.78",897.14,834.17,961.17,925.82,0.125,0.292,0.583,0.000,0.292,0.708,0.042,0.208,0.750,0.042,0.375,0.583
        5875,.,0.00,2.00,6.16,3.24,"1,039.92",843.55,867.33,999.88,937.67,0.083,0.417,0.500,0.000,0.750,0.250,0.000,0.792,0.208,0.000,0.625,0.375
        6010,Loss-Illness,22.00,2.00,3.37,4.06,715.21,882.14,734.00,800.38,782.93,1.000,0.000,0.000,0.833,0.167,0.000,1.000,0.000,0.000,0.875,0.083,0.042
        6021,Mutilation,44.00,2.00,1.88,6.32,735.78,755.48,824.88,851.00,791.79,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        6190,Human-Attack,33.00,2.00,2.91,6.19,597.75,717.69,769.63,722.96,702.01,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        6211,Human-Attack,33.00,2.00,3.00,6.42,663.92,779.76,713.67,907.88,766.31,1.000,0.000,0.000,0.958,0.042,0.000,1.000,0.000,0.000,0.917,0.042,0.042
        6212,Human-Attack,33.00,2.00,1.81,6.53,793.74,837.41,999.41,"1,075.71",926.57,0.958,0.000,0.042,0.833,0.042,0.125,0.708,0.208,0.083,0.625,0.250,0.125
        6230,Human-Attack,33.00,2.00,2.06,7.56,639.78,755.59,845.50,829.63,767.63,0.958,0.042,0.000,0.958,0.042,0.000,1.000,0.000,0.000,0.833,0.083,0.083
        6242,Human-Attack,33.00,2.00,2.24,5.68,607.21,778.57,721.78,731.09,709.66,1.000,0.000,0.000,0.917,0.083,0.000,0.958,0.042,0.000,1.000,0.000,0.000
        6243,Human-Attack,33.00,2.00,1.90,6.34,580.33,640.31,718.00,778.33,679.24,0.958,0.042,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.917,0.042,0.042
        6250,Human-Attack,33.00,2.00,2.70,6.72,538.71,687.84,720.67,734.71,670.48,1.000,0.000,0.000,0.958,0.042,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        6260,Human-Attack,33.00,2.00,2.35,6.76,508.67,787.59,752.50,718.50,691.82,0.958,0.042,0.000,0.958,0.042,0.000,0.958,0.042,0.000,1.000,0.000,0.000
        6311,Loss-Illness,22.00,2.00,2.36,5.12,"1,087.57","1,108.70",965.39,"1,147.87","1,077.38",0.917,0.083,0.000,0.750,0.083,0.167,0.750,0.083,0.167,0.458,0.167,0.375
        6312,Human-Attack,33.00,2.00,2.08,6.83,691.45,685.38,794.17,834.75,751.44,0.917,0.083,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.917,0.083,0.000
        6313,Human-Attack,33.00,2.00,1.61,7.27,628.79,747.68,748.04,928.71,763.31,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        6314,Human-Attack,33.00,2.00,4.25,5.08,"1,055.00","1,104.59","1,083.29",976.71,"1,054.90",0.625,0.208,0.167,0.417,0.250,0.333,0.542,0.208,0.250,0.375,0.250,0.375
        6315,Human-Attack,33.00,2.00,1.72,6.69,751.65,718.63,883.46,"1,014.13",841.97,1.000,0.000,0.000,1.000,0.000,0.000,0.875,0.042,0.083,0.833,0.083,0.083
        6350,Human-Attack,33.00,2.00,1.44,7.52,684.83,711.48,877.38,907.67,795.34,1.000,0.000,0.000,1.000,0.000,0.000,0.917,0.042,0.042,0.958,0.042,0.000
        6360,Human-Attack,33.00,2.00,1.86,6.82,829.50,891.88,807.96,"1,067.42",899.19,0.958,0.000,0.042,0.958,0.042,0.000,0.917,0.083,0.000,0.875,0.083,0.042
        6370,.,0.00,2.00,2.20,6.58,810.74,763.50,846.17,"1,116.04",884.11,1.000,0.000,0.000,0.958,0.042,0.000,0.917,0.042,0.042,0.750,0.250,0.000
        6510,Human-Attack,33.00,2.00,2.06,7.16,675.33,649.45,700.42,854.39,719.90,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.958,0.042,0.000
        6530,Human-Attack,33.00,2.00,2.65,6.35,"1,084.52","1,093.84",974.00,979.43,"1,032.95",0.833,0.083,0.083,0.292,0.292,0.417,0.458,0.167,0.375,0.375,0.167,0.458
        6540,Human-Attack,33.00,2.00,1.86,7.14,920.21,930.53,901.13,915.29,916.79,1.000,0.000,0.000,0.417,0.042,0.542,0.375,0.000,0.625,0.167,0.083,0.750
        6550,Human-Attack,33.00,2.00,2.08,7.20,604.63,727.59,709.74,806.46,712.11,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        6560,Human-Attack,33.00,2.00,1.78,6.86,615.33,715.38,694.38,796.33,705.36,1.000,0.000,0.000,0.958,0.042,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        6561,Human-Attack,33.00,2.00,2.79,5.49,948.00,822.13,"1,192.09",980.65,985.72,0.875,0.083,0.042,0.792,0.083,0.125,0.625,0.292,0.083,0.417,0.125,0.458
        6562,Human-Attack,33.00,2.00,2.89,5.03,"1,027.77",924.61,"1,018.42","1,018.75",997.39,0.958,0.042,0.000,0.667,0.333,0.000,0.458,0.375,0.167,0.375,0.500,0.125
6570.1,Human-Attack,33.00,2.00,2.25,6.37,543.71,714.12,681.74,787.41,681.75,1.000,0.000,0.000,1.000,0.000,0.000,0.917,0.083,0.000,1.000,0.000,0.000
        6571,Human-Attack,33.00,2.00,2.15,5.87,591.54,687.73,731.33,815.58,706.55,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.958,0.042,0.000
        6821,Human-Attack,33.00,2.00,1.85,6.62,731.09,675.11,773.67,853.38,758.31,0.958,0.000,0.042,0.958,0.042,0.000,0.917,0.083,0.000,0.917,0.083,0.000
        6825,Human-Attack,33.00,2.00,2.53,5.52,646.88,733.65,809.26,755.29,736.27,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.917,0.083,0.000
        6834,Human-Attack,33.00,2.00,2.40,6.63,924.57,782.05,852.42,880.00,859.76,1.000,0.000,0.000,1.000,0.000,0.000,0.875,0.083,0.042,0.833,0.167,0.000
        6836,Human-Attack,33.00,2.00,3.05,5.78,981.96,829.10,791.13,"1,032.50",908.67,1.000,0.000,0.000,0.875,0.125,0.000,0.958,0.042,0.000,0.875,0.125,0.000
        6838,Accidents,11.00,2.00,2.20,6.04,908.20,778.91,975.87,"1,133.54",949.13,0.958,0.042,0.000,0.917,0.042,0.042,0.750,0.083,0.167,0.625,0.167,0.208
        6840,Human-Attack,33.00,2.00,3.07,5.94,845.58,971.00,936.65,"1,013.33",941.64,1.000,0.000,0.000,0.958,0.042,0.000,0.958,0.042,0.000,0.875,0.125,0.000
        6940,Human-Attack,33.00,2.00,2.69,5.47,649.71,697.77,702.30,812.29,715.52,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000
        7325,Families-Babies,3.00,2.00,7.48,3.77,684.92,676.20,906.29,922.79,797.55,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.042,0.958,0.000,0.042,0.958
        7493,.,0.00,2.00,5.56,3.38,920.25,"1,005.74",907.21,"1,023.96",964.29,0.083,0.917,0.000,0.125,0.750,0.125,0.125,0.833,0.042,0.125,0.833,0.042
        7496,.,0.00,2.00,5.99,4.91,"1,090.43",852.83,838.65,"1,006.67",947.15,0.208,0.750,0.042,0.000,0.875,0.125,0.125,0.833,0.042,0.125,0.708,0.167
        7506,Adventure,1.00,2.00,5.16,4.00,"1,102.62","1,087.82","1,200.50","1,180.42","1,142.84",0.417,0.417,0.167,0.333,0.542,0.125,0.292,0.542,0.167,0.333,0.667,0.000
        7550,.,0.00,2.00,5.17,3.52,"1,020.22",911.52,"1,040.35","1,048.91","1,005.25",0.042,0.792,0.167,0.000,0.958,0.042,0.000,0.917,0.083,0.042,0.833,0.125
        8021,Sport,4.00,2.00,6.88,5.67,753.54,980.70,931.08,"1,031.71",924.26,0.000,0.667,0.333,0.125,0.583,0.292,0.000,0.542,0.458,0.000,0.583,0.417
        8030,Sport,4.00,2.00,7.35,7.38,903.30,"1,073.82",957.13,"1,184.33","1,029.65",0.000,0.417,0.583,0.000,0.417,0.583,0.000,0.625,0.375,0.000,0.583,0.417
        8032,Sport,4.00,2.00,7.25,4.77,"1,136.00",952.55,936.88,"1,009.54","1,008.74",0.000,0.458,0.542,0.042,0.250,0.708,0.000,0.375,0.625,0.042,0.250,0.708
        8034,Sport,4.00,2.00,7.19,6.38,956.09,992.57,996.86,871.65,954.29,0.042,0.667,0.292,0.000,0.458,0.542,0.000,0.667,0.333,0.000,0.500,0.500
        8040,Sport,4.00,2.00,6.70,5.53,933.45,"1,006.62",979.13,874.71,948.48,0.083,0.583,0.333,0.000,0.500,0.500,0.042,0.333,0.625,0.000,0.458,0.542
        8041,Sport,4.00,2.00,7.48,5.97,967.75,864.91,980.33,"1,051.63",966.16,0.000,0.458,0.542,0.042,0.583,0.375,0.000,0.500,0.500,0.000,0.750,0.250
        8080,Sport,4.00,2.00,7.73,6.25,"1,099.38",931.33,"1,123.83","1,065.22","1,054.94",0.042,0.500,0.500,0.000,0.500,0.500,0.042,0.708,0.250,0.167,0.458,0.375
        8120,Sport,4.00,2.00,7.15,4.60,824.96,943.36,831.74,"1,060.17",915.06,0.000,0.125,0.875,0.042,0.167,0.792,0.000,0.167,0.833,0.000,0.208,0.792
        8161,Sport,4.00,2.00,6.86,6.22,933.30,"1,022.00","1,053.79",926.75,983.96,0.000,0.417,0.583,0.083,0.625,0.292,0.042,0.583,0.375,0.083,0.542,0.375
        8179,Sport,4.00,2.00,6.04,7.10,989.19,"1,232.27","1,093.00","1,112.09","1,106.64",0.083,0.375,0.542,0.208,0.542,0.250,0.000,0.458,0.542,0.042,0.750,0.208
        8180,Adventure,1.00,2.00,6.86,6.63,"1,104.24","1,009.61",998.38,"1,089.18","1,050.35",0.167,0.333,0.500,0.125,0.292,0.583,0.125,0.333,0.542,0.125,0.458,0.417
        8185,Sport,4.00,2.00,7.75,7.42,923.81,"1,015.58",998.91,986.67,981.24,0.000,0.500,0.500,0.000,0.500,0.500,0.000,0.500,0.500,0.083,0.500,0.417
        8186,Sport,4.00,2.00,6.83,6.72,"1,002.82","1,098.23",872.04,"1,051.65","1,006.19",0.000,0.500,0.500,0.042,0.292,0.667,0.083,0.458,0.458,0.000,0.500,0.500
        8200,Sport,4.00,2.00,7.86,6.37,871.57,864.10,794.08,891.29,855.26,0.000,0.417,0.583,0.000,0.167,0.833,0.000,0.375,0.625,0.000,0.250,0.750
        8205,Sport,4.00,2.00,6.91,4.04,855.00,907.18,"1,028.71",972.46,940.84,0.000,0.458,0.542,0.042,0.417,0.542,0.000,0.375,0.625,0.000,0.250,0.750
        8210,Sport,4.00,2.00,7.60,6.00,956.14,927.52,"1,000.96","1,025.88",977.63,0.042,0.333,0.667,0.000,0.458,0.542,0.042,0.458,0.500,0.042,0.667,0.292
        8231,Sport,4.00,2.00,3.19,5.28,710.83,823.14,815.08,940.50,822.39,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.792,0.208,0.000
        8250,Sport,4.00,2.00,5.84,4.62,924.70,"1,074.36","1,031.13","1,002.08","1,008.07",0.042,0.583,0.375,0.083,0.458,0.458,0.042,0.750,0.208,0.083,0.625,0.292
        8260,Sport,4.00,2.00,5.46,5.02,879.57,966.67,"1,076.87","1,081.50","1,001.15",0.083,0.708,0.208,0.083,0.583,0.333,0.042,0.583,0.375,0.042,0.625,0.333
        8280,Sport,4.00,2.00,6.33,5.02,928.46,851.32,860.17,988.87,907.21,0.000,0.500,0.500,0.042,0.625,0.333,0.000,0.542,0.458,0.000,0.708,0.292
        8300,Adventure,1.00,2.00,6.54,6.26,"1,054.95","1,120.09","1,114.33","1,052.43","1,085.45",0.000,0.625,0.375,0.000,0.458,0.542,0.083,0.708,0.208,0.208,0.417,0.375
        8311,Sport,4.00,2.00,5.67,3.12,"1,102.13","1,033.09","1,063.59","1,072.39","1,067.80",0.042,0.625,0.333,0.167,0.250,0.583,0.042,0.583,0.375,0.000,0.542,0.458
        8320,.,0.00,2.00,6.14,4.08,"1,093.58","1,036.48","1,148.29","1,062.46","1,085.20",0.000,0.583,0.417,0.125,0.333,0.542,0.083,0.417,0.500,0.042,0.625,0.333
        8330,.,0.00,2.00,7.04,4.24,783.54,886.73,895.17,"1,061.33",906.69,0.000,0.083,0.917,0.000,0.125,0.875,0.042,0.125,0.833,0.042,0.250,0.708
        8341,Adventure,1.00,2.00,5.81,6.46,"1,051.86","1,045.87","1,078.82","1,149.43","1,081.50",0.250,0.500,0.250,0.208,0.500,0.292,0.250,0.500,0.250,0.375,0.583,0.042
        8350,Sport,4.00,2.00,7.52,5.40,805.79,812.09,910.83,920.04,862.19,0.000,0.125,0.875,0.042,0.083,0.875,0.000,0.167,0.833,0.000,0.250,0.750
        8370,Adventure,1.00,2.00,7.86,6.98,992.92,914.74,"1,104.83","1,026.58","1,009.77",0.083,0.333,0.583,0.167,0.292,0.542,0.000,0.167,0.833,0.000,0.583,0.417
        8380,Sport,4.00,2.00,7.88,5.47,731.29,939.71,831.17,871.22,843.35,0.042,0.042,0.917,0.042,0.042,0.917,0.083,0.167,0.750,0.000,0.125,0.875
        8400,Adventure,1.00,2.00,6.78,6.24,"1,122.79",992.10,"1,133.00","1,029.17","1,069.27",0.000,0.625,0.375,0.208,0.417,0.375,0.167,0.500,0.333,0.125,0.542,0.333
        8420,Adventure,1.00,2.00,7.90,5.41,838.96,931.32,"1,080.83",949.68,950.20,0.000,0.208,0.792,0.000,0.042,0.958,0.000,0.250,0.750,0.167,0.125,0.708
        8460,Sport,4.00,2.00,7.20,5.50,"1,186.75",940.70,903.52,994.00,"1,006.24",0.000,0.542,0.458,0.000,0.333,0.667,0.042,0.458,0.500,0.000,0.250,0.750
        8461,Adventure,1.00,2.00,7.54,4.54,810.46,884.13,"1,072.25",983.21,937.51,0.000,0.083,0.917,0.000,0.083,0.917,0.042,0.208,0.750,0.083,0.125,0.792
        8465,Sport,4.00,2.00,6.61,4.93,878.48,978.95,977.96,"1,012.08",961.87,0.000,0.292,0.708,0.000,0.583,0.417,0.000,0.500,0.500,0.000,0.417,0.583
        8466,.,0.00,2.00,4.49,4.84,"1,457.11","1,118.26","1,223.83","1,310.67","1,277.47",0.042,0.417,0.542,0.167,0.458,0.375,0.125,0.417,0.458,0.042,0.375,0.583
        8467,Sport,4.00,2.00,6.35,4.84,"1,038.91",838.77,"1,138.71",944.83,990.31,0.000,0.375,0.625,0.000,0.583,0.417,0.042,0.500,0.458,0.000,0.667,0.333
        8470,Sport,4.00,2.00,7.94,5.98,785.54,824.24,880.96,952.63,860.84,0.000,0.208,0.792,0.000,0.167,0.833,0.000,0.417,0.583,0.000,0.292,0.708
        8480,Accidents,11.00,2.00,3.16,3.59,689.27,845.65,752.08,818.00,776.25,0.958,0.042,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.917,0.042,0.042
        8485,Accidents,11.00,2.00,2.31,6.32,581.96,837.38,675.46,773.58,717.10,1.000,0.000,0.000,0.958,0.042,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        8490,Adventure,1.00,2.00,7.44,6.97,838.13,947.09,"1,021.96","1,122.21",982.35,0.000,0.125,0.875,0.042,0.125,0.833,0.125,0.208,0.667,0.167,0.167,0.667
        8496,Adventure,1.00,2.00,7.94,6.38,772.22,681.77,738.79,943.96,784.19,0.000,0.042,0.958,0.042,0.000,0.958,0.000,0.083,0.917,0.000,0.083,0.917
        8497,Adventure,1.00,2.00,7.70,4.46,775.50,949.57,"1,038.00","1,011.71",943.70,0.000,0.083,0.917,0.125,0.083,0.792,0.125,0.292,0.583,0.125,0.250,0.625
        8499,Adventure,1.00,2.00,7.70,5.56,"1,132.14","1,233.20","1,062.38","1,142.87","1,142.65",0.125,0.292,0.583,0.167,0.250,0.583,0.083,0.250,0.667,0.042,0.125,0.833
        8540,Sport,4.00,2.00,7.66,5.34,702.48,902.84,813.17,844.79,815.82,0.000,0.125,0.875,0.042,0.208,0.750,0.000,0.125,0.875,0.000,0.167,0.833
        8600,Adventure,1.00,2.00,6.51,4.33,"1,178.18","1,052.22","1,060.38","1,187.25","1,119.51",0.042,0.125,0.833,0.208,0.083,0.708,0.167,0.333,0.500,0.583,0.208,0.208
        8620,Adventure,1.00,2.00,5.97,4.71,"1,039.48","1,114.65","1,253.22",966.96,"1,093.58",0.042,0.375,0.583,0.167,0.333,0.500,0.083,0.542,0.375,0.083,0.375,0.542
        9040,Mutilation,44.00,2.00,1.50,6.44,881.74,862.21,840.09,930.48,878.63,0.958,0.000,0.042,0.958,0.042,0.000,1.000,0.000,0.000,0.875,0.042,0.083
        9041,.,0.00,2.00,2.65,4.90,"1,062.17","1,123.25","1,158.38","1,090.96","1,108.69",0.833,0.125,0.042,0.583,0.333,0.083,0.708,0.250,0.042,0.542,0.208,0.250
        9050,Accidents,11.00,2.00,1.90,6.63,693.17,672.81,845.87,981.33,798.30,0.958,0.042,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.542,0.375,0.083
        9070,.,0.00,2.00,5.13,3.73,923.32,"1,012.09","1,186.00","1,157.75","1,069.79",0.333,0.500,0.167,0.292,0.500,0.208,0.417,0.417,0.167,0.333,0.417,0.250
        9160,.,0.00,2.00,2.81,6.04,731.46,735.39,797.17,792.25,764.07,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        9210,.,0.00,2.00,4.64,3.26,985.88,973.04,"1,088.25","1,038.68","1,021.46",0.375,0.625,0.000,0.083,0.833,0.083,0.208,0.625,0.167,0.167,0.708,0.125
        9220,Loss-Illness,22.00,2.00,1.86,4.16,979.04,860.17,"1,213.83","1,066.83","1,029.97",0.917,0.083,0.000,0.875,0.125,0.000,0.792,0.125,0.083,0.542,0.250,0.208
        9230,Accidents,11.00,2.00,3.56,5.86,598.50,708.68,919.33,738.08,741.15,0.958,0.042,0.000,0.958,0.000,0.042,0.958,0.042,0.000,0.958,0.042,0.000
        9250,Mutilation,44.00,2.00,2.34,6.67,774.33,750.37,795.00,960.13,819.96,0.958,0.042,0.000,0.875,0.083,0.042,0.958,0.042,0.000,0.958,0.042,0.000
        9253,Mutilation,44.00,2.00,1.60,5.65,703.54,643.33,764.18,733.04,711.02,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        9254,Mutilation,44.00,2.00,1.88,6.33,738.54,750.00,781.75,767.42,759.43,0.958,0.000,0.042,1.000,0.000,0.000,0.958,0.042,0.000,0.917,0.083,0.000
        9265,Mutilation,44.00,2.00,2.42,4.48,816.22,828.67,724.04,825.57,798.63,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000
        9270,.,0.00,2.00,3.98,4.94,"1,198.62","1,157.83","1,069.87","1,087.88","1,128.55",0.625,0.375,0.000,0.708,0.250,0.042,0.458,0.417,0.125,0.458,0.500,0.042
        9341,.,0.00,2.00,3.26,4.73,812.21,"1,119.13",890.25,"1,039.32",965.23,0.875,0.125,0.000,0.625,0.375,0.000,0.708,0.250,0.042,0.542,0.417,0.042
        9342,.,0.00,2.00,2.53,4.56,793.04,701.35,903.46,831.38,807.31,0.958,0.042,0.000,0.958,0.042,0.000,1.000,0.000,0.000,0.917,0.083,0.000
        9400,Mutilation,44.00,2.00,2.03,6.33,574.00,714.85,680.33,882.29,712.87,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        9404,Human-Attack,33.00,2.00,2.92,4.75,698.83,775.63,654.50,743.71,718.17,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        9409,Human-Attack,33.00,2.00,2.67,5.69,830.50,819.05,798.75,948.63,849.23,0.958,0.000,0.042,0.917,0.083,0.000,0.958,0.000,0.042,0.708,0.125,0.167
        9410,Mutilation,44.00,2.00,1.20,7.54,717.43,643.68,790.35,847.50,749.74,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.000,0.042,0.958,0.000,0.042
        9415,Mutilation,44.00,2.00,2.58,5.32,975.57,"1,155.74","1,041.57","1,110.87","1,070.94",0.875,0.125,0.000,0.500,0.375,0.125,0.750,0.250,0.000,0.667,0.292,0.042
