"Appendix A"
"Words included in the database and their values in AoA Logistic Regression (AoA_LR), AoA based on the 75% rule (AoA_75), Adults Rated AoA (Rated AoA), Adults Picture Naming Times (RTs), Adults Rated Typicality (Typ _Ad), Adults Rated Familiarity (Fam_Ad), Corpus Word Frequency (Frq_Ad), Children Essays Word Frequency (Frq_Es), Word Length in letters (L)"
Italian nouns,English noun,AoA_LR,AoA_75,Rated AoA,RTs,Typ_Ad,Fam_Ad,Frq_Ad,Frq_Es,L
LAMPADA,LAMP,56.28,74.5,46.4,717,5.26,5.46,2.19,11.62,7
LEONE,LION,28.56,38.5,40.0,683,5.86,4.33,2.61,72.19,5
LETTO,BED,13.68,26.5,32.4,620,6.73,6.73,3.00,468.09,5
LIBRERIA,BOOKCASE,102.99,-,65.6,891,6.60,6.26,2.54,2.87,8
LIMONE,LEMON,42.49,56.5,44.0,1064,4.86,5.06,2.10,16.01,6
LOCOMOTIVA,LOCOMOTIVE,-,-,58.8,835,4.73,5.73,1.79,4.24,10
MAGLIONE,SWEATER,62.77,80.5,42.0,611,6.53,6.66,1.62,26.78,8
MAIALE,PIG,26.53,38.5,41.2,778,4.46,5.40,2.08,22.08,6
MANDOLINO,MANDOLIN,-,-,100.8,1149,4.13,3.53,0.90,-,9
MANETTE,HANDCUFFS,58.17,68.5,76.0,761,1.40,2.13,1.57,-,7
MAPPA,MAP,66.42,80.5,89.2,802,6.40,3.93,2.18,6.18,5
MAPPAMONDO,GLOBE,76.36,113.5,75.2,737,3.20,5.73,0.95,-,10
MARTELLO,HAMMER,35.95,50.5,56.4,672,6.26,3.93,1.62,5.04,8
MAZZA,STAFF,-,-,83.2,933,2.73,1.40,1.70,6.21,5
MELA,APPLE,14.94,26.5,31.2,770,6.93,6.33,2.26,35.23,4
MELANZANA,EGG-PLANT,80.74,101.5,64.8,954,5.26,6.40,1.27,-,9
MELOGRANO,POMEGRANATE,97.39,-,71.6,1587,4.53,4.40,0.69,-,9
MELONE,MELON,100.31,125.5,58.8,1380,4.20,4.33,1.46,-,6
MESTOLO,LADLE,-,-,61.2,854,6.20,6.86,0.95,-,7
MITRA,LIGHT MACHINE GUN,102.67,-,81.2,1037,6.20,1.26,2.03,-,5
MONGOLFIERA,FIRE-BALLOON,75.33,101.5,78.4,827,1.73,3.13,1.23,-,11
MORA,MULBERRY,104.15,113.5,67.6,1532,5.13,4.46,1.23,1.15,7
