"Appendix B"
"Values for Conceptual Agreement (CA) and Naming Agreement (NA) for Each Item at Each Age Band"
,Age bands,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,
36,CALZINI,SOCKS,57,60,53,69,80,85,75,80,80,95,75,85,60,90,100,100,95,100,95,95,100,100,95,100,100,100,100,100
,> calze,,3,,13,,5,,5,,10,,10,,5,,0,,5,,0,,0,,5,,0,,0,
,> calzetti,,0,,3,,0,,0,,5,,0,,25,,0,,0,,0,,0,,0,,0,,0,
37,CAMICIA,SHIRT,0,0,33,33,65,65,55,55,70,70,70,70,65,65,90,90,75,80,80,80,90,90,95,95,95,95,95,95
,> camicetta,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,
38,CAMINO,CHIMNEY,0,0,0,0,25,25,45,45,75,75,85,85,75,75,90,90,90,90,90,90,85,85,95,95,85,90,85,90
,> comignolo,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,5,
39,CAMION,TRUCK,53,53,87,87,90,90,90,95,100,100,100,100,95,95,95,95,95,95,100,100,95,100,100,100,95,100,100,100
,> camioncino,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,
40,CAMMELLO,CAMEL,13,13,50,50,45,45,50,50,60,60,75,75,85,85,85,85,100,100,95,95,100,100,95,95,100,100,100,100
41,CAMPANILE,BELL-TOWER,0,0,0,0,25,25,20,20,45,45,55,55,45,45,50,50,70,70,60,60,65,65,95,95,90,90,95,95
42,CANCELLO,GATE,0,0,37,37,50,50,70,70,70,70,100,100,90,90,100,100,90,90,100,100,100,100,100,100,100,100,100,100
43,CANDELA,CANDLE,43,43,73,76,90,90,100,100,90,90,95,95,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100
,> candelina,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
44,CANE,DOG,80,83,83,86,100,100,90,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,> cagnolino,,3,,3,,0,,10,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,
45,CANGURO,KANGAROO,30,30,43,43,55,55,60,60,85,85,95,95,95,95,85,85,100,100,95,100,95,95,100,100,100,100,100,100
,> cangurotto,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,
46,CANNONE,CANNON,0,0,0,0,5,5,10,10,20,20,55,55,45,45,60,60,70,70,65,65,50,50,75,75,90,90,90,90
47,CANOTTIERA,SINGLET,0,0,0,0,35,35,70,70,65,65,80,80,75,75,75,75,80,80,90,90,95,95,95,95,95,95,85,85
48,CAPPELLO,HAT,70,70,80,80,90,95,95,95,100,100,100,100,95,100,100,100,100,100,95,95,100,100,100,100,100,100,100,100
,> cappellino,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,
,> cappellone,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
49,CARAMELLA,CANDY,70,70,97,97,95,95,100,100,100,100,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
50,CARCIOFO,ARTICHOKE,0,0,0,0,0,0,0,0,20,20,35,35,10,10,25,25,10,10,50,50,50,50,40,40,60,60,60,60
51,CAROTA,CARROT,43,43,67,70,65,65,90,90,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,> carotina,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
52,CARRETTO,CART,0,0,0,0,10,20,0,5,15,25,10,35,30,40,50,55,35,40,55,65,20,30,40,75,40,65,45,90
,> carrettino,,0,,0,,5,,0,,5,,5,,0,,0,,0,,5,,0,,0,,0,,0,
,> carro,,0,,0,,5,,5,,5,,20,,10,,5,,5,,5,,10,,35,,25,,45,
53,CARRIOLA,WHEELBARROW,10,10,40,40,85,85,75,75,80,80,90,90,95,95,80,80,100,100,95,95,95,95,95,95,95,95,90,90
54,CARROZZA,CARRIAGE,0,0,0,0,30,30,45,45,70,70,80,80,65,65,90,90,95,95,95,95,95,95,95,95,100,100,100,100
55,CASA,,57,94,70,96,95,100,90,100,100,100,100,100,90,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100
,> casetta,,17,,23,,5,,10,,0,,0,,10,,0,,0,,5,,0,,0,,0,,0,
,> casina,,20,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
56,CASCO,HELMET,0,0,0,0,35,35,55,55,70,70,75,75,90,90,95,95,100,100,100,100,100,100,100,100,100,100,100,100
57,CASSETTO,DRAWER,0,0,7,7,55,55,50,50,85,85,100,100,85,85,95,95,95,95,100,100,100,100,100,100,100,100,100,100
58,CASTAGNA,CHESTNUT,0,0,0,0,25,25,45,50,80,80,75,80,95,95,95,100,85,85,90,90,95,95,100,100,100,100,100,100
,> marrone,,,,0,,0,,5,,0,,5,,0,,5,,0,,0,,0,,0,,0,,0,
59,CASTELLO,CASTLE,0,0,17,17,50,50,60,60,70,70,65,65,75,75,90,90,85,85,85,85,95,95,100,100,100,100,100,100
60,CAVALLO,HORSE,83,83,77,77,95,95,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,> cavallino,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
61,CERNIERA,ZIPPER,0,0,0,0,5,10,15,15,50,55,80,80,80,80,80,80,85,85,80,85,100,100,95,95,100,100,100,100
,> chiusura-lampo,,0,,0,,5,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,> lampo,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,
62,CERVO,DEER,0,0,0,0,25,25,40,40,50,60,70,75,65,70,40,60,70,90,65,65,95,95,95,95,95,95,100,100
,> cerbiatto,,0,,0,,0,,0,,10,,5,,5,,20,,20,,0,,0,,0,,0,,0,
63,CETRIOLO,CUCUMBER,0,0,0,0,0,0,0,0,10,10,10,10,30,30,5,5,15,15,5,5,55,55,20,20,25,25,45,45
64,CHIESA,CHURCH,0,0,3,3,40,40,40,40,70,70,75,75,95,95,90,90,100,100,100,100,100,100,100,100,100,100,100,100
65,CHITARRA,GUITAR,13,13,63,63,85,85,85,85,90,90,100,100,95,95,100,100,100,100,95,95,100,100,100,100,100,100,100,100
66,CIABATTE,SLIPPERS,30,30,40,54,40,45,35,35,75,75,65,65,75,90,70,80,80,95,85,90,80,90,75,95,75,95,80,95
,> ciabattine,,0,,7,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,> pantofole,,0,,7,,0,,0,,0,,0,,15,,10,,15,,5,,10,,20,,20,,15,
67,CICOGNA,STORK,0,0,0,0,5,5,10,10,5,5,25,25,20,20,40,40,20,20,15,15,35,35,55,55,45,45,30,30
68,CIGNO,SWAN,0,0,0,0,10,10,15,15,45,45,50,50,65,65,80,80,50,50,70,70,80,80,85,85,95,95,100,100
69,CILIEGIA,CHERRY,0,0,0,0,0,0,5,5,40,40,65,65,45,45,70,70,80,80,85,85,95,95,90,90,100,100,95,95
70,CINTURA,BELT,7,10,37,44,75,75,80,80,95,95,100,100,95,95,95,95,95,95,100,100,95,100,95,95,100,100,95,95
,> cinta,,3,,7,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,
71,CIPOLLA,ONION,0,0,0,0,20,25,15,15,15,15,25,25,35,35,60,60,55,55,65,65,85,85,80,80,85,85,95,95
,> cipollona,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
72,CLESSIDRA,SAND-GLASS,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,15,15,5,5,25,25,70,70,85,85,90,90
73,COLOMBA,DOVE,0,0,0,0,5,10,5,10,20,25,30,35,30,35,30,35,35,35,30,35,30,45,40,50,45,50,65,70
,> piccione,,0,,0,,5,,5,,5,,5,,5,,5,,0,,5,,15,,10,,5,,5,
74,CONIGLIO,RABBIT,27,30,40,67,50,85,60,95,80,95,65,85,90,100,100,100,95,100,90,100,100,100,100,100,85,100,100,100
,> coniglietto,,3,,27,,35,,35,,15,,20,,10,,0,,0,,5,,0,,0,,0,,0,
,> lepre,,0,,0,,0,,0,,0,,0,,0,,0,,5,,5,,0,,0,,15,,0,
75,COPERCHIO,LID,0,0,0,0,20,20,30,30,70,70,75,75,80,80,80,80,95,95,90,90,95,95,100,100,95,95,95,100
,> copripentola,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,
76,CORNAMUSA,BAGPIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,25,25,25,25,10,10
77,CRAVATTA,TIE,0,0,0,0,15,15,25,25,45,45,65,65,65,65,80,80,100,100,100,100,100,100,100,100,100,100,100,100
78,CUPOLA,CUPOLA,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,10,10,25,25,40,40,35,35
79,DAMIGIANA,DEMIJOHN,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,0,0,30,30,5,5,40,40,35,35
80,DIRIGIBILE,DIRIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,5,5,10,10,15,15,15,15
81,DIVANO,COUCH,43,43,77,77,90,90,95,95,100,100,90,90,90,90,95,95,100,100,100,100,95,95,100,100,95,95,100,100
82,ELEFANTE,ELEPHANT,73,73,83,83,95,95,100,100,100,100,100,100,100,100,100,100,100,100,95,95,100,100,100,100,100,100,100,100
83,ELICOTTERO,HELICOPTER,23,23,43,43,70,70,70,70,70,70,80,80,70,70,90,90,90,90,90,90,80,80,95,95,100,100,100,100
84,FAGIANO,PHEASANT,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,20,20,25,25,20,20
85,FALCE,SICKLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,5,10,5,5,30,40,40,60,30,30
,> falcetto,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,10,,20,,0,
,> falcino,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,
86,FARO,LIGHTHOUSE,0,0,0,0,0,0,0,0,5,5,10,10,10,10,25,25,25,25,20,20,60,60,80,80,100,100,100,100
87,FENICOTTERO,FLAMINGO,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,15,15,15,15,25,25,50,50,50,50,55,55
88,FIASCO,FLASK,0,0,0,0,0,0,0,0,10,10,0,0,0,0,5,5,5,5,5,5,20,20,45,50,10,10,20,20
,> fiaschetto,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,
89,FICO,FIG,0,0,0,0,0,0,0,0,0,0,15,15,25,25,40,40,55,55,40,40,60,60,70,70,80,80,80,80
90,FIONDA,SLING,0,0,0,0,0,0,0,0,0,0,5,5,0,0,30,30,30,30,20,20,55,55,55,55,90,90,90,90
91,FISARMONICA,ACCORDION,0,0,0,0,0,0,15,15,5,5,20,20,15,15,20,20,20,20,40,40,25,25,25,25,40,40,25,25
92,FLAUTO,FLUTE,0,0,0,0,5,5,5,5,0,0,20,20,25,25,50,50,50,50,55,55,55,55,55,55,80,80,80,80
93,FORBICE,SCISSORS,77,77,77,77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
94,FRAGOLA,STRAWBERRY,23,23,47,47,70,70,80,80,95,95,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
95,FRECCIA,DART,0,0,0,0,20,20,50,5,85,85,95,95,100,100,95,95,100,100,100,100,100,100,100,100,100,100,100,100
,> freccetta,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
96,FRUSTA,WHIP,0,0,0,0,5,5,0,0,5,5,15,15,10,10,55,55,70,70,60,60,65,65,75,75,100,100,90,95
,> frustino,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,
97,FUCILE,RIFLE,0,0,37,37,40,40,45,45,75,75,90,90,70,70,95,95,90,90,95,95,95,95,100,100,100,100,95,95
98,FUNGO,MUSHROOM,23,23,60,67,70,75,85,85,100,100,95,95,100,100,100,100,100,100,95,95,100,100,100,100,100,100,100,100
,> funghetto,,0,,7,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
99,GABBIANO,SEA-GULL,0,0,0,0,0,0,0,0,20,20,30,30,30,30,35,35,25,25,45,45,45,45,40,40,35,35,40,40
100,GALLINA,HEN,37,37,40,40,80,80,80,80,90,90,95,95,85,85,95,95,95,95,90,90,95,95,100,100,100,100,100,100
101,GALLO,ROOSTER,0,0,0,0,20,20,40,40,30,30,70,70,55,55,60,60,70,70,85,85,70,70,85,90,95,95,100,100
,> galletto,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,
102,GATTO,CAT,60,90,53,89,55,95,65,100,85,100,75,100,85,100,90,100,90,100,80,100,95,100,100,100,100,100,100,100
,> gattino,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,
,> micetto,,7,,0,,5,,5,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,> micino,,0,,3,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,> micio,,23,,33,,35,,25,,5,,20,,15,,10,,10,,20,,5,,0,,0,,0,
103,GHIANDA,ACORN,0,0,0,0,0,0,0,0,15,15,5,5,0,0,20,20,45,45,35,35,65,65,65,65,75,75,70,70
104,GIACCA,JACKET,0,0,0,0,0,5,25,25,20,20,45,45,40,40,50,50,50,50,75,75,80,80,75,75,85,95,85,85
,> giacchetta,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,> giaccotto,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,
105,GIRAFFA,GIRAFFE,60,60,67,67,75,75,90,90,95,95,90,90,100,100,95,95,100,100,100,100,100,100,100,100,100,100,100,100
106,GONDOLA,GONDOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,20,20,20,20,20,20
107,GONNA,SKIRT,0,0,0,0,25,25,40,40,55,60,70,75,70,75,60,60,70,70,85,85,90,90,85,85,100,100,100,100
,> gonnellina,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,
,> minigonna,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,
108,GRATTACIELO,SKYSCRAPER,0,0,0,0,0,0,0,0,0,0,5,10,10,35,15,35,20,30,35,45,15,40,50,80,65,95,55,75
,> palazzo,,0,,0,,0,,0,,0,,5,,25,,20,,10,,10,,25,,30,,30,,20,
109,GRATTUGGIA,GRATER,0,0,0,0,0,10,10,30,20,60,30,80,10,65,5,55,50,70,40,75,90,100,65,90,60,80,80,85
,> grattaformaggio,,0,,0,,10,,20,,40,,50,,55,,50,,20,,35,,10,,25,,20,,5,
110,GUANTI,GLOVES,53,53,83,83,70,70,80,80,95,95,100,100,100,100,100,100,100,100,100,100,95,95,100,100,100,100,100,100
111,GUFO,OWL,0,0,0,0,20,20,25,25,60,60,75,75,60,60,75,75,75,75,85,85,85,85,70,70,95,95,95,95
112,IGLOO,IGLOO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,30,30,60,60,70,70,65,65,70,70
113,IMBUTO,FUNNEL,0,0,0,0,0,0,10,10,20,20,45,45,50,50,70,70,100,100,85,85,95,95,100,100,100,100,95,95
114,IPPOPOTAMO,HIPPOPOTAMUS,0,0,23,23,55,55,70,70,80,80,80,80,75,75,90,90,90,90,90,90,90,90,95,95,90,90,100,100
115,KIWI,KIWI,0,0,0,0,15,15,5,5,15,15,30,30,45,45,55,55,55,55,65,65,80,80,80,80,95,95,95,95
116,LAMPADA,LAMP,0,0,0,0,20,20,45,50,50,55,60,60,65,65,70,70,80,80,80,80,85,90,95,100,90,90,100,100
,> abat-jour,,0,,0,,0,,5,,5,,0,,0,,0,,0,,0,,5,,5,,0,,0,
117,LEONE,LION,37,37,63,63,85,85,80,80,90,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100
118,LETTO,BED,83,90,80,93,95,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,> lettino,,7,,13,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
119,LIBRERIA,BOOKCASE,0,0,0,0,0,0,0,0,15,15,30,30,20,20,35,35,0,0,10,15,35,40,30,45,60,70,60,65
,> scaffale,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,5,,15,,10,,5,
120,LIMONE,LEMON,17,17,43,43,40,40,50,50,60,60,75,75,75,75,95,95,90,90,100,100,100,100,100,100,95,95,100,100
121,LOCOMOTIVA,LOCOMOTIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,15,0,0,10,10,20,20,35,35
122,MAGLIONE,SWEATER,0,0,0,0,30,30,30,30,45,45,50,50,75,75,55,55,70,70,80,80,85,85,75,75,85,85,90,90
123,MAIALE,PIG,47,53,43,60,60,80,70,85,90,95,90,100,95,95,100,100,100,100,90,100,100,100,100,100,95,100,100,100
,> maialino,,3,,10,,0,,0,,5,,0,,0,,0,,0,,5,,0,,0,,0,,0,
,> porcellino,,0,,7,,20,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,> porcello,,3,,0,,0,,10,,0,,10,,0,,0,,0,,5,,0,,0,,5,,0,
124,MANDOLINO,MANDOLIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,5,5,5,20,20
125,MANETTE,HANDCUFFS,0,0,0,0,0,0,5,5,55,55,75,75,50,50,75,75,90,90,85,85,95,95,95,95,100,100,100,100
126,MAPPA,MAP,0,0,0,0,0,0,0,0,10,10,35,35,40,40,65,65,65,70,60,80,80,95,50,95,30,100,75,100
,> cartina,,0,,0,,0,,0,,0,,0,,0,,0,,5,,10,,5,,20,,45,,20,
,> cartina geografica,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,10,,25,,25,,5,
127,MAPPAMONDO,GLOBE,0,0,0,0,5,5,20,20,15,15,25,25,30,30,45,45,65,65,65,65,50,55,70,70,85,85,100,100
,> globo,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,
128,MARTELLO,HAMMER,20,20,43,43,60,60,70,70,90,90,95,95,95,95,100,100,100,100,95,95,100,100,100,100,100,100,100,100
129,MAZZA,STAFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,50,50,15,15,10,10,5,5
130,MELA,APPLE,83,83,100,100,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
131,MELANZANA,EGG-PLANT,0,0,0,0,5,5,10,10,15,15,20,20,40,40,55,55,50,50,35,35,65,65,75,75,80,80,85,85
132,MELOGRANO,POMEGRANATE,0,0,0,0,5,5,5,5,10,10,25,25,30,30,35,35,45,45,15,15,55,55,45,45,60,60,70,70
133,MELONE,MELON,0,0,0,0,0,0,0,0,10,10,30,30,5,5,15,15,0,0,15,15,55,55,55,55,65,65,75,75
134,MESTOLO,LADLE,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,10,10,5,5,5,5,0,0,20,20,20,20
135,MITRA,LIGHT MACHINE GUN,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,15,20,35,10,15,30,40,55,60,45,65,55,60
