lang	subno	sex	age	typing_ability	typing_method	typing_gaze
FI	FI094	1	25	3	6	3
FI	FI095	2	21	2	6	3
FI	FI096	2	21	1	6	3
FI	FI097	1	22	4	6	3
FI	FI098	1	23	1	6	3
FI	FI099	2	23	3	7	1
FI	FI100	1	23	3	6	1
FR	FR001	2	21	4	4	4
FR	FR002	1	22	4	4	4
FR	FR003	2	22	2	6	3
FR	FR004	2	21	2	6	3
FR	FR005	2	21	2	6	3
FR	FR006	2	34	2	6	4
FR	FR007	2	25	1	6	1
FR	FR008	2	21	2	6	4
FR	FR009	2	41	5	6	5
FR	FR010	2	34	4	5	4
FR	FR011	1	58	2	3	4
FR	FR012	2	30	4	5	4
FR	FR013	2	23	3	3	2
FR	FR014	2	22	5	4	4
FR	FR015	2	22	2	6	5
FR	FR016	1	21	2	6	4
FR	FR017	1	22	2	6	3
FR	FR018	1	22	2	4	1
FR	FR019	2	26	2	4	4
FR	FR020	2	24	4	4	3
FR	FR021	2	23	3	7	5
FR	FR022	2	27	1	6	4
FR	FR023	2	20	2	4	5
FR	FR024	2	23	4	4	5
FR	FR025	1	24	2	4	3
FR	FR026	2	21	2	6	4
FR	FR027	1	23	2	6	1
FR	FR028	2	40	1	6	5
FR	FR029	2	22	1	6	1
FR	FR030	2	22	3	6	5
FR	FR031	2	22	2	6	3
FR	FR032	2	21	2	4	3
FR	FR033	2	28	2	6	3
FR	FR034	2	22	2	7	5
FR	FR035	2	27	2	6	3
FR	FR036	2	22	5	6	5
FR	FR037	2	28	5	6	4
FR	FR038	2	27	4	4	3
FR	FR039	2	22	2	6	5
FR	FR040	1	42	3	6	5
FR	FR041	2	29	4	6	3
FR	FR042	2	28	3	4	5
FR	FR043	1	30	1	6	3
FR	FR044	2	21	1	6	5
FR	FR045	1	21	1	6	5
FR	FR046	1	28	6	2	4
FR	FR047	2	21	4	6	5
FR	FR048	2	22	2	6	3
FR	FR049	2	19	2	6	4
FR	FR050	2	20	2	6	5
FR	FR051	1	20	1	4	3
FR	FR052	1	21	5	3	4
FR	FR053	1	23	6	2	2
FR	FR054	1	24	6	3	2
FR	FR055	1	23	2	6	5
FR	FR056	1	29	3	5	5
FR	FR057	1	22	2	4	5
FR	FR058	2	25	4	5	4
FR	FR059	2	21	1	6	3
FR	FR060	2	21	7	4	4
FR	FR061	1	29	4	6	3
FR	FR062	1	42	5	3	4
FR	FR063	2	22	3	6	5
FR	FR064	2	26	4	6	4
FR	FR066	2	27	3	6	4
FR	FR067	2	34	4	4	2
FR	FR068	2	37	4	4	2
FR	FR069	2	30	4	4	5
FR	FR070	2	30	1	6	1
FR	FR071	1	21	3	4	3
FR	FR072	2	25	2	5	5
FR	FR073	1	21	6	1	2
FR	FR074	1	22	3	6	4
FR	FR075	1	23	2	5	5
FR	FR076	1	23	4	4	4
FR	FR077	2	41	5	3	3
FR	FR078	2	24	5	3	2
FR	FR079	1	22	6	3	4
FR	FR080	1	23	3	3	3
FR	FR081	1	24	1	6	3
FR	FR082	2	20	5	3	4
FR	FR083	1	21	2	4	2
FR	FR084	2	23	6	3	2
FR	FR085	1	24	4	4	4
FR	FR086	1	23	2	6	4
FR	FR087	1	22	7	2	2
FR	FR088	1	34	6	3	2
FR	FR089	1	20	2	6	2
FR	FR090	2	25	3	7	5
FR	FR091	1	33	2	6	5
FR	FR092	2	21	6	2	2
FR	FR093	1	20	4	4	4
FR	FR094	2	23	2	6	3
FR	FR095	2	22	1	6	3
