word	word_en	length	freq	freq_cl	val_yf	val_ym	val_of	val_om	val_y	val_o	val_t	aro_yf	aro_ym	aro_of	aro_om	aro_y	aro_o	aro_t	con_yf	con_ym	con_of	con_om	con_y	con_o	con_t	img_yf	img_ym	img_of	img_om	img_y	img_o	img_t	ego_yf	ego_ym	ego_of	ego_om	ego_y	ego_o	ego_t	age_yf	age_ym	age_of	age_om	age_y	age_o	age_t	val_self	val_other	selfother	selfother_sd	selfother_cl	val_age_p	val_age_e	val_age_s	val_sex_p	val_sex_e	val_sex_s	val_axs_p	val_axs_e	val_axs_s	aro_age_p	aro_age_e	aro_age_s	aro_sex_p	aro_sex_e	aro_sex_s	aro_axs_p	aro_axs_e	aro_axs_s	con_age_p	con_age_e	con_age_s	con_sex_p	con_sex_e	con_sex_s	con_axs_p	con_axs_e	con_axs_s	img_age_p	img_age_e	img_age_s	img_sex_p	img_sex_e	img_sex_s	img_axs_p	img_axs_e	img_axs_s	ego_age_p	ego_age_e	ego_age_s	ego_sex_p	ego_sex_e	ego_sex_s	ego_axs_p	ego_axs_e	ego_axs_s	age_age_p	age_age_e	age_age_s	age_sex_p	age_sex_e	age_sex_s	age_axs_p	age_axs_e	age_axs_s
vorsichtig	cautious	10	22.973	10	4.417	3.917	4.833	4.833	4.167	4.833	4.5	4.667	4.667	4.417	4.167	4.667	4.292	4.479	4.75	4.583	5.167	4.5	4.667	4.833	4.75	4.5	4.667	3.75	4.167	4.583	3.958	4.271	4.75	4.333	5.5	5.083	4.542	5.292	4.917	4.083	4	4.5	3.909	4.043	4.217	4.13	4.813	4.5	1.917	.333	2	.064	.076	0	.48	.011	0	.48	.011	0	.308	.024	0	.733	.003	0	.733	.003	0	.678	.004	0	.301	.024	0	.534	.009	0	.234	.032	0	.576	.007	0	.81	.001	0	.047	.087	1	.261	.029	0	1	0	0	.523	.01	0	.19	.041	0	.321	.023	0
wach	awake	4	8.071	12	5.833	5.583	6.417	5.833	5.708	6.125	5.917	3.75	4	4.333	5.417	3.875	4.875	4.375	5.833	5.75	5.5	5.75	5.792	5.625	5.708	5.667	4.417	6	4.25	5.042	5.125	5.083	5.167	5	5.5	5.75	5.083	5.625	5.354	1.75	2.083	1.917	2.417	1.917	2.167	2.042	5.938	5.625	2	0	2	.093	.063	0	.093	.063	0	.496	.011	0	.038	.094	1	.162	.044	0	.379	.018	0	.665	.004	0	.828	.001	0	.665	.004	0	.868	.001	0	.004	.17	1	.619	.006	0	.184	.04	0	.918	0	0	.606	.006	0	.275	.027	0	.072	.072	0	.714	.003	0
waehlerisch	particular	10	.738	15	4.167	3.667	4.25	4.583	3.917	4.417	4.167	4.917	4.417	4.083	3.833	4.667	3.958	4.313	5.667	5.167	4.667	5.083	5.417	4.875	5.146	3.917	4.167	3.667	3.091	4.042	3.391	3.723	5.917	4.667	4.818	5.083	5.292	4.957	5.128	2.583	2.583	2.833	3	2.583	2.917	2.75	4.125	3.938	1.583	.441	2	.193	.038	0	.827	.001	0	.277	.027	0	.036	.096	1	.257	.029	0	.704	.003	0	.16	.044	0	.913	0	0	.233	.032	0	.222	.035	0	.762	.002	0	.444	.014	0	.453	.013	0	.28	.027	0	.099	.062	0	.272	.027	0	.782	.002	0	.782	.002	0
weich	soft-hearted	5	7.782	12	5.833	5.25	5.75	3.833	5.542	4.792	5.167	1.583	2.083	1.75	2.083	1.833	1.917	1.875	3.5	2.75	2.667	2.833	3.125	2.75	2.938	5.833	4.75	4.583	4.417	5.292	4.5	4.896	5	4.083	3.833	2.583	4.542	3.208	3.875	3.333	3.417	3.75	3.417	3.375	3.583	3.479	4.333	4.267	1.917	.333	2	.045	.088	1	.001	.212	1	.074	.071	0	.714	.003	0	.072	.072	0	.714	.003	0	.262	.028	0	.382	.017	0	.172	.042	0	.157	.045	0	.262	.029	0	.409	.016	0	.007	.156	1	.025	.109	1	.723	.003	0	.299	.024	0	.532	.009	0	.299	.024	0
weise	wise	5	8.563	12	6.5	6.417	6.667	5.917	6.458	6.292	6.375	2.167	2.333	3.417	3.5	2.25	3.458	2.854	6.417	5.75	4.75	5.75	6.083	5.25	5.667	4.167	5.833	3.583	4.5	5	4.042	4.521	4.75	4.083	3.727	4.667	4.417	4.217	4.319	4.417	4.333	4.333	4.417	4.375	4.375	4.375	6	6.188	1.708	.363	2	.484	.011	0	.085	.066	0	.166	.043	0	.008	.149	1	.776	.002	0	.924	0	0	.087	.065	0	.728	.003	0	.087	.065	0	.071	.072	0	.016	.124	1	.472	.012	0	.569	.008	0	.724	.003	0	.042	.093	1	1	0	0	1	0	0	.646	.005	0
zaghaft	timid	7	2.715	13	3.583	3.417	3.25	3.083	3.5	3.167	3.333	3.75	3.75	3.5	3.5	3.75	3.5	3.625	2.417	2.333	3.667	3	2.375	3.333	2.854	3.333	3.75	4.25	3.75	3.542	4	3.771	3.167	2.917	2.25	2.417	3.042	2.333	2.688	3.75	3.333	3	3.5	3.542	3.25	3.396	3.25	3.813	1.833	.441	2	.307	.024	0	.608	.006	0	1	0	0	.545	.008	0	1	0	0	1	0	0	.027	.107	1	.375	.018	0	.489	.011	0	.311	.023	0	.926	0	0	.311	.023	0	.107	.058	0	.923	0	0	.631	.005	0	.328	.022	0	.888	0	0	.127	.052	0
zaertlich	tender	8	4.348	13	6.667	6.5	6.083	6.167	6.583	6.125	6.354	1.583	1.833	2.417	2.636	1.708	2.522	2.106	4.583	3.917	4.083	4.5	4.25	4.292	4.271	5.333	6.417	6.5	6.083	5.875	6.292	6.083	6.25	6.167	5.5	5.167	6.208	5.333	5.771	2.667	2.667	2.833	2.25	2.667	2.542	2.604	6.188	6.375	1.292	.441	1	.054	.082	0	.858	.001	0	.592	.007	0	.049	.087	1	.563	.008	0	.97	0	0	.932	0	0	.797	.002	0	.269	.028	0	.229	.033	0	.334	.021	0	.033	.099	1	.026	.107	1	.587	.007	0	.744	.002	0	.621	.006	0	.251	.03	0	.251	.03	0
zerstreut	absent-minded	9	3.067	13	3.167	3.25	2.917	3	3.208	2.958	3.083	3.917	3.417	5.25	4	3.667	4.625	4.146	2	1.5	2.333	2	1.75	2.167	1.958	4.455	5.667	4.667	4	5.087	4.333	4.702	3.25	3.333	2.5	2.25	3.292	2.375	2.833	4.167	4.25	3.917	3.833	4.208	3.875	4.042	2.5	2.688	1.792	.441	2	.45	.013	0	.801	.001	0	1	0	0	.031	.101	1	.048	.086	1	.389	.017	0	.251	.03	0	.251	.03	0	.817	.001	0	.106	.06	0	.539	.009	0	.039	.096	1	.039	.093	1	.848	.001	0	.701	.003	0	.129	.052	0	1	0	0	.701	.003	0
zornig	furious	6	5.534	12	1.833	1.833	1.667	1.917	1.833	1.792	1.813	6.25	6.25	6.5	6.083	6.25	6.292	6.271	3.333	3	4	3.25	3.167	3.625	3.396	5.833	6.25	5.5	5.917	6.042	5.708	5.875	2.167	3.25	1.833	2.5	2.708	2.167	2.438	3	2.667	2.75	2.417	2.833	2.583	2.708	1.75	1.563	1.333	.486	1	.854	.001	0	.583	.007	0	.583	.007	0	.833	.001	0	.295	.025	0	.295	.025	0	.351	.02	0	.271	.027	0	.671	.004	0	.364	.019	0	.258	.029	0	1	0	0	.203	.037	0	.042	.09	1	.621	.006	0	.225	.033	0	.108	.058	0	1	0	0
zufrieden	content	9	52.64	9	6.5	6.167	6.5	6.083	6.333	6.292	6.313	1.417	1.667	1.417	1.667	1.542	1.542	1.542	5.167	4.417	4.667	4.833	4.792	4.75	4.771	4.833	5.583	5.417	4.364	5.208	4.913	5.064	5.833	5.5	6	5.75	5.667	5.875	5.771	3.333	2.75	3.667	3.667	3.042	3.667	3.354	6.813	6.688	2	0	2	.834	.001	0	.064	.076	0	.834	.001	0	1	0	0	.309	.023	0	1	0	0	.935	0	0	.567	.008	0	.37	.018	0	.555	.008	0	.778	.002	0	.099	.062	0	.573	.007	0	.43	.014	0	.91	0	0	.004	.174	1	.162	.044	0	.162	.044	0
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
