word	word_en	length	freq	freq_cl	val_yf	val_ym	val_of	val_om	val_y	val_o	val_t	aro_yf	aro_ym	aro_of	aro_om	aro_y	aro_o	aro_t	con_yf	con_ym	con_of	con_om	con_y	con_o	con_t	img_yf	img_ym	img_of	img_om	img_y	img_o	img_t	ego_yf	ego_ym	ego_of	ego_om	ego_y	ego_o	ego_t	age_yf	age_ym	age_of	age_om	age_y	age_o	age_t	val_self	val_other	selfother	selfother_sd	selfother_cl	val_age_p	val_age_e	val_age_s	val_sex_p	val_sex_e	val_sex_s	val_axs_p	val_axs_e	val_axs_s	aro_age_p	aro_age_e	aro_age_s	aro_sex_p	aro_sex_e	aro_sex_s	aro_axs_p	aro_axs_e	aro_axs_s	con_age_p	con_age_e	con_age_s	con_sex_p	con_sex_e	con_sex_s	con_axs_p	con_axs_e	con_axs_s	img_age_p	img_age_e	img_age_s	img_sex_p	img_sex_e	img_sex_s	img_axs_p	img_axs_e	img_axs_s	ego_age_p	ego_age_e	ego_age_s	ego_sex_p	ego_sex_e	ego_sex_s	ego_axs_p	ego_axs_e	ego_axs_s	age_age_p	age_age_e	age_age_s	age_sex_p	age_sex_e	age_sex_s	age_axs_p	age_axs_e	age_axs_s
direkt	direct	6	100.106	8	5	4.75	4.667	4.583	4.875	4.625	4.75	3.833	4.667	4	4.417	4.25	4.208	4.229	4.75	5.083	5.333	4.25	4.917	4.792	4.854	2.5	3.083	4.333	3.7	2.792	4.045	3.391	4.75	4.167	5.417	5.417	4.458	5.417	4.938	2.083	2.75	2.333	2.091	2.417	2.217	2.319	4.938	5.125	1	0	1	.501	.01	0	.654	.005	0	.822	.001	0	.919	0	0	.131	.051	0	.611	.006	0	.698	.003	0	.248	.03	0	.032	.1	1	.026	.113	1	.963	0	0	.257	.03	0	.01	.14	1	.42	.015	0	.42	.015	0	.476	.012	0	.459	.013	0	.117	.056	0
diskret	discreet	7	3.877	13	4.917	4.5	6	5.75	4.708	5.875	5.292	3.833	3.333	2.833	3.083	3.583	2.958	3.271	4.75	5.333	5.25	5.083	5.042	5.167	5.104	2.417	2.083	3.667	3.417	2.25	3.542	2.896	5.25	4.417	6	5.667	4.833	5.833	5.333	3.417	3.667	3.833	3.667	3.542	3.75	3.646	5.5	6	1.292	.354	1	0	.246	1	.285	.026	0	.788	.002	0	.095	.062	0	.735	.003	0	.312	.023	0	.729	.003	0	.565	.008	0	.302	.024	0	.015	.127	1	.57	.007	0	.935	0	0	.005	.167	1	.09	.064	0	.462	.012	0	.237	.032	0	.811	.001	0	.237	.032	0
dominant	dominant	8	.94	15	2.25	2.417	2.917	3.333	2.333	3.125	2.729	6.083	5.5	5.583	5.917	5.792	5.75	5.771	5.75	6.333	5.667	5.917	6.042	5.792	5.917	5.5	5.75	5.083	5	5.625	5.042	5.333	3.667	3.583	3.917	3.583	3.625	3.75	3.688	2.833	3.167	3	3.083	3	3.042	3.021	3.813	2.375	1	0	1	.026	.107	1	.402	.016	0	.719	.003	0	.908	0	0	.729	.003	0	.207	.036	0	.57	.007	0	.345	.02	0	.704	.003	0	.216	.035	0	.859	.001	0	.722	.003	0	.805	.001	0	.681	.004	0	.805	.001	0	.871	.001	0	.418	.015	0	.626	.005	0
dumm	dumb	4	11.779	11	1.75	2.083	2.167	1.5	1.917	1.833	1.875	2.833	3.75	3.583	3.167	3.292	3.375	3.333	1.75	2.167	2.167	2.083	1.958	2.125	2.042	4.083	5.25	5.25	5.167	4.667	5.208	4.938	1.167	1.5	1.333	1.25	1.333	1.292	1.313	3.083	2.75	2.75	3.167	2.917	2.958	2.938	1.188	1.313	1.792	.354	2	.728	.003	0	.487	.011	0	.041	.091	1	.874	.001	0	.635	.005	0	.209	.036	0	.607	.006	0	.607	.006	0	.441	.014	0	.363	.019	0	.363	.019	0	.294	.025	0	.796	.002	0	.44	.014	0	.201	.037	0	.792	.002	0	.792	.002	0	.022	.114	1
egoistisch	egoistic	10	1.002	15	2.25	2.5	1.833	1.833	2.375	1.833	2.104	5.75	6.083	6.083	4.667	5.917	5.375	5.646	5.333	4.583	5.417	4.75	4.958	5.083	5.021	3.273	4.667	4	3.417	4	3.708	3.851	3.75	3.833	2	3.083	3.792	2.542	3.167	2.667	2.333	2.417	2.5	2.5	2.458	2.479	2.625	1.625	1.292	.167	1	.063	.076	0	.662	.004	0	.662	.004	0	.117	.055	0	.117	.055	0	.013	.131	1	.811	.001	0	.18	.04	0	.936	0	0	.664	.004	0	.501	.011	0	.105	.06	0	.009	.145	1	.21	.036	0	.281	.026	0	.894	0	0	.69	.004	0	.507	.01	0
ehrgeizig	ambitious	9	3.261	13	5.083	4.75	4.333	4.5	4.917	4.417	4.667	5.25	5.25	5.167	5.455	5.25	5.304	5.277	6.5	5.75	5.917	5.25	6.125	5.583	5.854	3	4.083	4.167	4.25	3.565	4.208	3.894	5.667	4.5	4	4.917	5.083	4.458	4.771	1.667	1.5	1.917	2.25	1.583	2.083	1.833	5.625	4.625	1.833	.333	2	.244	.031	0	.845	.001	0	.558	.008	0	.891	0	0	.744	.003	0	.744	.003	0	.081	.068	0	.024	.111	1	.891	0	0	.201	.038	0	.262	.029	0	.335	.022	0	.151	.046	0	.771	.002	0	.019	.119	1	.026	.108	1	.703	.003	0	.255	.029	0
ehrlich	honest	7	13.411	11	6.75	6.083	6.833	6.583	6.417	6.708	6.563	2.667	2.583	2.5	2.818	2.625	2.652	2.638	5.917	5.75	5.333	5.833	5.833	5.583	5.708	3.833	2.917	4.833	3.333	3.375	4.083	3.729	6.083	5.833	6.667	6.167	5.958	6.417	6.188	3.667	3.167	3.25	3.417	3.417	3.333	3.375	6.188	6.625	1.333	.441	1	.119	.054	0	.016	.124	1	.262	.029	0	.929	0	0	.758	.002	0	.598	.007	0	.575	.007	0	.708	.003	0	.456	.013	0	.183	.04	0	.026	.108	1	.581	.007	0	.048	.086	1	.104	.059	0	.583	.007	0	.717	.003	0	.469	.012	0	.151	.046	0
eigenwillig	willful	11	1.424	14	3.667	3.25	4.5	3.417	3.458	3.958	3.708	4.333	4.333	4.583	5.083	4.333	4.833	4.583	4.833	5.083	4.417	4.25	4.958	4.333	4.646	3.25	2.917	4.417	3.167	3.083	3.792	3.438	5.667	5	5.5	4.167	5.333	4.833	5.083	2.667	3.667	3.25	3.917	3.167	3.583	3.375	4.688	3.875	1.333	.5	1	.219	.034	0	.068	.074	0	.41	.015	0	.149	.047	0	.467	.012	0	.467	.012	0	.115	.056	0	.915	0	0	.595	.006	0	.166	.043	0	.123	.053	0	.367	.018	0	.299	.025	0	.041	.091	1	.487	.011	0	.309	.024	0	.045	.088	1	.683	.004	0
einfallslos	unimaginative	11	.701	15	1.833	2	2.167	2.083	1.917	2.125	2.021	3.333	4.167	4.167	2.75	3.75	3.458	3.604	2	2.182	3.083	2.167	2.087	2.625	2.362	3.25	3.667	3.083	2.091	3.458	2.609	3.043	2.083	2.083	2	2.333	2.083	2.167	2.125	3	2.75	3.083	3.167	2.875	3.125	3	1.5	2	1.917	0	2	.373	.018	0	.858	.001	0	.592	.007	0	.551	.008	0	.551	.008	0	.025	.109	1	.098	.062	0	.251	.031	0	.089	.066	0	.07	.074	0	.542	.009	0	.14	.05	0	.841	.001	0	.689	.004	0	.689	.004	0	.168	.043	0	.643	.005	0	.356	.019	0
einfuehlsam	empathic	10	1.49	14	6.833	6.167	6.75	6.333	6.5	6.542	6.521	2	2.583	3	3.417	2.292	3.208	2.75	5.167	4.75	4.583	4.833	4.958	4.708	4.833	2.364	2.833	4	3.417	2.609	3.708	3.17	6.167	6.25	6.25	5.417	6.208	5.833	6.021	3.25	3.083	3.5	3.917	3.167	3.708	3.438	6.063	6.375	1.083	.333	1	.84	.001	0	.011	.137	1	.546	.008	0	.017	.123	1	.182	.04	0	.822	.001	0	.525	.009	0	.832	.001	0	.398	.016	0	.03	.105	1	.909	0	0	.292	.026	0	.153	.046	0	.153	.046	0	.082	.067	0	.004	.171	1	.491	.011	0	.112	.056	0
einsam	lonely	6	10.456	11	2	1.917	2.833	3	1.958	2.917	2.438	4.667	4.167	4.083	3.167	4.417	3.625	4.021	2.5	2	2.167	2.833	2.25	2.5	2.375	4.75	6.417	4.417	4.667	5.583	4.542	5.063	2.25	3	3.667	2.75	2.625	3.208	2.917	4.333	4.167	4.167	4.333	4.25	4.25	4.25	1.75	3	2	0	2	.022	.113	1	.919	0	0	.759	.002	0	.119	.054	0	.162	.044	0	.678	.004	0	.53	.009	0	.834	.001	0	.147	.047	0	.036	.096	1	.053	.082	0	.149	.047	0	.288	.026	0	.879	.001	0	.131	.051	0	1	0	0	1	0	0	.445	.013	0
eitel	vain	5	3.796	13	3.333	2.917	2.417	2.417	3.125	2.417	2.771	5.167	5.583	4.75	5.167	5.375	4.958	5.167	4.5	4	4	3.5	4.25	3.75	4	5.545	6	5.333	4.667	5.783	5	5.383	3.75	4.167	3.167	2.417	3.958	2.792	3.375	2	1.75	2.167	2.333	1.875	2.25	2.063	3.25	2.938	1.917	.333	2	.04	.092	1	.538	.009	0	.538	.009	0	.32	.023	0	.32	.023	0	1	0	0	.34	.021	0	.34	.021	0	1	0	0	.129	.053	0	.833	.001	0	.268	.028	0	.015	.127	1	.72	.003	0	.213	.035	0	.114	.056	0	.859	.001	0	.375	.018	0
emotional	emotional	9	5.606	12	6.333	4.75	5.5	5.083	5.542	5.292	5.417	4.25	4.583	5	5.667	4.417	5.333	4.875	3	2.333	3.727	4	2.667	3.87	3.255	4	4.25	5.333	4	4.125	4.667	4.396	6	4.333	4.917	3.917	5.167	4.417	4.792	3	2.417	2.25	2.417	2.708	2.333	2.521	5.25	5.375	1.75	.441	2	.504	.01	0	.01	.141	1	.123	.053	0	.03	.103	1	.227	.033	0	.685	.004	0	.018	.124	1	.687	.004	0	.339	.021	0	.352	.02	0	.352	.02	0	.176	.041	0	.136	.05	0	.01	.142	1	.503	.01	0	.123	.053	0	.388	.017	0	.123	.053	0
empfindlich	touchy	11	6.046	12	3.083	3.167	3.333	2.667	3.125	3	3.063	4.833	5	4.417	4.667	4.917	4.542	4.729	2.667	2.25	3.25	2.583	2.458	2.917	2.688	3.833	4.417	4.417	4.167	4.125	4.292	4.208	5.667	5	4.5	3.917	5.333	4.208	4.771	3.25	3	3.917	3.25	3.125	3.583	3.354	3	3.125	1.75	.441	2	.698	.003	0	.366	.019	0	.247	.03	0	.292	.025	0	.556	.008	0	.906	0	0	.221	.034	0	.15	.047	0	.737	.003	0	.76	.002	0	.76	.002	0	.446	.013	0	.012	.136	1	.151	.046	0	.923	0	0	.043	.09	1	.043	.09	1	.348	.02	0
energisch	energetic	9	8.818	12	5.167	4.417	5.083	5.333	4.792	5.208	5	5.5	5.25	5.25	5.5	5.375	5.375	5.375	5.75	5.417	5.833	5.583	5.583	5.708	5.646	4.417	4.5	5.333	4.583	4.458	4.958	4.708	4.667	4	5.667	5.083	4.333	5.375	4.854	2.167	2.167	3	2.75	2.167	2.875	2.521	5.438	5.5	1.273	.518	1	.291	.025	0	.524	.009	0	.206	.036	0	1	0	0	1	0	0	.471	.012	0	.743	.002	0	.445	.013	0	.913	0	0	.278	.027	0	.468	.012	0	.365	.019	0	.004	.173	1	.076	.07	0	.904	0	0	.026	.108	1	.685	.004	0	.685	.004	0
entschlossen	determined	12	24.095	10	5.917	5.083	5.75	5.75	5.5	5.75	5.625	4.5	4.917	5.167	5.75	4.708	5.458	5.083	6.417	6.5	6.25	6.333	6.458	6.292	6.375	3.417	4.083	4.75	4.5	3.75	4.625	4.188	4.5	4.083	5.667	5.333	4.292	5.5	4.896	2.25	2.25	2.083	2.25	2.25	2.167	2.208	6.063	5.5	1.917	.333	2	.422	.015	0	.184	.04	0	.184	.04	0	.107	.058	0	.279	.027	0	.856	.001	0	.52	.009	0	.747	.002	0	1	0	0	.136	.05	0	.719	.003	0	.43	.014	0	.005	.164	1	.367	.019	0	.92	0	0	.668	.004	0	.668	.004	0	.668	.004	0
entspannt	relaxed	9	10.01	11	6.5	6.167	6.25	6.167	6.333	6.208	6.271	1.167	1.333	1.833	1.417	1.25	1.625	1.438	4.083	3.75	3	3.667	3.917	3.333	3.625	4.583	5.667	4	3.75	5.125	3.875	4.5	4.75	4.917	5.333	5	4.833	5.167	5	3	3.667	3.667	3.5	3.333	3.583	3.458	6.563	6	1.958	0	2	.565	.008	0	.34	.021	0	.565	.008	0	.042	.091	1	.489	.011	0	.11	.057	0	.249	.03	0	.74	.003	0	.322	.022	0	.018	.12	1	.419	.015	0	.199	.037	0	.357	.019	0	.817	.001	0	.489	.011	0	.346	.02	0	.346	.02	0	.119	.054	0
enttaeuscht	disappointed	10	27.579	10	2.5	2.25	2.667	2.5	2.375	2.583	2.479	4.75	5.25	5.083	4.818	5	4.957	4.979	2.667	2	2.917	2.833	2.333	2.875	2.604	4	4.667	4.25	4	4.333	4.125	4.229	2.75	3.25	2.333	2.333	3	2.333	2.667	3	2.833	3.545	3.583	2.917	3.565	3.234	1.875	2.563	1.958	.167	2	.458	.013	0	.458	.013	0	.882	.001	0	.896	0	0	.756	.002	0	.314	.024	0	.071	.072	0	.207	.036	0	.325	.022	0	.673	.004	0	.673	.004	0	.355	.019	0	.101	.06	0	.534	.009	0	.534	.009	0	.032	.102	1	.827	.001	0	.729	.003	0
erfahren	experienced	8	71.761	9	6.167	5.917	6.167	6.333	6.042	6.25	6.146	2.75	2.25	3.333	3.25	2.5	3.292	2.896	6.417	6.417	5.75	5.5	6.417	5.625	6.021	2.833	2.75	3.417	3.583	2.792	3.5	3.146	4.667	3.667	5.75	5.667	4.167	5.708	4.938	4.333	4.75	4.333	4.167	4.542	4.25	4.396	6	6.063	1.75	.363	2	.361	.019	0	.854	.001	0	.361	.019	0	.027	.106	1	.405	.016	0	.551	.008	0	.006	.161	1	.648	.005	0	.648	.005	0	.16	.044	0	.933	0	0	.802	.001	0	0	.372	1	.08	.068	0	.137	.05	0	.072	.072	0	.434	.014	0	.072	.072	0
erfolgreich	successful	11	66.876	9	5.75	5.5	6.417	6.167	5.625	6.292	5.958	4.25	4.5	4	4.583	4.375	4.292	4.333	6.167	6.083	6.333	5.75	6.125	6.042	6.083	4.583	6.25	4.833	4.75	5.417	4.792	5.104	5.417	5.167	4.25	5	5.292	4.625	4.958	2.167	2.333	2.25	2.917	2.25	2.583	2.417	6.25	5.063	1.708	.354	2	.025	.108	1	.39	.017	0	1	0	0	.849	.001	0	.344	.02	0	.704	.003	0	.717	.003	0	.151	.046	0	.279	.027	0	.164	.043	0	.08	.068	0	.054	.082	0	.048	.086	1	.45	.013	0	.135	.05	0	.272	.027	0	.172	.042	0	.409	.016	0
erfreut	delighted	7	12.147	11	6.75	6.417	6.917	6	6.583	6.478	6.532	3.667	3	3.364	3.667	3.333	3.522	3.426	4.636	4.5	4.364	4.333	4.565	4.348	4.457	5.417	6	6	5.5	5.708	5.75	5.729	5.5	5.333	5.333	4.75	5.417	5.042	5.229	3.083	2.333	2.833	2.75	2.708	2.792	2.75	6.688	6.313	1.917	.333	2	.488	.011	0	.001	.222	1	.11	.058	0	.709	.003	0	.709	.003	0	.321	.023	0	.619	.006	0	.85	.001	0	.904	0	0	.914	0	0	.914	0	0	.166	.043	0	.25	.03	0	.25	.03	0	.52	.009	0	.649	.005	0	.027	.106	1	.074	.071	0
ernst	serious	5	50.072	9	4.583	4.083	5.25	5.333	4.333	5.292	4.813	4.667	5.333	4.417	4.667	5	4.542	4.771	5.417	5.167	4.333	5	5.292	4.667	4.979	4.583	4.917	5.25	4	4.75	4.625	4.688	4.833	4.75	4.667	4.917	4.792	4.792	4.792	4.083	3.917	3.833	4.083	4	3.958	3.979	4.625	4.625	1.917	.333	2	.002	.205	1	.468	.012	0	.311	.023	0	.073	.071	0	.073	.071	0	.409	.016	0	.087	.065	0	.562	.008	0	.206	.036	0	.801	.001	0	.357	.019	0	.115	.055	0	1	0	0	.846	.001	0	.697	.003	0	.853	.001	0	.853	.001	0	.357	.019	0
erschoepft	exhausted	9	10.781	11	3.917	3.75	2.833	2.833	3.833	2.833	3.333	3.75	2.75	3.417	2.833	3.25	3.125	3.188	2.5	2	3.273	2.75	2.25	3	2.617	4.583	5.167	5.083	5.75	4.875	5.417	5.146	4	3.25	2.667	2.75	3.625	2.708	3.167	4.25	4	4.083	3.667	4.125	3.875	4	2.625	3.25	2	0	2	.014	.13	1	.832	.001	0	.832	.001	0	.814	.001	0	.141	.049	0	.695	.004	0	.04	.094	1	.163	.045	0	.975	0	0	.284	.026	0	.217	.034	0	.934	0	0	.044	.089	1	.455	.013	0	.351	.02	0	.299	.025	0	.168	.043	0	.728	.003	0
erstaunt	astonished	8	10.944	11	4.75	4.583	4.5	4.083	4.667	4.292	4.479	4	4.417	4	4.75	4.208	4.375	4.292	3.25	2.667	3.25	3.5	2.958	3.375	3.167	5.083	6	4.667	5.25	5.542	4.958	5.25	3.917	3.417	4.5	3.5	3.667	4	3.833	3.25	3.167	2.5	2.583	3.208	2.542	2.875	4.813	4.75	1.917	.333	2	.175	.041	0	.29	.025	0	.648	.005	0	.68	.004	0	.153	.046	0	.68	.004	0	.285	.026	0	.667	.004	0	.285	.026	0	.223	.033	0	.12	.054	0	.726	.003	0	.402	.016	0	.063	.076	0	.529	.009	0	.009	.143	1	1	0	0	.736	.003	0
feige	cowardly	5	2.852	13	1.833	1.833	2.083	1.917	1.833	2	1.917	5.167	5.5	4.667	4.083	5.333	4.375	4.854	2.417	1.667	2.917	3.167	2.042	3.042	2.542	3.667	4.417	4.417	4.5	4.042	4.458	4.25	2.917	2.333	2	2.083	2.625	2.042	2.333	2.75	2.667	2.583	3	2.708	2.792	2.75	1.75	2.125	1.458	.464	1	.544	.008	0	.761	.002	0	.761	.002	0	.025	.109	1	.764	.002	0	.274	.027	0	.011	.139	1	.508	.01	0	.189	.039	0	.474	.012	0	.474	.012	0	.566	.008	0	.051	.084	0	.394	.017	0	.257	.029	0	.728	.003	0	.487	.011	0	.299	.025	0
feindselig	hostile	10	1.011	15	1.333	1.75	1.417	1.5	1.542	1.458	1.5	6.5	6.167	6.333	6.417	6.333	6.375	6.354	3.083	4.25	4.75	3.333	3.667	4.042	3.854	3.833	4.667	4.583	5.333	4.25	4.958	4.604	1.583	2.5	1.333	1.5	2.042	1.417	1.729	2.833	3.333	3.083	2.75	3.083	2.917	3	1.688	1.188	1.083	.333	1	.643	.005	0	.168	.043	0	.356	.019	0	.867	.001	0	.616	.006	0	.404	.016	0	.416	.015	0	.786	.002	0	.007	.154	1	.221	.034	0	.172	.042	0	.942	0	0	.024	.111	1	.048	.086	1	.167	.043	0	.265	.028	0	.575	.007	0	.007	.153	1
fies	nasty	4	.632	15	1.167	1.75	1.25	1.417	1.458	1.333	1.396	5.917	5.5	6.417	5.25	5.708	5.833	5.771	4.5	4.273	4	3.417	4.391	3.708	4.043	4.75	5.917	4.583	5.5	5.333	5.042	5.188	2.25	3.25	1.583	1.583	2.75	1.583	2.167	2.583	2.417	2.917	3.167	2.5	3.042	2.771	1.688	1.188	1	0	1	.491	.011	0	.043	.09	1	.253	.03	0	.71	.003	0	.022	.113	1	.268	.028	0	.241	.032	0	.481	.012	0	.756	.002	0	.619	.006	0	.081	.068	0	.831	.001	0	.003	.184	1	.184	.04	0	.184	.04	0	.009	.147	1	.833	.001	0	.295	.025	0
flexibel	flexible	8	8.04	12	5.75	5	6.083	5.333	5.375	5.708	5.542	2.75	3.083	3.25	3.917	2.917	3.583	3.25	6.083	5.583	4.333	5.417	5.833	4.875	5.354	2.727	2.583	4.083	3.5	2.652	3.792	3.234	5.5	5.5	6.167	5.667	5.5	5.917	5.708	1.75	1.417	2.25	2.75	1.583	2.5	2.042	5.938	5.875	1.667	.441	2	.343	.02	0	.037	.096	1	1	0	0	.11	.057	0	.228	.033	0	.686	.004	0	.003	.182	1	.346	.02	0	.013	.132	1	.029	.107	1	.473	.012	0	.664	.004	0	.184	.04	0	.422	.015	0	.422	.015	0	0	.392	1	.631	.005	0	.02	.117	1
frech	impudent	5	4.976	12	3.917	3.583	2.333	2	3.75	2.167	2.958	4.083	4.583	5.083	5.083	4.333	5.083	4.708	5.083	4.417	5.083	3.333	4.75	4.208	4.479	5.083	6.333	5.333	5.75	5.708	5.542	5.625	4.667	4.75	3	2.583	4.708	2.792	3.75	1.917	1.833	1.833	1.917	1.875	1.875	1.875	4.75	4.375	1.125	0	1	0	.293	1	.373	.018	0	1	0	0	.021	.116	1	.428	.014	0	.428	.014	0	.214	.035	0	.007	.152	1	.214	.035	0	.689	.004	0	.05	.084	0	.32	.023	0	0	.272	1	.726	.003	0	.599	.006	0	1	0	0	1	0	0	.646	.005	0
friedlich	peaceful	9	12.432	11	6.583	6.083	5.833	5.833	6.333	5.833	6.083	1.833	1.833	1.75	2.667	1.833	2.208	2.021	5	4.833	3.917	4.417	4.917	4.167	4.542	4.75	5.333	4.75	5.25	5.042	5	5.021	6.167	6.083	5.917	5.667	6.125	5.792	5.958	3.667	4.25	3.833	4	3.958	3.917	3.938	5.938	5.938	1.333	.441	1	.209	.036	0	.527	.009	0	.527	.009	0	.202	.037	0	.121	.054	0	.121	.054	0	.069	.073	0	.681	.004	0	.412	.015	0	.936	0	0	.298	.025	0	.936	0	0	.304	.024	0	.605	.006	0	.796	.002	0	.834	.001	0	.064	.076	0	.297	.025	0
froehlich	cheerful	8	11.241	11	6.583	6.417	6.417	6.25	6.5	6.333	6.417	2	2.25	2	2.455	2.125	2.217	2.17	5.727	4.5	5.25	4.833	5.087	5.042	5.064	6.083	6.083	6.25	6.417	6.083	6.333	6.208	5.917	5.583	5.25	5	5.75	5.125	5.438	2.417	2.5	2.667	2.917	2.458	2.792	2.625	6.688	6.5	1.708	.486	2	.429	.014	0	.429	.014	0	1	0	0	.811	.001	0	.411	.016	0	.811	.001	0	.866	.001	0	.06	.08	0	.346	.021	0	.396	.016	0	.777	.002	0	.777	.002	0	.08	.068	0	.407	.016	0	.905	0	0	.136	.05	0	.452	.013	0	.706	.003	0
frustriert	frustated	10	4.47	13	1.833	1.75	2.333	2.25	1.792	2.292	2.042	6.25	5.75	6	5.333	6	5.667	5.833	1.833	2.167	3.167	2.333	2	2.75	2.375	3.75	4.667	3.75	4.5	4.208	4.125	4.167	3	2.917	1.75	2.667	2.958	2.208	2.583	3.25	2.75	2.917	3	3	2.958	2.979	1.375	2.063	1.958	.167	2	.026	.108	1	.703	.003	0	1	0	0	.355	.019	0	.109	.057	0	.816	.001	0	.069	.073	0	.538	.009	0	.155	.045	0	.88	.001	0	.137	.049	0	.88	.001	0	.079	.068	0	.323	.022	0	.237	.032	0	.882	.001	0	.461	.012	0	.303	.024	0
furchtlos	fearless	9	.8	15	5.083	5.083	5.25	5.25	5.083	5.25	5.167	2.917	3.25	3.833	4.417	3.083	4.125	3.604	5.167	5.25	4.727	5.5	5.208	5.13	5.17	3.917	5.417	5	4.5	4.667	4.75	4.708	3.333	4.5	5.417	4.333	3.917	4.875	4.396	2.333	2	2.167	2.167	2.167	2.167	2.167	5.125	4.813	1.75	.441	2	.635	.005	0	1	0	0	1	0	0	.036	.097	1	.345	.02	0	.796	.002	0	.837	.001	0	.354	.02	0	.454	.013	0	.864	.001	0	.306	.024	0	.044	.089	1	.032	.1	1	.924	0	0	.013	.133	1	1	0	0	.515	.01	0	.515	.01	0
furchtsam	frightened	9	.905	15	2.5	2.5	3.167	2.583	2.5	2.875	2.688	5.417	5.667	6	3.727	5.542	4.913	5.234	2.083	2.167	3	2.75	2.125	2.875	2.5	3.75	5.083	4.364	5.667	4.417	5.043	4.723	3	2.917	2.667	3	2.958	2.833	2.896	3.583	3.5	4	3.417	3.542	3.708	3.625	2.313	2.75	1.917	.167	2	.266	.028	0	.386	.017	0	.386	.017	0	.055	.083	0	.005	.167	1	.001	.238	1	.053	.083	0	.826	.001	0	.66	.004	0	.231	.033	0	.01	.143	1	.976	0	0	.725	.003	0	.725	.003	0	.557	.008	0	.406	.016	0	.1	.06	0	.215	.035	0
gebildet	educated	8	20.458	10	6.583	6.167	6.5	6.333	6.375	6.417	6.396	3	2.917	3.083	3.75	2.958	3.417	3.188	6	5.833	5.417	5.5	5.917	5.458	5.688	3.083	5.091	4.25	4.417	4.043	4.333	4.191	5.583	5.583	5.167	5.417	5.583	5.292	5.438	3.083	3.167	3.5	3.333	3.125	3.417	3.271	6.5	6.188	1.833	.441	2	.853	.001	0	.198	.037	0	.578	.007	0	.215	.035	0	.428	.014	0	.309	.024	0	.186	.039	0	.903	0	0	.716	.003	0	.653	.005	0	.052	.085	0	.098	.063	0	.285	.026	0	.645	.005	0	.645	.005	0	.244	.031	0	.867	.001	0	.616	.006	0
geduldig	patient	8	5.869	12	5.583	5.583	6.167	5.583	5.583	5.875	5.729	2.5	2.417	2.5	2	2.458	2.25	2.354	5.417	5.333	4.417	4.583	5.375	4.5	4.938	3.5	3.333	4	3.667	3.417	3.826	3.617	4.417	4.167	5.5	4.833	4.292	5.167	4.729	3.583	4	3.667	4	3.792	3.833	3.813	6.25	6.438	1.375	.527	1	.259	.029	0	.259	.029	0	.259	.029	0	.583	.007	0	.443	.013	0	.583	.007	0	.041	.091	1	.921	0	0	.765	.002	0	.434	.014	0	.638	.005	0	.875	.001	0	.035	.097	1	.26	.029	0	.607	.006	0	.838	.001	0	.07	.073	0	.838	.001	0
gehemmt	inhibited	7	1.535	14	2.364	2.083	2.667	2.583	2.217	2.625	2.426	5.5	5.833	4.667	4.167	5.667	4.417	5.042	2.583	1.667	2.182	2.583	2.125	2.391	2.255	3.25	3.333	4	3.917	3.292	3.957	3.617	2.083	2.75	2.333	2.583	2.417	2.458	2.438	3.417	3.083	3.083	3.333	3.25	3.208	3.229	2.063	2.313	1.792	.354	2	.146	.049	0	.506	.01	0	.718	.003	0	.001	.229	1	.81	.001	0	.234	.032	0	.545	.009	0	.545	.009	0	.126	.054	0	.202	.038	0	1	0	0	.872	.001	0	.929	0	0	.331	.021	0	.657	.005	0	.888	0	0	.888	0	0	.325	.022	0
gehorsam	obedient	8	1.161	14	2.75	2.75	5	4.5	2.75	4.75	3.75	5.833	4.833	3.75	4.333	5.333	4.042	4.688	3.333	2.833	5.25	3.417	3.083	4.333	3.708	4.167	5.5	4.333	4.167	4.833	4.25	4.542	3.333	2.833	3.583	3.083	3.083	3.333	3.208	3.5	3.417	3.667	3.167	3.458	3.417	3.438	3.313	3.063	1.167	.333	1	0	.423	1	.482	.011	0	.482	.011	0	.015	.128	1	.684	.004	0	.126	.052	0	.038	.095	1	.052	.083	0	.259	.029	0	.255	.029	0	.255	.029	0	.145	.048	0	.553	.008	0	.238	.032	0	1	0	0	.863	.001	0	.23	.033	0	.389	.017	0
geizig	stingy	6	.831	15	1.667	1.917	2	1.667	1.792	1.833	1.813	5.417	6	4.917	4.364	5.708	4.652	5.191	4.583	4.583	3.833	3.583	4.583	3.708	4.146	4.364	6.083	4.25	4.5	5.261	4.375	4.809	2.167	2.333	1.917	1.833	2.25	1.875	2.063	3.083	2.917	3.833	3.5	3	3.667	3.333	2.313	1.688	1.333	.441	1	.901	0	0	.901	0	0	.385	.017	0	.013	.134	1	.971	0	0	.177	.042	0	.083	.067	0	.801	.001	0	.801	.001	0	.12	.055	0	.073	.073	0	.177	.042	0	.381	.017	0	.922	0	0	.77	.002	0	.006	.158	1	.288	.026	0	.722	.003	0
