,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,
Item,Base,Auditory Image,Visual Image,Metaphor,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,,,,Item,Literal,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,# content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,
NMA30,knock,4.45,3.84,His emails were an insistent knock.,0.06,1459,0.95,4.17,4.50,4.00,5.90,35,6,2,8,22,425,,,,0,0.76,485,8,0.84,280,15,64.69,509,,,,,NLA30,The interruption was a loud knock.,0.11,1143,n/a,5.50,6.55,5.35,1.40,34,6,3,14,35,420,,,,8,1.88,338,20,39.82,413,15,64.69,509,,
NMA31,laugh,4.00,3.30,The film was a laugh.,0.88,1111,1.00,6.10,6.10,4.85,4.45,21,5,3,62,64,519,,,,96,65.25,604,,,,28,62.86,433,,,,,NLA31,Her reply was a mean laugh.,0.00,1287,n/a,5.56,6.67,5.56,1.72,27,6,3,90,437,351,,,,42,4.8,308,199,1243.98,313,28,62.86,433,,
NMA32,moan,4.25,2.40,His poetry was a cathartic moan.,0.29,1512,0.89,5.05,4.40,3.45,5.60,32,6,3,30,5,355,,,,88,13.37,425,0,0.35,260,1,1.88,379,,,,,NLA32,His only communication was a moan.,0.00,1322,n/a,5.35,6.56,5.00,1.61,34,6,3,605,365,332,1747,1084,218,67,10.35,399,,,,1,1.88,379,,
NMA33,mumble,3.20,2.20,His handshake was a mumble.,0.06,1298,1.00,2.22,2.39,3.17,5.85,27,5,2,1,2,528,,,,1,3.04,585,,,,1,0.78,470,,,,,NLA33,His advice was a mumble.,0.00,1095,n/a,4.70,5.90,4.15,2.40,24,5,2,26,24,381,,,,51,47.98,291,,,,1,0.78,470,,
NMA34,murmur,3.45,2.30,Her eyelashes were a soft murmur.,0.60,1302,0.79,3.11,3.33,4.72,6.05,33,6,3,22,11,493,,,,1,1.22,595,61,32.02,414,3,0.94,470,,,,,NLA34,Her words were a gentle murmur.,0.57,1365,n/a,5.78,6.44,4.28,2.22,31,6,3,101,47,396,,,,274,122.02,395,27,16.55,322,3,0.94,470,,
NMA35,pop,4.50,1.79,The dad's decision was a balloon pop.,0.14,1779,0.89,2.40,2.50,3.90,6.10,37,7,4,185,160,330,603,507.25,15,119,55.06,297,10,8.67,623,8,67.47,385,,,,,NLA35,The rifle was a loud pop.,0.18,1203,n/a,4.45,5.65,5.60,2.65,25,6,3,30,41,468,,,,63,14.57,606,20,39.82,413,8,67.47,385,,
NMA36,purr,4.65,3.15,Her smile was a cat's purr.,0.89,1238,1.00,3.83,3.72,4.78,6.40,27,6,3,27,42,555,,,,58,58,514,23,66.33,615,0,0.67,535,,,,,NLA36,The kitten's reply was a purr.,0.76,1517,n/a,5.78,6.72,6.56,1.44,30,6,3,16,3,485,5,4.73,612,42,4.8,308,,,,0,0.67,535,,
NMA37,quack,5.00,3.26,The preacher was a quack.,0.00,1193,0.95,6.06,6.17,4.33,4.90,25,5,2,10,6,510,,,,11,6.71,560,,,,9,4.63,459,,,,,NLA37,The duck's call is a quack.,0.11,1150,n/a,5.72,6.83,6.50,1.39,27,6,3,69,297,485,9,24.76,606,188,861.39,389,,,,9,4.63,459,,
NMA38,rant,3.15,2.05,The pamphlet is a rant.,0.07,1465,0.95,5.35,5.95,3.60,4.45,23,5,2,2,1,470,,,,3,1.18,545,,,,0,0.67,395,,,,,NLA38,The speech was a rant.,0.10,1141,n/a,6.85,6.35,4.80,2.80,22,5,2,31,19,424,,,,61,38.04,453,,,,0,0.67,395,,
NMA39,roar,4.60,3.35,The campaign was a triumphant roar.,0.79,1430,1.00,4.78,5.72,4.33,4.89,35,6,3,33,7,344,,,,81,16.78,300,5,1.37,295,13,4.02,437,,,,,NLA39,The mountain waterfall was a roar.,0.58,1570,n/a,5.70,5.80,6.10,3.30,34,6,3,16,25,556,33,35.39,616,2,35.39,615,,,,13,4.02,437,,
NMA40,screech,4.35,2.45,The bank's letter was a screech.,0.11,1369,1.00,2.11,2.94,3.06,5.72,32,6,3,76,58,547,83,84.98,573,145,82.61,577,,,,1,6.24,490,,,,,NLA40,The car's halt was a screech.,0.00,1307,n/a,6.22,6.06,6.28,2.55,29,6,3,211,167,370,622,483.06,274,10,11.27,345,,,,1,6.24,490,,
