,Word,English Translation,Cgram,Nlet,NSilO,Nphom,NSilphom,OND,OUP,PhomND,PhomUP,Fam,Conc,Imag,Freq,LogFreq,AOA,SD,,,,,,,,,,,,
237,Cabeça,head,no,6,3,6,3,2,6,2,6,1.26,,,4663,3.03,1.65,0.66,,,,,,,,,,,,
238,Cadáver,body,no,7,3,7,3,0,4,0,5,,,,428,3.67,7.23,1.21,,,,,,,,,,,,
239,Cadeia,prison,no,6,3,6,3,4,6,2,6,,,,891,2.63,4.45,1.81,,,,,,,,,,,,
240,Cadeira,chair,no,7,3,7,3,8,7,6,7,1.95,,,1138,2.95,2.28,1.13,,,,,,,,,,,,
241,Cálculo,calculation,no,7,3,7,3,0,5,0,7,,,,675,3.06,5.44,1.37,,,,,,,,,,,,
242,Camada,layer,no,6,3,6,3,7,5,8,5,3.07,4.12,2.71,775,2.83,5.56,1.36,,,,,,,,,,,,
243,Camião,truck,no,6,3,6,2,1,5,0,5,1.90,6.52,6.46,513,2.89,4.28,1.28,,,,,,,,,,,,
244,Camisa,shirt,no,6,3,6,3,0,6,1,6,1.37,,,539,2.71,3.36,1.47,,,,,,,,,,,,
245,Capital,capital,no,7,3,7,3,1,7,1,6,,,,3580,2.73,6.19,1.82,,,,,,,,,,,,
246,Carácter,character,no,8,3,7,3,0,4,0,6,,,,1840,3.55,7.32,1.12,,,,,,,,,,,,
247,Carreira,career,no,8,3,7,3,5,8,6,7,,,,1366,3.27,5.88,1.65,,,,,,,,,,,,
248,Castelo,castle,no,7,3,7,3,1,7,0,5,,,,674,3.14,3.48,1.91,,,,,,,,,,,,
249,Cavalo,horse,no,6,3,6,3,4,6,3,6,1.11,6.68,6.77,1559,2.83,2.78,1.31,,,,,,,,,,,,
250,Centena,hundred,no,7,3,6,3,1,7,1,4,,,,1301,3.19,5.04,0.81,,,,,,,,,,,,
251,Céptico,sceptical,no,7,3,6,3,1,3,4,5,,,,83,3.11,8.23,1.07,,,,,,,,,,,,
252,Certeza,certainty,no,7,3,7,3,1,6,1,5,,,,1924,1.92,5.21,1.44,,,,,,,,,,,,
253,Chamada,call,no,7,3,6,3,2,6,5,5,,,,886,3.28,4.65,1.44,,,,,,,,,,,,
254,Cidadão,citizen,no,7,3,7,3,0,6,0,6,,,,1689,2.95,6.07,1.31,,,,,,,,,,,,
255,Ciência,science,no,7,3,6,2,0,3,0,4,,,,6914,3.23,6.27,1.50,,,,,,,,,,,,
256,Cinema,cinema,no,6,3,6,3,0,6,1,5,,,,1686,3.84,4.51,1.40,,,,,,,,,,,,
257,Circuito,circuit,no,8,3,8,3,0,6,0,6,,,,1424,3.23,6.54,1.43,,,,,,,,,,,,
258,Círculo,circle,no,7,3,7,3,0,4,0,7,,,,718,3.15,5.02,2.21,,,,,,,,,,,,
259,Cliente,client,no,7,3,6,2,1,7,0,6,,,,1324,2.86,4.98,1.38,,,,,,,,,,,,
260,Colégio,private school,no,7,3,7,3,0,5,0,5,,,,438,3.12,4.10,1.74,,,,,,,,,,,,
261,Combate,combat,no,7,3,6,3,1,7,0,4,,,,994,2.64,5.33,1.33,,,,,,,,,,,,
262,Começo,start,no,6,3,6,3,0,6,1,5,,,,595,3.00,4.62,1.56,,,,,,,,,,,,
263,Comércio,commerce,no,8,3,8,3,0,5,0,5,,,,1788,2.78,5.36,1.21,,,,,,,,,,,,
264,Comida,food,no,6,3,6,3,0,5,3,5,,,,527,3.25,1.76,1.17,,,,,,,,,,,,
265,Comissão,comission,no,8,3,7,3,1,7,4,6,,,,1296,2.72,7.02,1.44,,,,,,,,,,,,
266,Complexo,complex,no,8,3,8,3,2,8,0,8,,,,838,3.11,6.48,1.91,,,,,,,,,,,,
267,Conceito,concept,no,8,3,7,3,2,8,1,7,,,,1128,2.92,6.38,1.59,,,,,,,,,,,,
268,Concerto,concert,no,8,3,7,3,2,8,0,4,,,,980,3.05,5.72,1.62,,,,,,,,,,,,
269,Concessão,concession,no,9,3,7,3,1,8,2,6,,,,485,2.99,7.66,1.83,,,,,,,,,,,,
270,Conclusão,conclusion,no,9,3,8,3,0,8,0,7,,,,1426,2.69,5.88,1.35,,,,,,,,,,,,
271,Concreto,concrete,no,8,3,7,3,0,8,0,7,,,,774,3.15,7.54,1.03,,,,,,,,,,,,
272,Concurso,contest,no,8,3,7,3,0,6,0,6,,,,1500,2.89,5.10,1.36,,,,,,,,,,,,
273,Conduta,conduct,no,7,3,6,3,1,7,1,6,,,,437,3.18,6.18,2.26,,,,,,,,,,,,
274,Condutor,driver,no,8,3,7,3,1,8,0,6,,,,1018,2.64,4.40,1.33,,,,,,,,,,,,
275,Congresso,congress,no,9,3,7,3,0,9,0,5,,,,855,3.01,8.02,1.07,,,,,,,,,,,,
276,Conquista,conquer,no,9,3,7,3,1,9,0,7,,,,752,2.93,5.67,1.45,,,,,,,,,,,,
277,Construção,construction,no,10,3,9,3,1,8,1,6,,,,3961,2.88,6.26,1.01,,,,,,,,,,,,
278,Consumo,consumption,no,7,3,6,3,0,7,0,6,,,,1575,3.60,6.02,1.50,,,,,,,,,,,,
279,Contraste,contrast,no,9,3,8,3,0,9,0,6,,,,530,3.20,7.14,1.09,,,,,,,,,,,,
280,Controlo,control,no,8,3,7,3,0,8,0,5,,,,1875,2.73,6.44,1.41,,,,,,,,,,,,
281,Convicção,conviction,no,9,3,8,3,1,7,0,6,,,,507,3.27,7.53,1.24,,,,,,,,,,,,
282,Convite,invitition,no,7,3,6,3,0,6,0,5,,,,651,2.71,4.70,1.39,,,,,,,,,,,,
283,Convívio,gathering,no,8,3,7,3,0,5,0,6,,,,384,2.81,6.16,1.39,,,,,,,,,,,,
284,Coração,heart,no,7,3,7,3,5,5,5,5,,,,2213,2.59,3.16,1.42,,,,,,,,,,,,
285,Coragem,courage,no,7,3,7,3,3,5,4,5,,,,626,3.35,4.94,1.67,,,,,,,,,,,,
286,Corredor,runner,no,8,3,7,3,1,7,1,6,,,,808,2.80,4.18,1.35,,,,,,,,,,,,
287,Correio,mail,no,7,3,6,3,2,7,1,6,,,,520,2.91,4.54,1.65,,,,,,,,,,,,
288,Conselho,advice,no,8,3,6,3,1,8,0,5,,,,1239,2.72,6.18,1.43,,,,,,,,,,,,
289,Costume,habit,no,7,3,7,3,1,7,2,7,,,,926,3.09,5.68,1.53,,,,,,,,,,,,
290,Cozinha,kitchen,no,7,3,6,3,1,7,1,6,,,,1315,2.97,3.19,1.37,,,,,,,,,,,,
291,Crédito,credit,no,7,3,7,3,1,5,0,5,,,,1179,3.12,7.27,1.43,,,,,,,,,,,,
292,Criança,child,no,7,3,6,2,0,7,0,6,,,,5652,3.07,3.34,1.37,,,,,,,,,,,,
293,Crítica,criticism,no,7,3,7,3,1,7,1,7,,,,1471,3.75,7.00,1.14,,,,,,,,,,,,
294,Cultura,culture,no,7,3,7,3,0,7,1,7,,,,13809,3.17,6.02,1.30,,,,,,,,,,,,
295,Década,decade,no,6,3,6,3,0,4,0,5,,,,1600,4.14,6.61,1.22,,,,,,,,,,,,
296,Decisão,decision,no,7,3,7,3,1,6,2,6,,,,3331,3.20,5.74,1.08,,,,,,,,,,,,
297,Defeito,defect,no,7,3,7,3,2,7,1,7,,,,504,3.52,5.70,1.59,,,,,,,,,,,,
298,Defesa,defense,no,6,3,6,3,3,6,3,6,,,,2499,2.70,6.10,1.22,,,,,,,,,,,,
299,Demissão,resignation,no,8,3,7,3,2,7,1,6,,,,507,3.40,7.28,1.43,,,,,,,,,,,,
300,Derrota,failure,no,7,3,6,3,1,7,0,4,,,,1201,2.71,5.28,1.57,,,,,,,,,,,,
301,Descrição,discription,no,9,3,9,3,1,7,0,8,,,,491,3.08,5.86,1.34,,,,,,,,,,,,
302,Desgraça,disgrace,no,8,3,8,3,1,8,0,6,,,,451,2.69,5.36,1.52,,,,,,,,,,,,
303,Desporto,sport,no,8,3,8,3,1,8,1,6,,,,10871,2.66,4.35,1.42,,,,,,,,,,,,
304,Destino,faith,no,7,3,7,3,1,7,0,7,,,,1633,4.04,5.66,1.67,,,,,,,,,,,,
305,Desvio,deflection,no,6,3,6,3,1,6,0,6,,,,505,3.21,5.44,1.59,,,,,,,,,,,,
306,Dezembro,december,no,8,3,7,3,0,5,0,7,,,,3619,2.70,3.44,1.42,,,,,,,,,,,,
307,Dezena,ten,no,6,3,6,3,0,5,0,4,,,,1095,3.56,4.40,1.26,,,,,,,,,,,,
308,Difusão,diffusion,no,7,3,7,3,1,6,1,6,,,,430,3.04,8.28,0.97,,,,,,,,,,,,
309,Dimensão,dimension,no,8,3,7,3,0,7,1,6,,,,1690,2.63,5.76,1.49,,,,,,,,,,,,
310,Direcção,direction,no,8,3,7,3,0,6,1,6,,,,3284,3.23,5.98,1.39,,,,,,,,,,,,
311,Director,director,no,8,3,7,3,1,8,0,6,,,,2127,3.52,5.84,1.70,,,,,,,,,,,,
312,Direita,right,no,7,3,7,3,1,7,2,7,,,,1036,3.33,3.48,1.32,,,,,,,,,,,,
313,Discurso,speech,no,8,3,8,3,0,8,0,8,,,,1448,3.02,5.86,1.35,,,,,,,,,,,,
314,Distância,distance,no,9,3,8,3,0,5,0,8,,,,1596,3.16,5.45,1.19,,,,,,,,,,,,
315,Distinção,distinction,no,9,3,8,3,0,7,1,6,,,,416,3.20,6.77,1.54,,,,,,,,,,,,
316,Dívida,debt,no,6,3,6,3,1,3,3,6,,,,1099,2.62,5.69,1.34,,,,,,,,,,,,
317,Divisão,division,no,7,3,7,3,0,6,0,6,,,,1300,3.04,5.35,1.23,,,,,,,,,,,,
318,Doença,disease,no,6,3,5,2,0,5,0,4,,,,3015,3.11,3.22,1.33,,,,,,,,,,,,
319,Doente,sick,no,6,3,5,2,3,6,2,5,,,,1419,3.48,2.92,1.59,,,,,,,,,,,,
320,Eleição,election,no,7,3,7,3,0,5,0,5,,,,2772,3.15,6.17,1.29,,,,,,,,,,,,
321,Eleitor,elector,no,7,3,7,3,2,7,1,6,,,,456,3.44,7.58,1.05,,,,,,,,,,,,
322,Empate,draw,no,6,3,5,3,1,6,2,4,,,,609,2.66,4.88,1.27,,,,,,,,,,,,
323,Emprego,job,no,7,3,6,3,0,7,0,5,,,,2200,2.79,5.00,1.54,,,,,,,,,,,,
324,Empresa,company,no,7,3,6,3,0,7,1,5,,,,7752,3.34,5.86,1.50,,,,,,,,,,,,
325,Encargo,charge,no,7,3,6,3,0,6,2,5,,,,468,3.89,7.26,1.35,,,,,,,,,,,,
326,Encontro,meeting,no,8,3,6,3,1,8,0,6,,,,3657,2.67,4.74,1.61,,,,,,,,,,,,
327,Ensaio,rehearsal,no,6,3,5,3,0,6,0,5,,,,549,3.56,5.40,1.45,,,,,,,,,,,,
328,Envio,sending,no,5,3,4,3,1,5,0,4,,,,162,2.74,5.41,1.58,,,,,,,,,,,,
329,Equipa,team,no,6,3,5,3,1,6,0,5,,,,6138,2.21,4.27,1.35,,,,,,,,,,,,
330,Escala,scale,no,6,3,6,3,7,6,5,6,,,,1024,3.79,6.16,1.38,,,,,,,,,,,,
331,Escola,school,no,6,3,6,3,10,6,7,6,,,,8296,3.01,2.78,1.58,,,,,,,,,,,,
332,Escolha,choice,no,7,3,6,3,4,7,2,6,,,,1490,3.92,4.08,1.96,,,,,,,,,,,,
333,Escravo,slave,no,7,3,7,3,1,7,1,7,2.23,4.76,5.02,486,3.17,6.15,1.01,,,,,,,,,,,,
334,Escritor,writer,no,8,3,8,3,2,8,0,7,2.05,,,988,2.69,4.82,1.26,,,,,,,,,,,,
335,Espaço,space,no,6,3,6,3,0,6,3,5,,,,13522,3.00,4.56,1.40,,,,,,,,,,,,
336,Espanto,amazement,no,7,3,6,3,1,7,1,6,2.87,2.28,3.06,411,4.13,5.69,1.52,,,,,,,,,,,,
337,Espécie,species,no,7,3,7,3,0,7,0,6,,,,2955,2.61,6.67,1.43,,,,,,,,,,,,
338,Espelho,mirror,no,7,3,6,3,0,7,0,,1.55,,,762,3.47,3.23,1.34,,,,,,,,,,,,
339,Esposo,husband,no,6,3,6,3,2,6,1,6,,,,449,2.88,5.88,1.48,,,,,,,,,,,,
340,Esquema,scheme,no,7,3,6,3,0,7,2,5,,,,707,2.65,6.21,1.51,,,,,,,,,,,,
341,Estação,station,no,7,3,7,3,3,5,3,6,,,,2569,2.85,4.42,1.20,,,,,,,,,,,,
342,Estado,state,no,6,3,6,3,6,6,7,6,,,,5050,3.41,6.04,1.29,,,,,,,,,,,,
343,Estágio,traineeship,no,7,3,7,3,1,5,1,5,,,,348,3.70,7.71,1.40,,,,,,,,,,,,
344,Estilo,style,no,6,3,6,3,2,6,3,6,3.33,2.46,2.60,1519,2.54,6.58,1.39,,,,,,,,,,,,
345,Estrada,road,no,7,3,7,3,5,7,3,7,,,,1825,3.18,4.88,1.49,,,,,,,,,,,,
346,Estrela,start,no,7,3,7,3,3,7,1,6,,,,1397,3.26,2.92,1.37,,,,,,,,,,,,
347,Evento,event,no,6,3,5,3,1,6,2,5,,,,496,3.15,6.62,1.39,,,,,,,,,,,,
348,Excesso,excess,no,7,3,7,3,1,7,2,7,,,,660,2.70,6.49,1.59,,,,,,,,,,,,
349,Êxito,sucess,no,5,3,6,3,0,3,0,4,,,,906,2.82,6.36,1.42,,,,,,,,,,,,
350,Expansão,expansion,no,8,3,8,3,0,7,0,7,,,,901,2.96,6.56,1.47,,,,,,,,,,,,
351,Explosão,explosion,no,8,3,9,3,0,7,1,8,,,,514,2.96,4.66,1.72,,,,,,,,,,,,
352,Expressão,expression,no,9,3,9,3,1,8,1,8,,,,2048,2.71,5.78,1.56,,,,,,,,,,,,
353,Extensão,extension,no,8,3,8,3,1,7,2,7,,,,873,3.31,6.74,1.54,,,,,,,,,,,,
354,Fabrico,manufacture,no,7,3,7,3,0,7,0,7,,,,571,2.94,6.26,1.12,,,,,,,,,,,,
355,Fatia,slice,no,5,3,5,3,2,5,0,5,,,,456,2.76,3.74,1.43,,,,,,,,,,,,
356,Festival,festival,no,8,3,8,3,1,8,1,7,,,,518,2.66,6.29,1.56,,,,,,,,,,,,
357,Figura,figure,no,6,3,6,3,2,6,2,6,,,,3711,2.72,4.10,1.67,,,,,,,,,,,,
358,Finito,finite,no,6,3,6,3,0,4,1,4,,,,24,3.57,7.00,1.47,,,,,,,,,,,,
359,Formação,formation,no,8,3,8,3,0,6,1,6,,,,3077,1.40,6.60,1.34,,,,,,,,,,,,
360,Frequência,frequency,no,10,3,9,3,0,6,0,7,,,,1387,3.49,6.38,1.52,,,,,,,,,,,,
361,Fronteira,border,no,9,3,8,3,1,9,2,8,,,,820,3.14,5.92,1.43,,,,,,,,,,,,
362,Fundação,foundation,no,8,3,7,3,1,6,1,5,,,,540,2.91,7.66,0.98,,,,,,,,,,,,
363,Futebol,football,no,7,3,7,3,0,4,0,4,,,,2652,2.73,3.10,1.64,,,,,,,,,,,,
364,Galinha,chicken,no,7,3,6,3,1,7,1,6,1.74,6.78,6.67,436,3.42,2.38,1.37,,,,,,,,,,,,
365,Garrafa,bottle,no,7,3,6,3,1,7,0,5,1.32,,,508,2.64,4.28,1.40,,,,,,,,,,,,
366,Género,kind,no,6,3,6,3,1,6,1,6,,,,1527,2.71,6.22,1.39,,,,,,,,,,,,
367,Governo,government,no,7,3,7,3,0,7,0,4,,,,2437,3.18,6.12,1.45,,,,,,,,,,,,
368,Grandeza,greatness,no,8,3,7,3,0,7,0,5,,,,585,3.39,5.84,1.54,,,,,,,,,,,,
369,Guloso,greedy,no,6,3,6,3,0,6,4,4,,,,30,2.77,3.50,1.73,,,,,,,,,,,,
370,Hospital,hospital,no,8,3,7,3,0,8,0,4,,,,1585,1.49,3.13,1.56,,,,,,,,,,,,
371,Ideia,idea,no,5,3,5,3,0,4,0,4,,,,4721,3.20,4.08,1.73,,,,,,,,,,,,
372,Igreja,church,no,6,3,6,3,0,6,0,4,,,,1615,3.67,3.04,1.41,,,,,,,,,,,,
373,Ilusão,illusion,no,6,3,6,3,2,5,5,5,,,,482,3.21,6.38,1.69,,,,,,,,,,,,
374,Imagem,image,no,6,3,6,3,0,5,0,3,,,,5822,2.68,4.00,1.58,,,,,,,,,,,,
375,Imortal,immortal,no,7,3,7,3,2,7,2,6,,,,52,3.77,6.30,1.75,,,,,,,,,,,,
376,Imóvel,immobile,no,6,3,6,3,1,3,1,3,,,,537,1.72,7.26,0.83,,,,,,,,,,,,
377,Impacto,impact,no,7,3,6,3,0,6,2,4,,,,699,2.73,5.94,1.58,,,,,,,,,,,,
378,Imprensa,press,no,8,3,6,3,0,6,1,4,,,,1676,2.85,6.92,1.03,,,,,,,,,,,,
379,Impressão,impression,no,9,3,7,3,1,8,1,6,,,,1039,3.22,6.88,1.31,,,,,,,,,,,,
380,Impulso,impulse,no,7,3,6,3,1,7,1,6,,,,409,3.02,6.48,1.47,,,,,,,,,,,,
381,Incêndio,fire,no,8,3,6,3,0,4,0,6,,,,907,2.61,4.42,1.44,,,,,,,,,,,,
382,Indústria,industry,no,9,3,8,3,0,4,0,8,,,,1892,2.96,5.98,1.22,,,,,,,,,,,,
383,Infiel,unfaithful,no,6,3,5,2,0,5,1,3,,,,53,3.28,7.47,1.29,,,,,,,,,,,,
384,Injusto,unfair,no,7,3,6,3,0,7,1,6,,,,222,1.73,5.50,1.40,,,,,,,,,,,,
385,Intenção,intention,no,8,3,6,3,1,6,2,5,,,,1397,2.35,6.63,1.13,,,,,,,,,,,,
386,Janela,window,no,6,3,6,3,3,6,3,6,,,,2060,3.15,2.40,1.43,,,,,,,,,,,,
387,Jogador,player,no,7,3,7,3,0,6,0,4,,,,3262,3.31,3.80,1.34,,,,,,,,,,,,
388,Jornada,journey,no,7,3,7,3,2,7,2,6,,,,1754,3.51,6.40,1.78,,,,,,,,,,,,
389,Juízo,judgement,no,5,3,5,2,0,3,0,4,,,,429,3.24,4.08,1.94,,,,,,,,,,,,
390,Justiça,justice,no,7,3,7,3,1,7,1,7,3.00,1.80,2.71,1776,2.63,5.44,1.63,,,,,,,,,,,,
391,Lateral,lateral,no,6,3,6,3,3,6,3,6,,,,385,3.25,6.34,1.21,,,,,,,,,,,,
392,Ligação,connection,no,7,3,7,3,2,5,2,5,,,,2196,2.59,5.88,1.39,,,,,,,,,,,,
393,Limite,limit,no,6,3,6,3,0,6,0,6,,,,1486,3.34,6.02,1.70,,,,,,,,,,,,
394,Linguagem,language,no,9,3,8,3,0,7,0,6,,,,1024,3.17,5.42,1.33,,,,,,,,,,,,
395,Litoral,seaside,no,7,3,7,3,1,5,1,6,,,,460,3.01,5.83,1.46,,,,,,,,,,,,
396,Mandato,mandate,no,7,3,6,3,0,7,0,5,,,,1014,2.66,7.92,0.89,,,,,,,,,,,,
397,Manteiga,butter,no,8,3,7,3,0,8,0,7,2.00,,,846,3.01,2.82,1.20,,,,,,,,,,,,
398,Máquina,machine,no,7,3,6,3,0,3,0,4,2.17,6.18,5.35,1875,2.93,3.98,1.67,,,,,,,,,,,,
399,Marcador,marker,no,8,3,8,3,1,6,1,6,,,,623,3.27,3.54,1.95,,,,,,,,,,,,
400,Marido,husband,no,6,3,6,3,0,5,1,5,2.13,4.80,4.42,1888,2.80,4.26,1.52,,,,,,,,,,,,
401,Massacre,massacre,no,8,3,7,3,0,8,0,5,,,,392,3.28,7.60,1.01,,,,,,,,,,,,
402,Medalha,medal,no,7,3,6,3,0,5,0,4,,,,452,2.59,5.00,1.48,,,,,,,,,,,,
403,Menino,little boy,no,6,3,6,3,0,6,0,6,,,,2321,2.66,1.79,1.34,,,,,,,,,,,,
404,Mercado,market,no,7,3,7,3,2,7,1,6,,,,4890,3.37,4.26,1.65,,,,,,,,,,,,
405,Metade,half,no,6,3,6,3,0,5,0,5,,,,1649,3.69,3.24,1.24,,,,,,,,,,,,
406,Método,method,no,6,3,6,3,0,4,0,4,,,,1528,3.22,6.08,1.99,,,,,,,,,,,,
407,Milénio,millenium,no,7,3,7,3,0,5,0,5,,,,1011,3.18,6.38,1.63,,,,,,,,,,,,
408,Minuto,minute,no,6,3,6,3,2,6,2,6,,,,3478,3.01,3.84,1.45,,,,,,,,,,,,
409,Mistério,mystery,no,8,3,8,3,0,5,0,7,,,,668,3.54,5.84,1.57,,,,,,,,,,,,
410,Miúdo,kid,no,5,3,5,2,1,5,2,5,,,,910,2.83,4.07,1.45,,,,,,,,,,,,
411,Modelo,model,no,6,3,6,3,0,6,0,5,,,,2211,2.96,5.33,1.64,,,,,,,,,,,,
412,Momento,moment,no,7,3,6,3,1,7,2,6,,,,5817,3.34,5.13,1.77,,,,,,,,,,,,
413,Montante,amount,no,8,3,6,3,0,7,1,5,,,,754,3.76,7.41,1.37,,,,,,,,,,,,
414,Mudança,change,no,7,3,6,3,0,5,0,4,,,,1823,2.88,5.33,1.43,,,,,,,,,,,,
415,Muralha,wall,no,7,3,6,3,0,6,2,5,,,,464,3.26,5.48,1.64,,,,,,,,,,,,
416,Música,music,no,6,3,6,3,1,6,1,6,,,,2491,2.67,2.50,1.36,,,,,,,,,,,,
417,Navio,ship,no,5,3,5,3,1,4,1,4,2.11,,,891,3.40,3.72,1.72,,,,,,,,,,,,
418,Negócio,business,no,7,3,7,3,0,4,0,4,,,,2041,2.95,6.00,1.92,,,,,,,,,,,,
419,Notável,remarkable,no,7,3,7,3,1,5,1,7,,,,709,3.31,7.20,1.12,,,,,,,,,,,,
420,Notícia,news,no,7,3,7,3,0,4,0,7,,,,1763,2.85,4.98,1.50,,,,,,,,,,,,
421,Novembro,november,no,8,3,7,3,0,5,0,5,,,,2491,3.25,3.92,1.26,,,,,,,,,,,,
422,Obeso,obese,no,5,3,5,3,0,5,0,3,,,,33,3.40,6.73,1.63,,,,,,,,,,,,
423,Obeso,obese,no,5,3,5,3,0,5,0,3,,,,33,1.52,6.73,1.63,,,,,,,,,,,,
424,Oferta,offer,no,6,3,6,3,1,6,0,3,,,,894,1.53,5.00,1.62,,,,,,,,,,,,
425,Ofício,trade,no,6,3,6,3,0,4,0,6,,,,457,2.95,6.54,1.50,,,,,,,,,,,,
426,Orelha,ear,no,6,3,5,3,2,3,2,4,1.32,,,453,2.66,2.02,0.96,,,,,,,,,,,,
427,Origem,origin,no,6,3,6,3,0,5,0,5,,,,2926,2.66,6.17,1.29,,,,,,,,,,,,
428,Orquestra,orchestra,no,9,3,8,3,1,9,0,4,,,,551,3.47,6.14,1.44,,,,,,,,,,,,
429,Outubro,october,no,7,3,6,3,0,4,0,4,,,,2786,2.74,4.13,1.18,,,,,,,,,,,,
430,Ouvido,ear,no,6,3,5,3,1,5,2,4,,,,578,3.45,2.43,1.34,,,,,,,,,,,,
431,Página,page,no,6,3,6,3,0,3,0,4,,,,19173,2.76,4.48,1.28,,,,,,,,,,,,
432,Paisagem,landscape,no,8,3,8,3,1,7,0,5,,,,1054,4.28,5.16,1.66,,,,,,,,,,,,
433,Paragem,stop,no,7,3,7,3,2,5,2,5,,,,515,3.02,5.22,1.82,,,,,,,,,,,,
434,Partida,departure,no,7,3,7,3,1,7,2,7,,,,1796,2.71,4.21,1.70,,,,,,,,,,,,
435,Partido,party,no,7,3,7,3,1,7,1,7,,,,3745,3.25,5.40,2.62,,,,,,,,,,,,
436,Passagem,passage,no,8,3,7,3,3,8,2,5,,,,1922,3.57,5.56,1.55,,,,,,,,,,,,
437,Pássaro,bird,no,7,3,6,3,0,4,0,5,,,,564,3.28,2.18,1.16,,,,,,,,,,,,
438,Passeio,sidewalk,no,7,3,6,3,1,6,2,5,,,,999,2.75,2.98,1.49,,,,,,,,,,,,
439,Pavilhão,pavilion,no,8,3,7,3,0,5,0,5,,,,854,3.00,5.36,1.24,,,,,,,,,,,,
440,Percurso,course,no,8,3,8,3,0,6,0,6,,,,1063,2.93,6.14,1.20,,,,,,,,,,,,
441,Perfume,perfume,no,7,3,7,3,0,7,0,7,1.47,,,643,3.03,4.07,1.30,,,,,,,,,,,,
442,Pergunta,question,no,8,3,7,3,1,8,0,7,,,,1447,2.81,3.25,1.34,,,,,,,,,,,,
443,Pescador,fisherman,no,8,3,8,3,1,7,1,6,1.74,,,746,3.16,4.14,1.54,,,,,,,,,,,,
444,Pesquisa,research,no,8,3,7,3,1,8,0,7,,,,4787,2.87,6.67,1.14,,,,,,,,,,,,
445,Piloto,pilot,no,6,3,6,3,2,6,1,5,,,,726,3.68,4.45,1.72,,,,,,,,,,,,
446,Pimenta,pepper,no,7,3,6,3,1,7,2,6,2.74,,,895,2.86,4.48,1.57,,,,,,,,,,,,
447,Pintura,painting,no,7,3,6,3,2,5,2,5,,,,1081,2.95,3.50,1.63,,,,,,,,,,,,
448,Piscina,swimmingpool,no,7,3,7,3,0,6,0,6,,,,484,3.03,3.56,1.33,,,,,,,,,,,,
449,Planície,plain,no,8,3,8,3,0,5,0,6,,,,534,2.69,6.44,1.16,,,,,,,,,,,,
450,Plástico,plastic,no,8,3,8,3,2,8,2,8,,,,395,2.73,4.36,1.47,,,,,,,,,,,,
451,Plenário,plenary,no,8,3,8,3,0,5,0,5,,,,215,2.60,8.27,0.91,,,,,,,,,,,,
452,Pormenor,detail,no,8,3,8,3,0,8,0,7,,,,997,2.33,7.15,1.38,,,,,,,,,,,,
453,Porta-voz,representative,no,8,3,8,3,0,7,0,6,,,,556,3.00,7.00,1.25,,,,,,,,,,,,
454,Porteiro,doorkeeper,no,8,3,8,3,3,6,1,6,2.16,,,206,2.75,4.71,1.55,,,,,,,,,,,,
455,Português,portuguese,no,9,3,8,3,0,8,0,7,,,,1971,2.32,4.33,1.29,,,,,,,,,,,,
456,Posição,position,no,7,3,7,3,2,5,4,6,,,,3875,3.29,5.40,1.39,,,,,,,,,,,,
457,Potência,power,no,8,3,7,3,0,4,1,7,,,,789,3.59,7.00,1.81,,,,,,,,,,,,
458,Poupança,savings,no,8,3,6,3,0,6,0,4,,,,982,2.90,5.76,1.88,,,,,,,,,,,,
459,Prática,practice,no,7,3,7,3,1,7,1,7,,,,2128,2.99,5.42,1.49,,,,,,,,,,,,
460,Prestação,instalment,no,9,3,9,3,0,7,0,7,,,,774,3.33,7.86,1.11,,,,,,,,,,,,
461,Prestígio,prestige,no,9,3,9,3,0,6,0,9,,,,472,2.89,7.45,1.40,,,,,,,,,,,,
462,Príncipe,prince,no,8,3,7,3,0,3,0,7,,,,560,2.67,2.83,1.30,,,,,,,,,,,,
463,Princípio,beginning,no,9,3,8,3,1,9,1,8,,,,3373,2.75,5.07,1.68,,,,,,,,,,,,
464,Problema,problem,no,8,3,8,3,0,8,0,6,,,,8050,3.53,4.17,1.45,,,,,,,,,,,,
465,Procura,search,no,7,3,7,3,1,7,0,7,,,,2090,3.91,4.00,1.89,,,,,,,,,,,,
466,Produto,product,no,7,3,7,3,1,7,0,7,,,,3970,3.32,5.96,1.19,,,,,,,,,,,,
467,Professor,teacher,no,9,3,8,3,1,9,1,7,1.47,,,3082,3.60,3.27,1.09,,,,,,,,,,,,
468,Profissão,profession,no,9,3,8,3,1,8,1,7,2.37,4.18,3.13,827,3.49,4.46,1.29,,,,,,,,,,,,
469,Progresso,progress,no,9,3,8,3,1,9,0,6,3.23,2.62,2.44,945,2.92,6.56,1.33,,,,,,,,,,,,
470,Promotor,promoter,no,8,3,8,3,0,6,1,6,,,,281,2.98,6.70,1.93,,,,,,,,,,,,
471,Proporção,proportion,no,9,3,9,3,0,8,1,8,,,,519,2.45,7.66,0.72,,,,,,,,,,,,
472,Protecção,protection,no,9,3,8,3,1,7,1,7,,,,1378,2.72,5.90,1.59,,,,,,,,,,,,
473,Província,province,no,9,3,8,3,0,5,0,8,,,,979,3.14,6.52,1.17,,,,,,,,,,,,
474,Público,public,no,7,3,7,3,0,7,0,7,,,,10815,2.99,5.02,1.49,,,,,,,,,,,,
