APPENDIX A																		
"The following information is shown below: Item is the identifying number of each picture, "																		
"Intended name is the intended name for each concept, modal name is the name given by the"																		
"majority of subjects, the H statistic and the percentage agreement (%) are two measures of name"																		
"agreement; the means and standard deviations are for ratings of image agreement, familiarity, "																		
"complexity, and age of acquisition, F is the frequency for each single-word name, (taken from "																		
"Content, Mousty, & Radeau, 1990); the main verbal association for each single-word name is "																		
"presented when available (taken from Ferrand & Alario, 1998)."																		
				Name Agreement		Image Agreement		Familiarity		Complexity		Variability		Age of Acquisition				
Item	Intended Name	Modal Name	English	H	%	M	SD	M	SD	M	SD	M	SD	M	SD	F	Verbal Association	%
1	accordéon	accordéon	accordion	0	100	3.53	0.73	1.63	0.81	4.86	0.35	2.17	0.59	3.08	0.89	4.33	musique	49.4
18	tonneau	tonneau	barrel	0.79	71	4.57	0.73	1.27	0.45	4.1	0.56	2.33	0.71	3.15	0.92	9.91	vin	73
19	ski	ski	ski	0	100	4.03	0.85	2.73	1.14	2.83	0.76	3.17	1.21	2.64	0.86	1.61	neige	47.2
20	panier	panier	basket	0	100	2.63	0.76	2.3	1.15	4.59	0.57	3.13	0.94	1.92	0.69	22.59	osier	22.5
21	ours	ours	bear	0	100	3.07	1.01	1.6	1	3.93	0.8	2.67	0.8	1.62	0.75	10.12	peluche	25.8
22	lit	lit	bed	0.51	86	3.4	0.67	4.93	0.37	2.62	0.49	3.73	1.08	1.24	0.52	204	dormir	46.1
23	abeille	abeille	bee	0.47	82	3.63	1.07	2.43	1.01	4.93	0.26	2.33	0.84	1.88	0.71	16.76	miel	50.5
24	scarabée	scarabée	beet1e	0.26	36	3.7	1.06	1.83	0.99	4.21	0.82	2.17	0.59	3.08	0.8	1.74	–	–
25	cloche	cloche	bell	0.15	96	3.7	0.79	2.1	0.76	3	0.6	2.57	0.73	2.19	0.8	38.67	église	37.1
26	ceinture	ceinture	belt	0.41	86	4.23	0.77	4.13	1.07	1.93	0.65	2.87	0.9	2.42	0.7	24.84	pantalon	34.8
27	vélo	vélo	bicycle	0.41	86	4.2	0.76	3.37	1.03	4.17	0.85	3.57	1.01	1.8	0.71	4.42	roues	19.1
28	oiseau	oiseau	bird	0.41	86	3.9	1.12	3.87	1.28	3.38	0.86	4.7	0.7	1.38	0.57	112	nid	13.5
29	chemisier	chemise	blouse	0.65	64	1.17	0.59	4.47	0.97	3.76	0.79	2.45	0.78	2.96	0.82	0.63	boutons	14.6
30	livre	livre	book	0.29	96	4.07	1.05	4.97	0.18	2.14	0.74	4.37	0.85	1.5	0.58	371	lire	18
31	botte	botte	boot	0.4	89	2.47	1.04	3.73	1.01	2.69	0.76	3.07	1.11	2.04	0.77	21.39	pluie	19.1
32	bouteille	bouteille	bottle	0	100	4	0.95	4.2	0.81	1.83	0.8	4.17	0.87	1.92	0.8	40.67	vin	56.1
33	noeud	noeud	bow	0	100	1.57	1.22	2.4	1	3.24	0.64	3.07	0.98	2.31	0.79	23.27	papillon	27
34	bol	bol	bowl	0.29	93	3.3	1.21	4.47	0.82	1.62	0.73	3.47	1.07	1.38	0.5	8.04	lait	23.6
35	boîte	boîte	box	0.26	89	2.7	1.49	2.97	1.03	1.21	0.62	3.87	1.14	1.65	0.75	53.05	allumettes	10.1
36	pain	pain de mie	bread	1.34	46	1.57	0.9	4.57	0.68	1.69	0.54	3.6	1.1	1.27	0.45	86.87	mie	22.5
37	balai	balai	broom	0	100	3.77	1.43	4.1	0.84	2.28	0.75	2.6	0.93	1.95	0.8	7.23	brosse	27
38	brosse	brosse	brush	0.15	96	2.67	1.27	4.23	1.1	2.69	0.81	3.17	1.02	1.77	0.71	9.27	cheveux	41.5																							
39	bus	bus	bus	0.34	89	4	1.02	4.03	1	3.76	1.09	3.17	0.87	2.19	0.8	0	transport	13.5																							
40	papillon	papillon	butterfly	0	100	4.37	0.49	2.33	0.88	4.1	0.49	3.57	1.17	1.92	0.95	16.08	nuit	15.7																							
41	bouton	bouton	button	0	100	4.8	0.48	4.43	0.9	2.03	0.63	3.77	1.19	1.85	0.78	29.31	chemise	18																							
42	gâteau	gâteau	cake	0	100	2.87	0.9	3.67	0.99	2.34	0.61	4.1	0.99	1.27	0.53	11.35	chocolat	42.7																							
43	chameau	chameau	camel	0.68	50	2.7	1.51	1.2	0.48	3.86	0.79	2.17	0.7	2.62	0.9	9.01	bosses	29.2																							–
44	bougie	bougie	candle	0	100	4.03	0.85	3.6	1.03	2.45	0.63	3.43	1.01	1.96	0.68	17.86	lumière	16.8																							
