Appendix C																				
Word Ratings and Associated Statistics (Men Only)																				
																				
Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
ship	unrel neu	4	1	83	5.35	4.00	3.84	1.89	4.88	1.95	1.00	0.00	1.00	0.00	5.16	0.72	1.42	0.96	7.77	1.56
spray	unrel neu	5	1	16	5.45	4.45	4.23	1.93	4.94	2.10	1.00	0.00	1.06	0.36	5.00	0.00	1.63	1.43	5.23	3.06
statue	unrel neu	6	2	17	5.11	3.89	3.76	1.94	4.76	1.99	1.00	0.00	1.00	0.00	5.24	0.87	1.55	1.25	7.42	2.31
stiff	unrel neu	5	1	21	5.10	4.20	4.03	1.84	4.34	1.98	1.28	0.89	1.25	0.67	4.53	1.14	2.44	1.92	3.94	2.66
subdued	unrel neu	7	2	8	5.00	2.83	2.97	1.77	3.97	2.01	1.13	0.71	1.06	0.25	4.63	1.04	1.81	1.45	3.03	2.27
taxi	unrel neu	4	2	16	5.45	3.80	4.19	1.98	5.19	1.99	1.00	0.00	1.00	0.00	5.00	0.36	1.75	1.59	8.13	1.21
teacher	unrel neu	7	2	80	5.75	4.50	5.87	1.80	6.65	1.92	1.00	0.00	1.00	0.00	5.81	1.20	1.87	1.70	7.37	2.16
theory	unrel neu	6	2	129	5.40	4.80	5.03	2.18	5.59	2.08	1.00	0.00	1.00	0.00	5.38	1.04	2.03	1.82	2.34	2.25
tool	unrel neu	4	1	40	5.50	4.80	4.39	1.68	5.06	1.80	1.36	1.22	1.27	0.84	4.67	1.32	1.97	1.93	6.76	2.45
tower	unrel neu	5	2	13	5.57	4.38	3.71	1.94	4.87	2.05	1.03	0.18	1.00	0.00	4.97	0.32	1.55	1.15	7.13	2.16
truck	unrel neu	5	1	57	6.00	4.72	4.67	1.93	5.97	1.53	1.00	0.00	1.00	0.00	5.12	0.70	1.79	1.58	7.70	2.08
trunk	unrel neu	5	1	8	5.00	3.95	4.53	2.05	5.31	2.19	1.00	0.00	1.03	0.18	4.97	0.97	1.72	1.67	6.84	2.44
vest	unrel neu	4	1	4	4.94	4.33	3.28	1.84	4.38	2.04	1.03	0.18	1.00	0.00	5.06	0.35	1.53	1.30	7.25	2.14
violin	unrel neu	6	3	11	4.88	3.56	3.55	2.15	4.67	2.25	1.00	0.00	1.00	0.00	5.39	0.83	2.42	1.70	8.09	1.74
wagon	unrel neu	5	2	55	5.32	4.05	2.91	1.61	3.97	1.96	1.00	0.00	1.00	0.00	5.15	0.71	1.45	1.23	7.64	1.67
windmill	unrel neu	8	2	1	5.14	4.00	2.97	2.42	3.90	2.56	1.00	0.00	1.23	1.26	5.03	0.18	1.32	0.75	7.97	1.35
writer	unrel neu	6	2	73	4.95	3.45	4.64	2.15	5.58	1.95	1.03	0.17	1.00	0.00	5.18	0.73	1.45	1.48	4.85	2.87
yellow	unrel neu	6	2	55	5.64	4.08	5.06	2.07	5.23	2.29	1.23	1.09	1.16	0.74	4.97	0.61	1.50	0.97	8.23	1.65
antique	rel neu	7	2	12			3.34	1.83	4.53	2.02	1.00	0.00	1.06	0.35	5.16	0.92	1.58	1.15	4.97	2.64
appliance	rel neu	9	3	5	5.05	4.23	4.12	2.03	5.27	1.99	1.00	0.00	1.00	0.00	5.12	0.70	1.52	1.42	6.36	2.43
armchair	rel neu	8	2	4			3.15	1.82	4.06	1.97	1.00	0.00	1.00	0.00	5.27	0.91	1.82	1.85	7.85	1.60
backyard	rel neu	8	2	2			4.64	2.09	5.06	1.92	1.00	0.00	1.03	0.17	5.24	1.20	2.06	1.68	7.61	1.64
bake	rel neu	4	1	12	6.32	4.70	4.42	1.92	5.52	1.73	1.00	0.00	1.00	0.00	5.67	1.38	2.61	1.92	4.88	2.98
balcony	rel neu	7	3	5			4.47	2.23	4.53	2.13	1.00	0.00	1.03	0.18	5.16	0.45	1.61	1.33	7.71	1.53
banister	rel neu	8	3	5			2.24	1.37	2.91	1.72	1.03	0.17	1.03	0.17	5.03	0.81	1.52	1.54	6.18	2.80
basement	rel neu	8	2	31			3.45	2.25	4.32	1.97	1.00	0.00	1.03	0.18	5.00	0.63	1.37	0.72	7.40	1.73
basin	rel neu	5	2	7			2.45	1.82	3.06	1.91	1.00	0.00	1.00	0.00	5.00	0.00	1.29	0.78	5.00	3.28
bathroom	rel neu	8	2	18	5.92	3.84	6.15	2.11	6.67	2.12	1.00	0.00	1.09	0.29	5.00	0.66	2.06	1.69	7.45	1.80
bedspread	rel neu	9	2	2			3.55	2.01	4.48	1.90	1.00	0.00	1.03	0.18	5.00	0.26	1.58	0.89	7.35	1.92
bench	rel neu	5	1	35	4.56	3.33	4.39	2.06	5.03	2.17	1.06	0.24	1.00	0.00	5.06	0.79	1.82	1.69	7.79	1.97
blinds	rel neu	6	1	3			3.91	2.28	4.72	2.10	1.00	0.00	1.00	0.00	4.91	0.39	1.47	1.30	7.16	2.23
book	rel neu	4	1	193	5.90	4.15	5.78	2.20	6.50	2.16	1.00	0.00	1.03	0.18	5.25	0.88	2.00	1.88	8.13	1.43
bowl	rel neu	4	1	23	4.80	3.40	5.52	2.14	5.90	2.14	1.00	0.00	1.00	0.00	5.00	0.00	1.37	0.93	8.13	1.17
broom	rel neu	5	1	2			4.21	1.80	4.88	1.76	1.00	0.00	1.00	0.00	5.18	0.77	1.58	1.60	7.61	2.02
cabinet	rel neu	7	3	17	5.10	3.45	4.27	1.72	4.76	1.90	1.00	0.00	1.00	0.00	5.33	1.08	1.58	1.25	7.52	1.82
carpet	rel neu	6	2	13			4.56	2.06	4.81	2.15	1.00	0.00	1.00	0.00	5.06	0.35	1.61	1.28	7.65	1.60
ceiling	rel neu	7	2	31			4.21	1.92	5.00	2.09	1.00	0.00	1.00	0.00	5.12	0.70	1.67	1.41	7.27	2.25
cellar	rel neu	6	2	26	4.45	4.30	2.42	1.66	3.76	1.97	1.03	0.17	1.00	0.00	5.09	0.91	1.45	1.00	6.52	2.51
chair	rel neu	5	1	66	5.30	3.40	5.88	1.85	5.73	1.91	1.00	0.00	1.00	0.00	5.27	0.88	1.45	1.03	8.15	1.44
chimney	rel neu	7	2	7			3.22	2.18	3.84	1.78	1.00	0.00	1.00	0.00	5.06	0.25	1.59	1.16	8.03	1.45
clock	rel neu	5	1	20	4.86	3.95	5.76	1.97	6.00	1.90	1.00	0.00	1.00	0.00	5.12	0.70	1.15	0.44	7.85	1.54
closet	rel neu	6	2	16			4.97	1.79	5.19	1.94	1.00	0.00	1.00	0.00	4.84	0.77	1.38	1.01	6.97	2.51
cloth	rel neu	5	1	43			4.00	1.95	4.70	1.74	1.00	0.00	1.00	0.00	5.15	0.76	1.33	0.85	6.70	2.48
cook	rel neu	4	1	47	6.05	4.21	5.61	2.16	6.30	1.70	1.00	0.00	1.00	0.00	5.85	1.37	2.64	2.18	6.52	2.49
couch	rel neu	5	1	12			5.42	2.18	5.94	2.24	1.00	0.00	1.00	0.00	5.18	0.73	1.48	1.20	7.61	2.33
cupboard	rel neu	8	2	2			4.00	2.10	5.00	2.33	1.00	0.00	1.03	0.18	5.00	0.00	1.38	1.01	7.44	2.00
curtains	rel neu	8	2	8	5.00	3.65	4.03	1.81	4.27	1.81	1.00	0.00	1.00	0.00	5.12	0.70	1.15	0.36	7.70	1.57
den	rel neu	3	1	2			3.42	1.97	4.24	2.31	1.00	0.00	1.00	0.00	5.21	0.89	1.45	1.18	5.55	3.06
desk	rel neu	4	1	65			5.36	2.09	6.03	2.10	1.00	0.00	1.00	0.00	5.24	0.87	1.36	1.14	8.00	1.48
dish	rel neu	4	1	16			5.27	2.04	5.67	1.96	1.00	0.00	1.00	0.00	5.00	1.03	1.55	1.54	7.64	1.97
dresser	rel neu	7	2	1			4.55	2.39	4.42	2.19	1.00	0.00	1.00	0.00	4.94	0.36	1.32	0.83	7.90	1.62
dryer	rel neu	5	2	4			4.71	2.02	5.13	2.17	1.00	0.00	1.00	0.00	5.13	0.50	1.29	0.82	7.81	1.82
fireplace	rel neu	9	3	6			3.94	2.07	4.65	1.98	1.00	0.00	1.06	0.36	5.23	0.67	1.90	1.33	8.48	1.06
freezer	rel neu	7	2	1			5.12	2.10	5.36	2.29	1.00	0.00	1.00	0.00	5.09	0.72	1.36	0.74	7.42	2.21
furnace	rel neu	7	2	11			2.64	1.83	3.48	2.11	1.00	0.00	1.00	0.00	5.12	0.65	1.73	1.68	6.42	2.57
furniture	rel neu	9	3	39			5.06	2.07	5.61	2.04	1.00	0.00	1.00	0.00	5.03	0.18	1.53	1.07	7.57	1.78
glass	rel neu	5	1	99	4.50	4.44	5.06	1.82	5.76	1.80	1.00	0.00	1.00	0.00	5.09	1.13	1.36	0.86	7.09	2.53
hammer	rel neu	6	2	9	4.75	4.65	4.22	1.93	4.81	2.36	1.03	0.18	1.09	0.39	4.94	0.35	1.94	1.85	8.47	1.02
iron	rel neu	4	2	43	5.28	4.00	4.19	2.04	4.68	2.09	1.00	0.00	1.00	0.00	5.03	0.18	1.19	0.40	7.13	2.17
jar	rel neu	3	1	16			4.00	1.95	4.58	2.12	1.00	0.00	1.00	0.00	5.12	0.70	1.33	0.99	7.73	1.93
kettle	rel neu	6	2	3	5.19	3.57	3.03	1.89	3.84	2.05	1.00	0.00	1.00	0.00	5.06	0.57	1.35	0.88	6.94	2.34
ladder	rel neu	6	2	19			4.03	1.88	4.53	1.70	1.00	0.00	1.00	0.00	5.06	0.35	1.53	1.08	8.09	1.69
lamp	rel neu	4	1	18	5.10	3.71	4.90	1.89	5.42	1.93	1.00	0.00	1.00	0.00	5.06	0.36	1.45	1.26	8.03	1.43
lawn	rel neu	4	1	15	5.26	4.21	3.88	1.56	4.88	1.41	1.00	0.00	1.00	0.00	5.27	0.94	1.45	0.94	7.67	1.71
mantel	rel neu	6	2	3	4.90	3.75	2.23	1.45	3.16	1.93	1.00	0.00	1.35	1.47	5.10	0.83	1.29	0.69	5.84	3.07
microwave	rel neu	9	3	2			5.58	1.86	6.12	1.95	1.03	0.17	1.00	0.00	5.24	0.87	1.91	1.83	8.00	1.85
mirror	rel neu	6	2	27			4.79	2.06	5.48	1.96	1.00	0.00	1.00	0.00	5.18	0.88	1.52	0.97	7.55	2.05
mixer	rel neu	5	2	2			4.18	2.01	4.73	1.93	1.00	0.00	1.00	0.00	5.24	0.75	1.64	1.34	5.15	2.93
mop	rel neu	3	1	3			3.84	1.94	4.63	2.11	1.00	0.00	1.03	0.18	5.00	0.84	1.63	1.31	7.56	1.83
paint	rel neu	5	1	37	5.16	4.58	3.82	1.67	5.15	1.94	1.00	0.00	1.00	0.00	5.36	1.06	1.85	1.46	6.88	2.68
pan	rel neu	3	1	16			4.69	2.31	5.03	2.16	1.00	0.00	1.00	0.00	5.03	0.18	1.47	1.22	7.59	1.85
pantry	rel neu	6	2	2			3.70	1.57	4.30	1.76	1.00	0.00	1.06	0.35	5.33	0.85	1.85	1.50	7.09	2.30
patio	rel neu	5	3	2			3.81	1.96	4.65	1.82	1.00	0.00	1.00	0.00	5.06	0.25	1.30	0.70	7.20	2.47
photo	rel neu	5	2	5			5.18	2.13	6.18	1.93	1.00	0.00	1.00	0.00	5.39	0.93	1.79	1.39	7.18	2.38
picture	rel neu	7	2	162			5.94	1.90	6.65	1.87	1.00	0.00	1.00	0.00	5.26	0.82	1.52	1.24	7.13	2.13
plant	rel neu	5	1	125	6.12	3.31	4.48	1.72	5.79	1.88	1.00	0.00	1.00	0.00	5.24	1.28	1.70	1.59	8.06	1.52
plaster	rel neu	7	2	23			3.38	2.15	3.75	1.93	1.03	0.18	1.19	0.74	5.06	0.76	1.59	1.13	5.53	2.93
polish	rel neu	6	2	19			3.15	2.20	4.06	2.08	1.00	0.00	1.03	0.17	5.27	0.91	1.73	1.26	5.00	3.05
poster	rel neu	6	2	4	5.45	4.65	4.34	1.83	4.63	1.90	1.00	0.00	1.19	1.06	5.03	0.18	1.53	1.22	6.63	2.54
pot	rel neu	3	1	28			5.00	2.19	5.22	2.18	1.09	0.39	2.47	2.13	5.09	1.20	2.78	2.79	7.81	1.60
radiator	rel neu	8	4	4	4.50	4.45	2.61	1.68	3.73	1.91	1.00	0.00	1.00	0.00	5.12	0.70	1.36	1.03	6.64	2.57
rag	rel neu	3	1	10			3.76	1.92	4.58	2.12	1.06	0.35	1.30	1.16	4.79	1.17	1.58	1.70	7.45	1.86
rake	rel neu	4	1	11			3.06	1.73	3.58	2.03	1.06	0.35	1.06	0.35	5.12	0.70	1.61	1.46	7.41	2.26
range	rel neu	5	1	160			4.38	2.42	4.72	2.37	1.00	0.00	1.00	0.00	5.06	0.25	1.59	1.50	3.31	2.65
refrigerator	rel neu	12	5	 23 			5.72	2.07	6.00	2.24	1.00	0.00	1.00	0.00	5.13	0.55	1.63	1.36	8.22	1.43
repair	rel neu	6	2	20			4.45	1.82	5.09	1.86	1.00	0.00	1.00	0.00	5.94	1.27	1.55	1.20	3.97	2.93
rinse	rel neu	5	1	6			5.00	1.68	5.48	1.62	1.00	0.00	1.00	0.00	5.36	0.90	1.61	1.32	5.18	2.84
roof	rel neu	4	1	59			4.53	1.88	4.91	2.32	1.00	0.00	1.00	0.00	4.91	0.53	1.59	1.60	7.13	2.23
rug	rel neu	3	1	13			4.28	1.80	4.56	2.05	1.00	0.00	1.00	0.00	5.00	0.00	1.63	1.56	7.56	1.98
scissors	rel neu	8	2	1	5.14	4.14	4.03	1.79	5.21	2.07	1.00	0.00	1.00	0.00	5.21	0.82	1.76	1.58	8.06	1.66
screen	rel neu	6	1	48			4.47	2.08	4.91	2.09	1.00	0.00	1.00	0.00	5.13	0.71	1.38	1.01	6.66	2.39
scrub	rel neu	5	1	9			4.03	2.24	4.67	2.09	1.15	0.57	1.09	0.29	4.55	1.00	1.64	1.52	5.24	2.88
seat	rel neu	4	1	54	4.60	2.60	5.52	1.89	5.45	2.00	1.00	0.00	1.00	0.00	5.18	0.64	1.45	1.25	7.30	2.33
shine	rel neu	5	1	5			4.00	2.20	4.91	2.43	1.00	0.00	1.03	0.18	5.81	1.03	2.16	2.02	4.22	2.66
shovel	rel neu	6	2	5			3.71	2.07	4.52	2.00	1.00	0.00	1.00	0.00	4.94	0.36	1.29	0.94	7.87	1.63
shower	rel neu	6	2	15			6.47	2.11	6.53	2.09	1.00	0.00	1.00	0.00	5.53	0.98	1.88	1.76	7.44	1.95
sink	rel neu	4	1	23			5.03	1.90	5.27	2.08	1.00	0.00	1.00	0.00	4.88	1.08	1.55	1.33	7.94	1.73
soap	rel neu	4	1	22			5.45	1.82	5.61	1.76	1.00	0.00	1.00	0.00	5.32	0.87	1.60	1.57	7.93	1.55
sofa	rel neu	4	2	6			4.55	2.29	5.55	1.72	1.00	0.00	1.00	0.00	5.12	0.70	1.85	1.79	7.82	1.70
sponge	rel neu	6	1	7			4.22	2.06	4.69	1.99	1.00	0.00	1.00	0.00	5.09	0.53	1.34	0.75	7.72	1.49
stairs	rel neu	6	1	47			5.47	1.93	5.66	2.12	1.03	0.18	1.00	0.00	5.00	0.84	1.47	1.08	7.97	1.31
steps	rel neu	5	1	119			5.23	2.16	5.52	1.98	1.00	0.00	1.00	0.00	5.06	0.81	1.16	0.37	7.29	2.15
stereo	rel neu	6	3	12			5.16	2.26	5.47	2.03	1.00	0.00	1.03	0.18	5.38	0.71	2.16	1.72	7.00	2.54
stove	rel neu	5	1	15	5.47	4.26	4.50	2.17	4.84	2.29	1.00	0.00	1.03	0.18	5.03	0.18	1.59	1.46	7.78	1.70
table	rel neu	5	2	198	5.30	3.10	5.39	1.94	6.09	1.76	1.00	0.00	1.00	0.00	5.12	0.70	1.48	1.20	7.82	1.83
terrace	rel neu	7	2	9			2.97	2.11	3.73	2.18	1.00	0.00	1.00	0.00	5.15	0.71	1.67	1.47	5.33	3.03
towel	rel neu	5	2	6			5.48	1.70	5.67	1.90	1.00	0.00	1.03	0.17	5.24	0.87	1.39	1.06	7.88	1.56
vase	rel neu	4	1	4			3.12	1.71	3.97	1.76	1.00	0.00	1.00	0.00	5.15	0.71	1.36	0.96	8.03	1.36
wash	rel neu	4	1	37			5.76	1.73	5.58	1.89	1.00	0.00	1.00	0.00	5.45	1.12	1.55	1.28	5.52	2.87
window	rel neu	6	2	119	6.00	4.18	4.85	1.77	5.39	2.00	1.00	0.00	1.03	0.17	5.30	0.88	1.64	1.54	7.97	1.76
																				
Note. Type refers to word type. Abbreviations: pos lo ar = positive low-arousal; pos hi ar = positive high arousal; neg lo ar = negative low arousal; neg hi ar = negative high 																				
arousal; unrel neu = category-unrelated neutral; rel neu = category-related neutral; K&F = Kucera & Francis (1967) written frequency rating; ANEW = valence and arousal 																				
ratings from Bradley & Lang's (1999) Affective Norms for English Words.																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
