Appendix C																				
Word Ratings and Associated Statistics (Men Only)																				
																				
Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
grateful	pos lo ar	8	2	25	7.33	4.27	5.06	1.98	5.15	1.87	1.00	0.00	1.00	0.00	6.55	1.12	2.36	1.80	3.15	2.48
greet	pos lo ar	5	1	7	6.95	5.29	4.18	1.65	5.09	1.70	1.00	0.00	1.00	0.00	6.12	1.22	1.73	1.26	4.06	2.88
grin	pos lo ar	4	1	13	6.89	5.70	3.97	2.28	4.53	2.09	1.00	0.00	1.00	0.00	5.81	1.40	2.13	1.96	6.53	2.17
heal	pos lo ar	4	1	2	6.71	4.86	4.09	1.94	5.00	1.95	1.00	0.00	1.03	0.17	6.45	1.42	2.21	1.92	3.21	2.64
honest	pos lo ar	6	2	47	7.21	5.71	5.74	1.73	6.10	1.92	1.00	0.00	1.00	0.00	7.06	1.34	2.81	2.20	2.29	2.19
hug	pos lo ar	3	1	3	7.67	5.55	5.59	2.12	6.34	1.79	1.00	0.00	1.06	0.35	6.94	1.83	3.75	2.62	6.25	2.71
kindness	pos lo ar	8	2	5	7.05	5.00	4.72	2.07	5.41	2.09	1.00	0.00	1.03	0.18	6.75	1.57	2.91	2.33	2.56	2.17
kitten	pos lo ar	6	2	5	6.72	5.00	3.82	1.94	4.64	2.21	1.00	0.00	1.00	0.00	6.18	1.16	2.55	2.24	8.18	1.26
loyal	pos lo ar	5	2	18	6.80	5.00	4.33	1.76	4.94	1.90	1.03	0.17	1.00	0.00	6.88	1.76	2.97	2.49	2.27	1.94
luscious	pos lo ar	8	2	2	7.55	6.08	2.94	1.69	3.64	1.87	1.03	0.17	1.24	0.71	6.42	1.20	3.09	2.48	4.15	2.60
luxury	pos lo ar	6	3	21	7.50	4.08	4.63	1.96	5.44	1.93	1.00	0.00	1.03	0.18	6.91	1.23	2.74	2.18	4.03	2.94
melody	pos lo ar	6	3	21	6.68	4.77	4.26	2.48	4.61	2.32	1.00	0.00	1.00	0.00	5.71	1.27	2.19	1.99	3.32	2.64
movie	pos lo ar	5	2	29	6.73	5.07	6.65	1.84	7.13	1.54	1.00	0.00	1.03	0.18	5.87	1.18	3.37	2.62	6.53	2.73
paradise	pos lo ar	8	3	12	8.60	5.85	4.15	1.75	5.24	1.46	1.00	0.00	1.00	0.00	7.73	1.18	4.70	2.49	7.03	2.08
peace	pos lo ar	5	1	198	7.25	3.85	5.38	1.79	6.06	1.93	1.00	0.00	1.06	0.25	7.06	1.01	3.59	2.58	3.03	2.47
pet	pos lo ar	3	1	8	5.86	5.05	4.33	2.00	5.39	1.71	1.00	0.00	1.00	0.00	5.76	1.17	2.15	1.73	6.85	2.55
pillow	pos lo ar	6	2	8	7.88	3.62	5.52	1.88	5.58	2.19	1.00	0.00	1.00	0.00	5.74	1.21	1.94	2.05	8.23	1.23
queen	pos lo ar	5	1	41	5.81	4.73	3.81	2.10	4.74	2.27	1.19	0.75	1.10	0.40	5.77	1.38	2.23	1.82	7.23	2.01
rainbow	pos lo ar	7	2	4	8.00	4.88	3.39	1.98	4.30	2.19	1.09	0.38	1.15	0.71	6.09	1.31	2.52	1.89	7.94	1.37
safe	pos lo ar	4	1	58	6.30	4.00	4.75	2.19	5.47	1.93	1.00	0.00	1.00	0.00	6.25	1.16	2.00	1.88	3.44	2.60
sailboat	pos lo ar	8	2	1	6.52	4.76	3.06	1.90	4.09	2.04	1.00	0.00	1.00	0.00	5.33	0.78	1.67	1.29	8.12	1.82
scholar	pos lo ar	7	2	15	7.08	5.00	3.85	1.82	5.27	1.79	1.00	0.00	1.00	0.00	6.55	1.33	2.27	2.16	4.73	3.02
secure	pos lo ar	6	2	30	6.94	3.00	4.15	1.84	5.09	1.51	1.00	0.00	1.00	0.00	6.48	1.46	2.15	1.72	2.76	2.14
silk	pos lo ar	4	1	12	6.53	4.00	3.28	1.78	4.25	1.95	1.00	0.00	1.03	0.18	5.34	0.65	2.28	2.04	6.69	2.35
snuggle	pos lo ar	7	2	4	7.80	4.47	5.00	2.13	4.97	1.92	1.00	0.00	1.06	0.36	6.48	0.96	3.19	2.48	5.42	2.53
soothe	pos lo ar	6	1	2	7.42	4.53	3.87	1.93	4.81	2.07	1.00	0.00	1.00	0.00	6.42	1.06	2.52	2.10	2.52	2.08
sunrise	pos lo ar	7	2	10	7.75	5.09	4.58	1.82	5.27	1.89	1.00	0.00	1.00	0.00	6.42	1.42	3.64	2.64	8.33	1.51
sunset	pos lo ar	6	2	14	6.80	4.13	4.76	2.00	5.39	1.68	1.00	0.00	1.00	0.00	5.91	1.31	3.18	2.39	7.88	1.67
tune	pos lo ar	4	1	10	6.32	4.90	4.44	2.53	4.66	2.36	1.03	0.18	1.09	0.39	5.47	1.11	1.94	1.67	2.52	2.11
