ID,English Word,Finnish Word,English Word Length,Finnish Word Length,English Familiarity mean,English Familiarity SD,English Valence mean,English Valence SD,English Emotional Charge mean,English Emotional Charge SD,English Offensiveness mean,English Offensiveness SD,English Concreteness mean,English Concreteness SD,Finnish Familiarity mean,Finnish Familiarity SD,Finnish Valence mean,Finnish Valence SD,Finnish Emotional Charge mean,Finnish Emotional Charge SD,Finnish Offensiveness mean,Finnish Offensiveness SD,Finnish Concreteness mean,Finnish Concreteness SD,
143,pain,kipu,4,4,4.43,2.44,1.13,1.18,5.44,2.51,0.75,1.14,4.13,3.20,4.37,2.51,1.36,1.24,4.77,2.66,0.73,1.32,3.16,2.80,
144,part,osa,4,3,4.14,2.93,3.74,1.67,0.69,1.11,0.18,0.23,2.88,3.10,3.72,2.70,4.23,1.28,0.78,1.03,0.35,0.54,2.76,2.60,
145,peace,rauha,5,5,3.28,2.47,7.48,1.71,4.69,2.68,0.19,0.23,6.44,2.62,3.63,2.39,7.43,1.69,4.70,2.89,0.30,0.75,5.32,2.82,
146,perfection,täydellisyys,10,12,3.11,2.37,6.48,2.02,3.52,2.71,0.24,0.28,5.85,2.91,3.60,2.50,5.08,2.30,3.95,2.49,0.67,1.14,6.43,2.48,
147,phase,vaihe,5,5,2.47,2.17,4.02,1.37,0.64,1.05,0.21,0.54,4.42,3.09,3.00,2.30,4.25,1.39,1.06,1.46,0.39,0.82,4.73,3.04,
148,pillow,tyyny,6,5,4.54,2.50,5.20,1.90,0.96,1.57,0.18,0.19,0.36,0.47,5.07,2.72,6.40,1.70,2.03,2.26,0.27,0.60,0.35,0.65,
149,piss,kusi,4,4,5.05,2.82,1.83,1.55,1.71,2.17,3.14,2.35,1.78,2.42,4.29,3.03,2.09,1.54,1.75,2.05,3.94,2.82,0.68,1.18,
150,poison,myrkky,6,6,1.59,1.63,1.12,1.09,2.31,2.33,0.68,1.43,1.15,1.64,2.22,2.04,1.32,1.27,2.38,2.20,1.00,1.70,1.10,1.56,
151,pollution,saaste,9,6,3.53,2.53,1.47,1.28,2.32,2.28,0.73,1.25,2.84,2.80,2.84,2.41,1.39,1.21,2.22,2.19,1.20,1.82,2.01,2.29,
152,poverty,köyhyys,7,7,3.10,2.62,1.08,1.42,3.97,2.85,0.96,1.68,3.44,2.94,3.45,2.40,1.18,1.09,4.50,2.67,1.74,2.22,4.13,2.74,
153,prick,kusipää,5,7,4.63,2.94,1.39,1.16,2.77,2.55,4.92,2.74,4.25,3.04,4.67,3.03,1.27,1.18,3.71,3.02,6.84,1.98,3.82,2.98,
154,privacy,yksityisyys,7,11,3.54,2.46,5.71,1.75,2.84,2.48,0.38,0.93,5.14,2.87,3.37,2.36,5.44,1.90,3.79,2.58,0.47,0.87,5.08,2.81,
155,profit,tuotto,6,6,3.39,2.46,6.53,1.74,2.22,2.33,0.28,0.46,2.73,2.85,2.19,1.96,5.26,1.76,1.38,1.68,0.43,0.84,2.76,2.57,
156,punishment,rangaistus,10,10,3.40,2.41,1.76,1.87,3.92,2.61,0.73,1.36,3.87,3.05,3.03,2.30,2.16,1.90,3.90,2.61,1.05,1.79,3.03,2.44,
157,pus,visva,3,5,1.25,1.62,1.66,1.40,1.02,1.43,1.70,2.01,0.84,1.52,0.63,0.97,1.78,1.64,1.17,1.68,2.70,2.83,1.77,2.19,
158,pussy,pimppi,5,6,3.47,2.77,2.40,2.20,2.47,2.64,4.86,2.97,2.30,2.66,1.88,2.30,2.66,2.21,2.33,2.58,4.73,3.02,0.90,1.51,
159,quarrel,riita,7,5,1.77,1.84,1.99,1.28,3.32,2.65,0.60,1.18,3.53,2.83,4.46,2.53,1.28,1.13,5.30,2.73,1.24,1.82,3.21,2.86,
160,rage,raivo,4,5,2.59,2.31,0.95,0.82,5.76,3.00,0.95,1.67,5.56,3.07,2.69,2.13,1.60,1.35,5.54,2.94,1.29,1.76,5.27,2.54,
161,rape,raiskaus,4,8,2.84,2.54,0.27,0.34,6.60,2.38,4.64,3.21,2.66,2.92,2.51,2.26,0.42,0.51,6.15,2.57,3.82,3.06,1.99,2.47,
162,reality,todellisuus,7,11,3.63,2.56,4.81,1.72,2.87,2.76,0.40,0.97,6.36,2.82,3.38,2.39,5.15,1.59,3.38,2.65,0.38,0.77,6.01,2.65,
163,respect,kunnioitus,7,10,4.54,2.30,7.21,1.68,5.08,2.76,0.39,0.94,6.06,2.87,3.14,2.23,6.96,1.70,5.01,2.52,0.32,0.86,5.77,2.64,
164,reward,palkkio,6,7,3.19,2.30,7.01,1.69,3.67,2.73,0.22,0.24,3.62,2.62,2.74,2.14,6.33,1.91,2.51,2.24,0.47,0.90,1.73,1.99,
165,ridicule,pilkka,8,6,1.66,1.76,1.52,1.29,3.38,2.67,1.08,1.73,5.25,3.00,2.02,1.86,1.32,1.25,3.82,2.58,1.81,2.38,4.35,2.75,
166,route,reitti,5,6,3.08,2.31,4.32,1.21,0.54,0.69,0.17,0.17,2.16,2.63,3.21,2.30,4.46,1.39,0.82,1.07,0.27,0.36,1.86,2.21,
167,scrotum,kivekset,7,8,1.50,1.95,2.74,1.74,1.19,1.68,2.41,2.59,0.81,1.31,2.45,2.37,3.80,1.84,2.07,2.16,3.05,2.99,0.50,1.18,
168,security,turvallisuus,8,12,3.73,2.38,6.02,2.00,2.72,2.64,0.25,0.65,3.50,2.76,3.89,2.42,7.11,1.76,4.55,2.81,0.25,0.30,5.42,2.62,
169,selfishness,itsekkyys,11,9,3.27,2.31,1.34,1.21,4.04,2.71,1.02,1.49,6.31,2.44,3.05,2.27,1.57,1.44,4.37,2.61,2.04,2.38,5.81,2.43,
170,shag,pano,4,4,5.30,2.72,4.08,2.46,3.91,3.01,2.88,2.72,2.75,2.85,3.85,2.90,3.74,2.57,3.77,2.94,5.00,2.87,1.97,2.36,
171,shit,paska,4,5,6.86,2.43,1.46,1.53,2.51,2.37,4.12,2.70,2.65,2.85,6.00,2.76,1.96,1.47,2.39,2.51,4.74,2.66,1.06,1.67,
172,sister,sisko,6,5,5.48,2.68,6.32,2.19,4.34,3.09,0.25,0.62,0.91,1.59,5.60,2.80,7.41,1.63,5.42,2.95,0.24,0.41,0.78,1.48,
173,size,koko,4,4,4.46,2.57,4.18,1.18,1.43,2.08,0.53,1.46,2.49,2.60,4.66,2.70,4.45,1.32,1.55,1.96,0.84,1.50,2.80,2.65,
174,slapper,hutsu,7,5,3.51,2.68,1.35,1.37,3.03,2.49,5.04,2.70,4.89,2.79,1.96,2.38,1.03,1.07,3.14,3.03,6.65,2.51,2.39,2.42,
175,slaughter,teurastus,9,9,1.47,1.66,0.58,0.77,4.81,2.92,1.98,2.48,2.84,2.74,1.56,1.66,1.04,1.14,4.34,2.83,2.35,2.49,1.79,2.24,
176,slime,lima,5,4,1.22,1.35,2.14,1.52,1.06,1.40,0.77,1.24,1.22,1.87,2.22,1.91,2.02,1.51,1.53,2.01,1.70,2.11,0.82,1.38,
177,slut,lutka,4,5,4.34,2.89,1.07,1.10,3.56,2.60,5.63,2.71,4.29,3.01,2.46,2.64,0.99,1.28,3.84,3.12,7.16,2.35,2.77,2.53,
178,snake,käärme,5,6,2.04,2.04,3.17,1.94,1.86,2.20,0.49,0.95,0.35,0.50,2.64,2.21,2.25,1.71,2.52,2.53,0.83,1.46,0.44,0.94,
179,snow,lumi,4,4,2.45,1.98,5.74,1.63,2.23,2.53,0.16,0.13,0.57,1.19,5.03,2.49,5.01,1.92,2.25,2.25,0.28,0.51,0.61,1.02,
180,spider,hämähäkki,6,9,3.92,2.37,2.71,1.61,2.02,2.63,0.58,1.40,0.30,0.44,3.15,2.38,2.70,1.86,2.81,2.70,0.61,1.10,0.39,0.69,
181,sport,urheilu,5,7,5.88,2.42,5.76,1.89,2.32,2.57,0.21,0.26,1.94,2.38,5.84,2.56,6.33,1.97,3.23,2.93,0.28,0.46,2.13,2.40,
182,spray,suihke,5,6,3.14,2.38,4.09,1.41,0.61,0.79,0.25,0.41,1.09,1.75,2.39,2.12,4.14,1.55,0.92,1.13,0.33,0.61,1.01,1.56,
183,square,aukio,6,5,2.44,2.31,4.04,1.40,0.54,0.85,0.19,0.16,0.84,1.87,1.74,1.69,4.31,1.37,0.98,1.32,0.30,0.55,1.16,1.82,
184,statue,patsas,6,6,1.73,1.77,3.90,1.61,0.76,1.08,0.20,0.32,0.67,1.20,2.24,2.07,4.50,1.30,0.89,1.14,0.42,1.02,0.41,0.62,
185,stench,löyhkä,6,6,1.86,1.72,1.52,1.39,1.77,2.04,1.71,2.17,2.28,2.82,1.68,1.69,1.49,1.25,2.43,2.34,3.26,2.55,2.29,2.44,
186,street,katu,6,4,4.87,2.73,4.13,1.23,0.72,1.05,0.20,0.30,0.65,1.26,4.56,2.66,4.50,1.36,0.96,1.19,0.25,0.33,0.45,0.86,
187,suicide,itsemurha,7,9,2.64,2.41,0.44,0.50,5.75,2.92,1.90,2.58,3.21,2.91,2.64,2.45,0.61,0.80,6.27,2.61,2.32,2.39,2.33,2.66,
188,swamp,suo,5,3,1.37,1.85,2.61,1.58,0.85,1.35,0.42,0.85,1.20,1.86,2.03,2.07,3.82,1.69,0.99,1.29,0.39,0.84,0.77,1.32,
189,table,pöytä,5,5,5.21,2.86,4.30,1.21,0.42,0.59,0.26,0.79,0.43,1.06,5.70,2.68,4.87,1.34,0.75,0.98,0.23,0.33,0.29,0.43,
190,thrill,elämys,6,6,2.75,2.14,6.20,2.34,5.23,2.69,0.30,0.69,5.88,2.80,2.74,2.05,7.05,1.59,5.22,2.70,0.27,0.40,5.08,2.75,
191,time,aika,4,4,7.18,2.29,4.74,1.42,1.90,2.42,0.21,0.43,5.08,3.23,6.48,2.28,4.50,1.50,2.01,2.10,0.30,0.49,5.88,3.02,
192,tit,tissi,3,5,4.00,2.89,2.64,2.12,2.17,2.39,3.33,2.69,1.66,2.01,4.01,2.78,4.23,2.35,2.74,2.56,3.53,2.97,0.54,1.12,
193,torture,kidutus,7,7,1.80,1.84,0.73,1.17,5.13,2.91,1.97,2.50,3.19,2.87,2.02,1.91,0.69,0.96,5.51,2.77,2.36,2.49,2.79,2.62,
194,trash,roska,5,5,2.21,2.35,2.03,1.55,1.20,1.68,1.36,2.09,0.90,1.46,4.97,2.57,2.38,1.61,1.47,1.95,1.11,1.89,0.50,0.73,
195,truth,totuus,5,6,4.93,2.41,7.23,1.49,4.85,2.90,0.43,1.04,5.73,3.10,4.27,2.41,6.83,1.84,4.92,2.87,0.55,1.10,5.78,2.75,
196,tumour,kasvain,6,7,1.92,2.04,0.60,0.67,4.45,3.01,1.11,2.05,1.26,1.88,2.11,2.05,0.95,1.20,4.02,2.85,1.05,1.56,1.31,1.94,
197,turd,köntsä,4,6,2.24,2.43,1.79,1.52,1.12,1.58,2.91,2.41,1.38,1.89,1.04,1.72,2.17,1.74,0.94,1.44,3.12,2.77,2.24,2.43,
198,twat,ääliö,4,5,5.44,2.82,1.48,1.22,2.97,2.55,4.76,2.71,4.68,2.84,4.36,2.78,1.70,1.31,3.22,2.56,5.23,2.59,3.83,2.84,
199,unit,yksikkö,4,7,2.36,2.26,3.75,1.58,0.47,0.59,0.20,0.21,1.70,2.51,2.23,2.18,4.06,1.49,0.85,1.14,0.28,0.46,2.82,2.80,
200,urine,virtsa,5,6,1.73,2.05,2.35,1.87,0.90,1.59,1.24,1.47,0.79,1.53,1.41,1.62,2.56,1.78,1.24,1.77,2.27,2.46,0.61,1.08,
201,vehicle,kulkuneuvo,7,10,3.48,2.46,4.52,1.61,1.01,1.53,0.16,0.16,0.56,1.12,2.83,2.31,5.24,1.61,1.43,1.77,0.23,0.28,0.41,0.60,
202,vomit,oksennus,5,8,2.39,1.94,1.58,1.25,1.63,1.74,1.25,1.47,1.00,1.62,2.88,2.31,1.26,1.58,2.64,2.62,2.19,2.38,0.72,1.39,
203,wanker,runkku,6,6,5.28,2.83,1.16,1.16,3.15,2.62,5.51,2.58,4.36,3.06,2.29,2.65,1.16,1.16,2.54,2.83,6.62,2.49,3.37,2.82,
204,war,sota,3,4,4.14,2.85,0.81,1.39,5.22,2.86,1.42,2.07,3.19,2.85,3.75,2.70,1.05,1.54,5.52,2.68,1.23,2.19,1.84,2.16,
205,warmth,lämpö,6,5,3.71,2.56,6.97,1.45,3.64,2.86,0.17,0.21,3.99,3.11,4.80,2.56,7.10,1.52,4.14,2.90,0.22,0.26,2.80,2.72,
206,water,vesi,5,4,7.02,1.95,6.03,1.90,1.44,1.93,0.14,0.15,0.72,1.34,6.85,2.30,6.62,1.78,1.74,2.11,0.22,0.31,0.66,1.38,
207,wealth,varallisuus,6,11,3.43,2.55,6.47,1.95,2.88,2.61,0.67,1.28,3.37,2.77,2.75,2.18,4.62,2.42,2.65,2.30,0.83,1.34,4.31,2.74,
208,whore,huora,5,5,3.67,2.89,0.88,0.79,3.93,2.67,5.78,2.98,4.27,3.10,3.68,2.97,0.88,1.13,4.10,3.12,7.50,2.02,2.64,2.55,
209,wine,viini,4,5,4.97,2.70,5.12,2.12,1.60,1.95,0.18,0.18,0.61,1.28,3.58,2.70,5.13,1.83,2.47,2.26,0.38,0.76,0.43,0.84,
210,wound,haava,5,5,2.11,1.95,1.51,1.18,2.74,2.54,0.32,0.56,1.37,1.92,3.74,2.48,2.24,1.40,2.42,2.14,0.55,1.20,0.66,1.16,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
