unigram	unigram_freq
veral	35
werklik	35
glimlag	35
leopold	34
onmoontlik	34
slim	34
gevolg	34
goue	34
doel	34
hang	34
minister	34
beplan	34
dooie	34
vermoor	34
germain	34
bou	34
ruyter	34
arm	34
donker	34
jonk	34
nelly	34
vlug	34
to	34
belowe	34
johan	34
onderwyser	34
verlore	34
pak	34
koud	34
res	33
klop	33
hospitaal	33
stuk	33
tuin	33
teenoor	33
ly	33
gedood	33
hel	33
12	33
muur	33
sophie	33
dorp	33
more	33
boodskap	33
gebreek	33
trein	33
berlyn	33
seer	33
voorbeeld	33
belang	33
skip	33
verdra	33
eendag	32
sake	32
be	32
asem	32
nader	32
george	32
regkom	32
ses	32
gespeel	32
menere	32
eindig	32
ontdek	32
als	32
wit	32
jag	32
eenvoudig	32
spreek	32
enkele	32
alceste	32
eindelik	32
behalwe	32
behandel	32
7	32
hongarye	32
lieflike	31
anton	31
swart	31
skielik	31
lotte	31
jesus	31
situasie	31
grootste	31
sluit	31
leër	31
kasteel	31
uitvind	31
gebel	31
moeite	31
tas	31
heen	31
opdrag	31
hello	31
prys	31
straat	31
bal	31
honger	31
weimar	31
hiernatoe	31
daarin	31
geheime	31
saamgaan	31
markies	31
langer	30
verdomde	30
juis	30
nommer	30
persoon	30
ter	30
rol	30
siel	30
brand	30
pos	30
weggaan	30
max	30
woud	30
fees	30
vlaandere	30
vroeër	30
punt	30
meeste	30
krag	30
verrassing	30
ongeluk	30
vreemd	30
gewone	29
diep	29
verskoning	29
begrawe	29
geskiedenis	29
voort	29
adres	29
teruggaan	29
klara	29
front	29
ciske	29
verdedig	29
morange	29
seuns	29
mond	29
stilte	29
russiese	29
leier	29
waarheen	29
stadig	29
kunstenaars	29
platform	29
aurore	29
gelyk	29
foto	29
gesondheid	29
m	29
sand	29
groter	29
vroeg	29
ruik	29
geslaap	29
ivan	28
name	28
hoog	28
moeilikheid	28
henrik	28
hoed	28
mikkel	28
idioot	28
graf	28
blou	28
voer	28
gesit	28
bied	28
liefie	28
ware	28
smeek	28
pérol	28
professor	28
weier	28
herr	28
kontak	28
uiteindelik	28
duur	28
vermy	28
alweer	28
versoek	28
oortuig	28
bid	28
waarskynlik	28
hardloop	28
twyfel	28
aandag	28
heilige	27
afspraak	27
gesteel	27
vrolik	27
rug	27
sin	27
bevestig	27
karin	27
chopin	27
verwyder	27
and	27
vreemde	27
hiervan	27
arms	27
bespreek	27
wind	27
