			                                                                     DIistinctiveness				                                                      Consequentiality				                                Memorability			                                Surprise			                              Meaningfulness			                                Familiarity		
erotfema		4232		5.04		2.76		4.15		2.85	4.5		2.98	5.96		2.46	3.85		2.91	4.23		2.34
prostitu		4233		4		2.31		3.03		2.51	2.98		2.29	3.5		2.12	3.05		2.6	4.33		2.92
erotfema		4235		5.08		2.19		3.21		2.34	4.13		2.33	5.84		2.39	3.55		2.51	5.55		2.37
eroticfe		4240		4.16		2.12		2.36		1.78	2.76		2.03	4.63		2.36	2.44		1.89	4.68		2.72
femaleat		4250		3.69		2.05		2.45		1.96	2.45		1.68	2.31		1.67	2.52		1.64	5.21		2.8
femaleat		4274		3.63		2.1		2.85		2.13	2.63		2.17	2.85		1.97	2.26		2.09	5.67		2.32
attracfe		4275		3.8		2.48		2.52		1.98	2.76		2.3	3.4		2.27	2.88		2.17	6.79		2.15
eroticfe		4279		4.27		1.8		2.77		1.66	2.12		1.37	3.54		1.84	2.23		1.42	3.8		2.29
eroticfe		4290		5.2		2.45		2.32		1.99	3.16		1.93	4.96		2.54	3.12		2.15	3.68		2.08
erotfema		4300		2.65		2.56		4.08		2.98	4.81		2.93	6		2.21	3.77		2.87	4.12		2.47
eroticfe		4302		6.77		2.17		2.95		2.45	4.9		2.59	6.59		2.51	3.03		2.37	2.72		2.37
erotfem 		4310		4.64		2.29		3.12		1.99	3.72		2.57	4.2		2.47	3.76		2.37	3.92		2.53
erotfema		4320		4.73		2.77		3.2		2.57	3.9		2.57	5.41		2.36	3.15		2.22	4.05		2.65
erotic m		4460		4.72		2.62		3.4		2.35	4.16		2.61	5.48		2.22	3.48		2.16	5.16		2.56
eroticma		4470		4.62		2.47		3.27		1.95	3.65		2.1	4.58		2.27	3.27		1.87	4.85		2.36
eroticma		4490		5.8		2.53		3.1		2.39	4.44		2.39	6.59		2.37	2.8		2.34	3.78		2.51
attraman		4500		3.88		2.33		3.78		2.61	3.98		2.48	3.57		2.44	4.05		2.47	6.1		2.8
attracma		4510		3.44		2.16		2.88		1.85	3.09		2.02	3.42		2.07	2.44		1.8	4.91		2.72
erotic m		4520		4.97		2.2		3.3		2.25	3.5		2.18	4.65		2.39	3.36		2.28	4.09		2.29
erotmale		4530		4.47		2.54		2.51		1.91	3.23		2.26	4.47		2.4	2.33		1.54	3.3		2.56
eroticma		4531		4.16		2.44		4.14		2.14	4.27		2.38	3.43		2.03	3.96		2.44	5.37		2.11
attraman		4532		3.82		2.51		3.87		2.5	3.68		2.27	3.29		2.3	4.11		2.37	5.26		2.58
attractm		4533		4.21		2.54		3.68		2.39	3.76		2.58	2.96		2.03	3.69		2.26	5.84		2.33
maledanc		4534		4.24		1.84		3.71		2.24	3.76		2.09	3.39		1.67	3.42		2.19	6		2.11
weightli		4535		3.62		2.28		4.27		2.44	3.65		2.5	2.85		1.95	4.19		2.35	6.88		2.12
attractm		4536		3.31		1.95		2.64		1.68	2.76		1.69	2.48		1.64	2.76		1.69	4.72		2.23
eroticma		4550		5.62		2.18		3.76		2.56	4.31		2.49	6.41		2.49	3.72		2.3	4.62		2.68
eroticma		4561		6.83		1.99		3.75		2.27	5.92		2.83	7.58		1.67	3.5		2.23	2.88		2.07
attraman		4571		4.16		2.14		3.68		2.38	4		2.43	3.36		2.58	3.5		2.17	5.88		2.13
manattra		4572		5.48		1.97		4.63		2.31	5		2.73	3.95		2.39	4.8		2.46	4.85		2.59
couple  		4598		5.77		1.34		4.31		2.02	4.88		2.34	4.08		1.74	5.88		2.23	3.2		1.68
romance 		4599		3.32		2.14		4.95		2.62	4.44		2.67	2.83		2.01	5.76		2.28	7.73		1.47
romance 		4601		4.47		1.88		4.63		2.05	4.26		2.23	3.15		1.81	4.9		2.08	5.45		1.86
romance 		4603		4.68		1.82		5.2		2.02	4.84		2.34	4.56		2.12	5.76		2.15	5.32		2.3
couple  		4605		2.98		1.81		2.88		2.23	2.88		2.16	2.66		1.84	3.44		2.41	5.17		2.56
romance 		4606		4.56		2.54		5.28		2.37	4.54		2.61	2.72		1.78	5.79		2.14	6.33		1.94
eroticco		4607		4.88		2		4.88		2.71	5.05		2.34	5.22		2.09	4.93		2.63	5.29		2.33
erotcoup		4608		4.44		1.85		4.76		2.44	4.76		2.28	3.6		1.94	4.72		2.57	6.28		2.05
couple  		4609		5		2.28		4.69		2.21	3.72		2.15	3.36		2.04	4.14		2.37	7.11		1.83
romance 		4610		3.53		2.41		5.13		2.79	4.13		2.86	3		2.23	5.97		2.51	6.51		2
erotic c		4611		4.27		2.09		4.46		2.12	3.65		1.77	3.5		2.1	5.15		2.24	6		1.6
condom  		4613		3.74		2.45		5.23		2.88	3.62		2.43	2.92		2.04	5.21		2.53	5.72		2.45
romance 		4614		4.5		2.42		4.69		2.77	4.19		2.67	3.12		2.12	4.65		2.81	5.35		2.13
eroticfe		4617		3.96		2.38		3.7		2.52	3.81		2.32	2.81		1.9	4.07		2.45	5.46		1.68
harassme		4621		4.96		2.61		5.52		2.54	4		2.2	3.92		2.22	5.44		2.43	3.48		2.29
bikecoup		4631		5.25		2.37		3.31		2.29	3.79		2.24	4.62		2.46	3.55		2.47	5.28		2.58
prostitu		4635		6.38		1.92		2.09		1.83	4		2.14	5.81		1.98	3.23		2.08	2.19		1.86
romance 		4640		4.13		2.67		5.95		2.41	4.65		2.58	3.18		2.1	6.33		2.09	7.4		2.12
romance 		4641		4.23		2.59		4.93		2.56	5.18		2.54	2.8		1.68	5.98		2.13	6.78		1.62
eroticco		4650		3.92		2.08		4.36		2.46	4.08		2.04	3.28		2.01	4.36		2.5	5.17		2.2
erticcpl		4651		5.78		2.31		4.59		2.45	4.46		2.37	4.39		2.45	4.71		2.27	4.63		2.34
eroticco		4652		4.7		2.59		5.33		2.38	4.6		2.42	4.6		2.78	5.18		2.32	6.45		2.6
eroticco		4653		4.6		2.06		5.56		2.42	4.68		2.15	3.76		2.28	5.8		2.68	6.68		2.01
eroticco		4656		4.44		2.36		4.88		2.51	3.8		2.43	3.64		2.16	5.12		2.37	5.56		2.47
eroticco		4658		4		2.29		5.04		2.59	5.2		2.66	5.16		2.3	4.76		2.07	5.56		2.12
erotcoup		4659		5.4		2.74		5.04		2.46	5.4		2.42	5.76		2.82	5.6		2.27	4.92		2.61
erotcoup		4660		4.49		2.24		4.63		2.44	4.16		2.51	3.58		2.11	4.84		2.28	6.28		2.24
erotcoup		4664		5.48		2.45		4.43		2.52	5.4		2.55	5.44		2.57	4.95		2.36	5.05		2.43
erotic  		4664.1		4.93		2.48		4.41		2.71	4.74		2.68	6.04		1.91	4.33		2.62	5.19		1.98
attack  		4664.2		7.33		1.82		3.59		2.51	6		2.14	7.1		1.53	3.73		2.52	2.07		1.63
eroticco		4666		4.64		2.47		5.08		1.98	4.36		2.14	4.88		2.52	5.56		2.45	5.84		2.12
eroticco		4669		3.83		2.74		4.33		2.62	4.4		2.64	4.38		2.73	4.35		2.64	6.15		2.57
eroticco		4670		4.68		2.19		3.76		2.07	4		2.27	4.48		2.57	4.44		2.12	5.76		2.18
eroticou		4672		5.15		2.55		5.2		2.36	5.35		2.58	6.43		2.76	4.9		2.62	5.4		2.68
eroticco		4680		5.58		1.86		3.96		1.97	5.23		2.27	5.96		1.56	4.73		2.2	4.08		2.08
eroticco		4681		5.21		2.13		4.24		2.57	4.31		2.41	4.93		2.48	4.55		2.06	4.69		2.36
eroticco		4683		5		1.89		4.36		2.56	4.44		2.14	4.96		2.32	4.72		2.28	5.68		2.51
erotcoup		4687		5.2		2.22		5.08		2.21	4.95		2.37	5.03		2.71	5		2.21	5.38		2.13
eroticco		4689		4.62		1.79		4.88		1.84	4.04		1.78	3.88		1.73	4.69		1.85	5.88		2.2
erotcoup		4690		4.68		2.38		4.6		2.55	4.4		2.55	4.76		2.71	4.72		2.41	5.2		2.55
couple  		4700		4.35		2.12		5.5		2.21	3.65		2.06	3.27		2.05	5.62		2.26	6.5		2.25
nudewoma		4750		5.53		1.9		3.47		2.3	3.92		2.43	4.66		2.32	3.63		2.54	3.79		2.35
femakiss		4770		5.35		2.27		3.07		2.4	4.09		2.19	5.44		2.06	3.37		2.52	3.33		2.22
erotcoup		4800		5.32		2.48		4.32		2.3	4.96		2.62	5.52		2.68	4.56		2.36	4.76		2.67
eroticco		4810		5.46		1.86		4.54		2.56	5.31		2.29	6.15		2.29	5.04		2.44	5.81		1.81
flower  		5000		3.17		2.57		3.44		2.2	3.21		2.32	1.84		1.43	4.6		2.16	7.32		1.31
sunflowe		5001		2.63		1.47		3.88		2.27	3.33		2.14	2.29		1.99	4.08		2.32	7.71		1.27
flower  		5010		3.88		2.08		4.27		2.32	3.5		1.94	2		1.33	4.81		2.06	6.92		1.83
flower  		5020		3.79		2.16		3.61		2.26	3.39		2.09	2.37		1.26	3.97		2.22	6.16		2.12
flower  		5030		3.52		2.08		4.04		2.28	3		1.8	2.4		1.53	4.32		2.3	7.12		1.67
pineneed		5120		4.35		2.54		2.12		1.58	2.51		1.96	3.53		2.18	2.21		2.01	4.26		2.82
rocks   		5130		3.91		2.5		1.95		1.4	1.91		1.44	3.7		2.58	1.54		1.01	3.04		2.7
flowers 		5200		3.85		2.52		4.9		2.46	5.03		2.57	2.83		2.02	5.1		2.24	7.05		1.75
nature  		5201		3.2		2.14		3.9		2.58	4.66		2.33	4.39		2.42	2.98		2.12	5.39		2.08
nature  		5220		3.39		2.51		3.59		2.54	2.93		2.31	2.17		1.31	3.75		2.7	5.86		2.32
nature  		5250		3		1.94		3.49		2.19	4.07		2.3	3.63		2.26	2.61		1.92	4		2.29
waterfal		5260		5.77		1.95		5.19		2.08	5.5		2.27	3.5		1.9	5.54		2.16	5.38		1.65
nature  		5270		5.4		2.96		3.84		2.19	4.36		2.4	3.84		2.03	4.72		2.56	3.32		2.32
galaxy  		5300		5.15		2.36		4.45		2.44	4.26		2.34	3.56		2.17	4.36		2.08	4.46		2.52
boat    		5390		4.92		2.06		4.64		2.23	4.24		2.33	2.63		1.79	5.32		2.17	5.44		1.94
boat    		5395		3.38		2.23		2.48		1.66	2.66		1.78	2.28		1.77	2.76		1.94	5.38		2.48
violinis		5410		5.2		1.83		3.72		2.26	3.96		2.76	3.4		2.16	4.2		2.63	4.52		1.76
liftoff 		5450		4.76		2.88		2.04		1.9	3.24		2.55	2.72		1.81	2.4		2.25	3.2		2.45
cockpit 		5455		3.9		2.5		2.83		1.98	2.69		1.91	2.5		1.58	3		2.09	3.46		1.99
astronau		5460		5.13		2.71		4.3		2.59	4.43		2.76	3.08		1.97	4.98		2.41	5.53		2.55
astronau		5470		3.78		2.52		5.05		2.5	4.68		2.94	3.28		2.15	4.9		2.77	5.53		2.82
firework		5480		4.62		2.57		4.97		2.29	4.77		2.62	3.03		1.83	5.38		2.39	6.92		2.01
mushroom		5500		2.75		2.38		2.28		2.05	2.08		1.61	2.6		1.98	2.56		2.24	6.28		2.28
mushroom		5510		2.96		2.25		1.68		1.07	1.72		1.06	1.8		1.04	1.96		1.34	6		1.89
mushroom		5520		2.88		2.01		2		1.5	1.77		1.31	2		1.74	2		1.6	5.19		2.74
mushroom		5530		2.8		1.89		2.71		1.83	2.59		1.87	2.63		2.01	2.98		2.3	5.53		2.37
mushroom		5531		3.56		1.85		2.64		1.6	2.32		1.44	2.2		1.61	2.44		1.71	4.44		2.45
mushroom		5532		3.35		2.26		2.46		2.11	2.68		2.03	2.54		1.72	3.22		2.38	5.49		2.6
mushroom		5533		3.48		2.44		2.79		2.04	2.34		1.52	2.83		1.91	2.38		2.04	4.66		2.41
mushroom		5534		2.66		1.85		3.61		2	2.41		1.87	2.27		1.99	2.34		1.53	2.49		2
stillife		5535		4.25		2.47		2.25		1.68	2.45		1.92	3.03		2.15	2.18		1.75	3.18		1.99
sky     		5593		3.24		2.33		4.92		2.45	3.84		2.27	2.76		2.22	4.68		2.59	6.96		2.3
sky     		5594		5.1		2.72		5.68		2.47	5.45		2.33	3.2		2.16	6.35		1.86	7.25		1.78
mountain		5600		5.46		2.1		4.85		2.26	5.08		2.21	3.35		2.08	5.27		2.15	4.76		2.28
skydiver		5621		6.72		1.93		5.64		2.36	6.2		1.96	4.68		2.19	6.56		1.96	4.32		2.51
shark   		5622		4.7		2.44		3.3		1.77	3.91		2.25	3.22		1.76	3.96		2.36	4.26		2.42
windsurf		5623		4.52		2.31		3.48		2.23	3.83		2.28	3.97		2.37	3.9		2.23	4.66		2.38
hnglider		5626		6.12		2.42		3.92		2.27	4.68		2.46	4.2		2.04	4.76		2.82	3.44		2.04
mountain		5628		5.91		1.59		4		2.48	4.44		2.53	3.97		2.04	4.66		2.66	4.34		2.27
hiker   		5629		5.16		2.1		3.4		2.25	4.28		2.37	3.92		2.21	3.96		2.05	3.8		2.14
mountain		5660		5.36		2.29		4.76		2.45	4.92		2.06	3.64		2.16	5.2		2.6	5.04		2.32
mountain		5700		5.44		2.43		3.68		1.91	5.04		2.68	3.36		1.63	4.64		2.55	3.92		2.55
farmland		5720		3.76		2.79		3.69		2.77	3.25		2.48	2.49		1.84	3.94		2.82	6.38		2.39
flowers 		5731		3.76		2.62		3.71		2.72	4.24		2.9	2.79		1.89	4.47		2.94	5.42		2.33
plant   		5740		2.91		2.52		2.68		2.01	2.59		1.71	2.27		2.05	3.14		2.46	6.73		2.12
nature  		5750		4.68		2.64		4.76		2.65	4.08		2.69	2.56		1.64	4.16		2.61	6.58		1.98
nature  		5760		4.41		2.1		4.38		2.35	4.31		2.59	3.28		2.17	4.5		2.36	6.14		1.77
courtyar		5779		4.35		2.39		5.04		2.23	5.19		2.38	3.11		1.76	5.77		2.48	5.62		1.9
nature  		5780		4.56		1.83		4.56		2.16	4.44		2.42	2.92		1.75	5.04		2.11	5.92		1.75
leaves  		5800		4.52		2.61		4.52		2.52	4.22		2.68	2.3		1.61	5.26		2.7	7.3		1.64
mountain		5820		5.07		2.36		4.42		2.31	4.81		2.34	2.79		1.83	4.88		2.6	4.74		2.44
sunset  		5830		5.36		2.53		5.52		2.54	5.4		2.75	3.04		1.99	5.64		2.69	4.28		2.51
seagulls		5831		5.48		2.24		3.96		2.64	3.64		2.08	4		2.16	4.88		2.52	4.48		2.18
flowers 		5849		4.75		2.24		4.18		2.2	3.9		2.39	2.93		2.16	4.55		2.51	5.65		2.01
clouds  		5870		3.73		2.66		4.38		2.64	4.19		2.28	2.73		2.01	4.62		2.42	7.42		2.08
bicyclis		5875		5		2.36		3.76		2.47	4.04		2.52	3.04		1.93	4.16		2.43	4.52		2.33
earth   		5890		3.73		2.71		5.98		2.6	5.7		2.74	2.35		1.58	6.33		2.03	7		2.35
clouds  		5891		2.52		1.78		3.78		2.61	3.61		2.74	2.22		1.51	4.04		2.58	8.17		0.89
desert  		5900		3.5		2.5		3.06		2.54	3.24		2.41	2.29		1.57	3.82		2.83	5.13		2.68
firework		5910		4.12		2.42		4.04		2.56	4.76		2.59	3.24		2.33	5.08		2.5	6.44		2.57
volcano 		5920		5.38		2.48		3.48		2.18	3.68		1.84	3.48		1.78	3.72		2.25	3.4		2.5
lava    		5940		3.76		2.42		5.78		2.24	4.24		2.37	5.17		2.52	5.02		2.33	4.71		2.09
lightnin		5950		4.6		2.14		3.8		1.91	4.04		2.21	2.96		1.65	3.8		2.24	4.63		2.41
tornado 		5970		4.81		2.38		5		2.14	4.65		2.31	3.85		2.38	5.23		1.63	4.77		2.66
tornado 		5971		5.96		2.05		4.77		2.14	4.81		2.26	4.42		2.19	5.19		2.32	3.73		2.15
tornado 		5972		6		2.02		5.81		2.29	5.41		2.45	4.67		2.39	5.52		2.33	4.41		2.04
sky     		5982		4.25		2.53		5.48		1.96	5		2.67	2.95		1.99	6		2.12	6.93		2.02
sky     		5990		4.5		2.28		4.12		1.95	4.23		2.27	2.68		1.52	4.81		2.3	6.15		2.33
sky     		5991		3.33		2.5		4.65		2.48	4.38		2.58	2.25		1.58	5.18		2.22	7.48		2.1
skyline 		5994		4.52		1.98		4.28		2.15	4.14		2.33	3.07		1.89	4.62		2.21	4.93		2.52
prison  		6000		4.92		2.21		2.54		1.5	2.88		2.03	4.12		2.14	3.08		2.1	2.23		1.18
jail    		6010		4.56		1.66		3.75		2.17	3.46		1.96	3.72		2.25	4.2		2.4	3.63		2
elechair		6020		5.95		2.05		4.3		2.33	5.8		1.92	5.3		1.92	5.33		2.26	3.13		1.94
outlet  		6150		2.9		2.58		3		2.46	2.15		1.85	1.95		1.85	2.33		1.94	7.3		2.48
aimedgun		6190		5.25		2.6		5.33		2.66	5		2.5	5.72		2.49	5.62		2.41	3.8		2.63
aimedgun		6200		4.39		1.88		5		2.28	5		2.24	4.76		1.87	4.97		2.25	4.63		2.41
aimedgun		6210		4.76		2.44		4.65		2.5	4.91		2.49	5.19		2.4	4.84		2.27	4.19		2.6
attack  		6211		5.69		1.91		4.31		2.09	5.15		1.91	5.23		2.05	4.04		2.07	3.38		2.23
soldier 		6212		6.48		1.95		5.27		2.22	6.04		2.28	5.96		2.54	5.96		2.27	2.65		1.98
terroris		6213		5.61		2.12		4.15		2.46	5.02		2.16	4.98		2.21	4.2		1.87	2.8		1.98
aimedgun		6230		6.23		2.52		4.68		2.43	6.27		2.47	6.62		2.52	5.88		2.49	2.65		2.42
gun     		6241		3.68		1.91		3.6		2.35	3.36		2.43	2.52		1.61	3.46		2.23	4.17		2.44
gang    		6242		5		2.41		4.59		2.54	4.62		2.26	4.34		2	5.14		2.2	4		2.48
aimedgun		6243		5.21		2.21		4.85		2.28	5.36		2.11	4.82		2.37	5.05		2.14	3.87		2.89
aimedgun		6244		6.2		2.69		4.35		2.58	5.8		2.59	6.4		2.43	4.98		2.51	3.13		2.24
aimedgun		6250		4.12		3.1		6.84		2.37	5.96		1.97	2.72		1.95	7		1.89	8.12		1.01
aimed gu		6250.1		5.04		2.31		4.38		2.21	5.77		1.92	6.04		2.14	4.88		2.12	3.46		2.2
icecream		6250.2		3.49		2.18		3.19		2.01	3.18		2.36	3.25		2.07	3.24		2.08	4.69		2.63
aimedgun		6260		6		2.58		4.77		2.08	5.58		2.18	6.04		2.51	5.58		2.27	2.42		1.86
knife   		6300		6.52		1.5		6.52		1.85	5.8		1.98	6.32		2.15	5.72		1.93	3.48		2.14
abductio		6312		5.96		2.03		5.5		2.27	5.38		2.08	6.04		1.84	5.54		2.06	3.46		1.75
attack  		6313		6.36		1.91		5.76		2.52	5.79		2.19	5.4		2.12	5.52		2.31	2.68		1.93
attack  		6314		4.7		2.08		4.3		2.42	3.74		2	4.3		2.3	4.04		2.51	3.35		2.19
attack  		6350		4.34		2.56		5.56		2.46	5.46		2.12	5.51		2.37	5.34		2.27	5.51		2.06
attack  		6360		5.48		2.08		4.44		2.4	4.4		2.47	4.96		2.05	4.92		2.31	3.08		1.87
attack  		6370		6.04		2.27		4.23		2.18	5.96		2.25	6.08		1.72	4.65		1.83	2.58		1.92
aimedgun		6410		3		1.73		3.84		2.13	2.72		1.88	2.6		1.76	3.71		2.14	5.64		2.69
attack  		6510		5		2.31		4.16		2.19	4.16		2.12	5.24		1.94	4.2		2.22	3.08		2.08
attack  		6530		6.16		1.84		3.96		2.37	4		2.27	4.08		2.14	4.8		2.31	2.92		1.44
attack  		6540		5.48		2.04		4.64		2.14	5.72		2.37	6.04		2.07	5.2		2.27	2.36		1.8
attack  		6550		7.28		1.79		4.76		2.3	6.4		2.4	6.64		1.87	5.24		2.54	2.6		1.91
attack  		6560		5.72		2.42		5.58		2.47	6.2		2.15	5.93		2.55	5.8		2.29	3.33		2.36
attack  		6561		4.93		2.31		4.9		2.43	4.8		2.36	4.27		1.9	4.98		2.36	4.07		2.32
suicide 		6570		7.03		2.22		6.55		2.76	7.32		2.19	6.61		1.92	6.26		2.52	2.34		1.76
suicide 		6570.1		7.3		2.54		4.42		2.55	7.23		2.05	7.98		1.61	5.35		2.49	1.65		1.65
suicide 		6570.2		3.76		2.67		2.6		2.04	2.79		1.98	3.83		3.16	2.36		1.91	4.44		2.26
cartheft		6571		5.04		2.14		3.96		2.05	5.27		2.2	5.58		2.08	4.92		2.23	2.88		1.99
gun     		6610		4		2.42		4.08		2.61	3.44		2.43	2.76		1.9	4.24		2.18	5.44		2.58
gun     		6800		4.08		1.66		3.88		1.94	3.24		2.09	3.32		1.97	4.04		2.49	4.6		2.68
gang    		6821		4.88		2.2		4.88		1.79	5.24		2.05	5.2		2.22	4.76		2.11	2.48		1.9
guns    		6830		6.6		1.76		5.16		2.61	6.32		2.17	7.04		1.81	5.24		2.2	2.4		1.71
police  		6831		4.91		2.25		4.56		2.17	5		2.2	5.06		2.18	4.69		2.04	3.91		2.41
police  		6834		5.68		2.01		5.35		2.42	5.52		1.73	5		2.4	5.72		2.25	3.74		2.34
Police  		6836		5.36		2.66		4.76		2.65	5.08		2.43	4.16		1.95	5.2		2.74	4.12		2.54
police  		6838		5.73		2.55		4.88		2.73	5.69		2.84	5.85		2.05	5.65		2.35	2.73		1.71
police  		6840		5.72		2.41		3.24		2.39	5		1.94	5.48		2.26	3.84		2.19	2.2		1.53
aircraft		6900		4.7		2.48		4.48		2.79	4.13		2.49	3.13		2.03	4.91		2.66	4.87		2.55
bomber  		6910		3.31		1.98		2.77		1.68	2.77		1.58	2.32		1.35	2.65		1.65	3.92		2.08
missles 		6930		2.76		1.92		4.76		2.36	3.37		2.28	3.63		2.18	3.37		2.2	3.78		2.32
tank    		6940		5.17		2.09		4.03		2.68	4.9		2.26	3.9		2.21	4.55		2.37	4.34		2.51
rollingp		7000		1.92		1.91		2.83		2.12	1.88		1.24	1.32		0.9	3		2.28	6.36		2.33
towel   		7002		3.08		2.38		2.42		1.9	1.65		1.52	2.35		1.72	2.23		1.84	6.38		2.45
spoon   		7004		2.29		1.99		2.57		2.14	1.74		1.4	1.92		1.52	2.61		2.21	7.16		2.38
bowl    		7006		3.56		3.04		2.28		2.15	2.12		1.92	2.68		2.32	1.64		1.98	5.68		3.04
mug     		7009		2.44		1.94		2.24		1.54	2.76		2.3	2.68		2.12	2.04		1.4	6.32		2.98
basket  		7010		3.5		2.52		2.46		1.98	2.27		2.07	2.96		2.44	2.19		2.58	4.12		2.83
fan     		7020		2.32		1.97		2.92		1.91	1.72		1.49	1.6		1.44	2.12		1.72	7.16		2.36
stool   		7025		2.6		2.52		1.74		1.54	2.12		1.8	2.86		2.41	2.05		2.08	6.65		2.28
iron    		7030		2.15		1.77		2.85		2.43	2.8		2.27	2.2		1.68	2.2		1.81	1.9		1.45
shoes   		7031		1.6		1.19		1.68		1.6	1.4		1.26	1.96		1.67	1.92		1.73	5.96		2.72
hammer  		7034		2.35		2.31		2.12		1.97	1.64		1.47	1.58		1.21	1.12		1.93	7.65		1.9
mug     		7035		2.35		1.98		2.28		1.84	1.77		1.5	1.62		1.2	2.15		1.67	7.04		2.14
dustpasn		7040		2.23		1.88		2.09		1.8	1.41		0.73	1.59		1.14	2.09		2.02	6.55		2.5
hairdrye		7050		1.88		1.64		2.52		2.1	1.88		1.45	1.56		1.33	2.12		1.79	6		2.9
trashcan		7060		3		2.87		2.22		1.9	1.97		1.94	1.84		1.92	2.21		2.3	7.58		2.66
fork    		7080		3.28		2.45		3.05		2.41	2.08		1.76	1.98		1.7	2.3		1.95	6.68		2.97
book    		7090		2.92		2.23		3.84		2.43	2.54		1.79	2.04		1.57	4.12		2.42	6.32		2.87
headligh		7095		3.76		2.37		2.4		1.76	2.48		1.5	3.04		1.72	2.6		2.02	4.8		2.47
car     		7096		2.8		2.15		3.63		2.38	2.51		2	2.1		1.64	2.56		1.61	2.1		1.81
firehydr		7100		1.68		1.25		2.48		1.96	2.4		2.22	1.56		1	2.71		2.27	6.68		2.5
hammer  		7110		4.32		2.65		2.58		1.97	2.21		1.73	3.37		2.42	2.29		1.54	3.26		2.36
truck   		7130		2.35		2.08		1.85		1.29	1.81		1.2	1.58		0.99	1.77		1.27	7.2		2.06
bus     		7140		2.75		2.3		2.3		2	2.2		1.87	1.97		1.42	2.28		2.14	6.92		2.11
umbrella		7150		2.49		2.04		2.49		1.87	2.2		1.91	2.27		1.91	2.39		1.97	6.39		2.12
fabric  		7160		5.63		2.75		3.38		2.52	3.6		2.27	3.08		1.61	3.91		2.52	4.12		2.59
lightbul		7170		3.3		2.42		3.23		2.64	2.9		2.36	3.28		2.48	3.28		2.71	6.43		2.54
lamp    		7175		2.08		2.38		2.28		1.74	1.88		1.59	1.36		0.95	2.24		2.42	8.13		1.87
neonbuil		7180		4.56		2.36		2.63		1.79	3.32		1.98	3		1.86	3.17		2.2	4.46		2.19
checkboa		7182		4.89		2.56		2.55		1.81	4.18		2.51	4.03		2.75	2.37		1.68	3.74		1.94
checkerb		7183		5.38		2.28		2.15		1.59	3.15		2.15	3.92		2.64	2.23		1.37	3.62		2.14
abstrart		7184		4.35		2.94		1.88		1.45	2.12		1.82	2.96		2.49	1.46		1.12	1.31		0.88
abstract		7185		4.48		2.58		2.2		1.66	2.56		2.02	2.52		2.22	2.24		1.69	4.2		2.66
abstrart		7186		3.4		2.34		2.2		1.68	2.05		1.57	2.1		1.71	2.13		1.63	3.46		2.17
abstract		7187		4.88		2.84		1.86		1.54	2.69		2.06	3.06		2.12	1.88		1.6	1.61		1.3
clock   		7190		3.5		2.76		3.62		2.59	2.19		1.79	1.92		1.81	3.31		2.31	5.58		2.8
teeth   		7195		4.68		2.23		2.2		1.55	3.2		2.25	3.68		2.64	2.92		1.91	2.08		1.61
brownie 		7200		2.92		2.41		4.12		2.37	3.04		2.61	2.16		1.68	3.2		2.33	7.24		1.96
scarves 		7205		4.03		2.76		4.4		2.51	4		3.05	3.68		2.67	4.13		2.61	5.13		2.79
beads   		7207		3.59		2.06		2.28		1.75	2.03		1.47	2.47		1.67	2.5		1.76	3.72		2.16
clock   		7211		2.24		2.17		3.08		2.56	1.84		1.34	1.6		1.15	2.92		2.43	8.52		0.96
clotesra		7217		2.5		2.3		1.27		0.63	1.62		1.24	1.73		1.7	2.05		1.79	6.09		2.97
pastry  		7220		3.39		2.2		4.05		2.18	2.79		2.06	2.63		1.89	3.68		2.44	6.74		1.98
file cab		7224		1.84		1.55		1.6		1.04	1.32		0.56	1.56		0.82	1.64		1.22	7.04		2.21
turkey  		7230		3.56		2		4.08		2.14	3.56		1.85	2.6		1.35	4.24		2.02	6.32		1.41
plate   		7233		3.4		2.74		2.96		2.73	3.12		2.91	2.08		1.93	2.29		2.35	7.04		2.59
ironing 		7234		2.33		1.88		2.79		1.74	2.33		1.61	1.79		1.5	2.79		1.77	6.33		2.43
chair   		7235		1.88		1.86		2.48		2.1	2.32		2.38	1.72		1.88	2.64		2.12	7.4		2.43
abstract		7237		5.56		2.27		2.48		1.92	2.68		1.97	2.92		2.14	2		1.83	2.75		1.87
abstract		7238		3.76		2.37		1.92		1.5	2.16		1.49	2.36		1.87	1.76		1.16	3.88		2.11
torte   		7260		4.11		1.9		4.08		1.95	3.47		1.9	2.66		1.42	3.5		2.19	6		2
icecream		7270		3.8		2.45		3.95		2.35	3.85		2.26	2.88		2.11	3.85		2.35	6.41		1.97
wines   		7280		3.53		2.15		3.34		2.25	3.37		2.66	2.47		1.7	3.71		2.51	5.32		2.46
food    		7281		3.92		2.44		3.41		1.93	3		2.16	2.38		1.5	3.37		2.45	5.82		1.98
cake    		7282		4.45		2.25		4.05		2.45	4.15		2.37	3.33		2.1	4.13		2.48	4.8		2.13
fruit   		7283		3.92		2.39		3.42		2.24	2.79		2.29	2.63		2.08	3.09		2.48	5.4		2.35
fruit   		7284		3.45		2.44		3.07		2.4	2.72		2.07	2.66		1.95	3.38		2.5	5.66		2.35
tomatoes		7285		2.54		2.17		3.2		2.42	2.32		1.82	2		1.41	2.95		2.3	6.97		2.29
