Means and Standard Deviations for the Six Emotions														
														
Description	IAPS #	N	Happiness		Surprise		Sadness		Anger		Disgust		Fear	
			M	SD	M	SD	M	SD	M	SD	M	SD	M	SD
brownie 	7200	25	5.58	2.52	2.44	2.04	1.2	0.65	1	0	1.16	0.62	1.16	0.8
scarves 	7205	41	3.95	2.86	3.3	2.77	1.13	0.65	1.03	0.16	1.85	2.21	1.05	0.32
beads   	7207	32	3.22	2.14	1.88	0.94	1.44	1.13	1.06	0.25	1.06	0.25	1.06	0.25
clock   	7211	25	2.72	2.26	1.56	1.19	1.88	2.15	1.48	1.53	1.4	1.26	1.32	1.41
clotesra	7217	25	1.82	1.4	1.68	1.36	1.05	0.21	1.14	0.35	1.14	0.35	1.04	0.21
pastry  	7220	38	5.13	2.55	2.42	1.83	1.34	0.75	1.16	0.44	1.13	0.41	1.53	1.86
file cab	7224	25	2.16	2.01	1.4	0.76	1.2	0.71	1.08	0.4	1.32	1.07	1.24	1.12
turkey  	7230	25	5.88	1.72	2.44	1.66	1.48	1.19	1.16	0.47	1.12	0.44	1.04	0.2
plate   	7233	25	3.28	2.98	2.48	2.43	2.12	2.13	1.6	1.47	1.6	1.5	1.25	0.74
ironing 	7234	25	1.91	1.41	1.65	1.23	2.09	1.7	1.7	1.49	2.35	1.82	1.3	0.93
chair   	7235	25	2.84	2.43	1.32	0.95	1.64	1.35	1.16	0.8	1.16	0.8	1.16	0.8
abstract	7237	25	3.12	2.09	2.4	2.08	1.16	0.37	1.08	0.28	1.12	0.6	1.28	1.4
abstract	7238	25	3.56	2.29	2.08	1.68	1.08	0.28	1.28	0.89	1.08	0.28	1.2	0.82
torte   	7260	38	5.82	1.83	2.79	1.79	1.46	1.1	1.3	1.02	1.24	0.59	1.13	0.53
icecream	7270	40	5.87	2.26	2.46	1.88	1.21	0.52	1	0	1.03	0.16	1.44	1.54
wines   	7280	38	4.45	2.53	2.71	2.27	1.66	1.49	1.24	1.24	1.11	0.8	1.21	1.23
food    	7281	39	4.23	2.71	2.38	1.66	1.56	1.39	1.44	1.31	1.54	1.43	1.33	1.18
cake    	7282	40	6.23	2.26	3.63	2.5	1.38	1.29	1.23	0.89	1.1	0.63	1.28	0.93
fruit   	7283	25	4.48	2.92	2.16	1.84	1.52	1.19	1.04	0.2	2.08	1.71	1.12	0.33
fruit   	7284	29	4.31	2.63	2.38	2.08	1.72	1.41	1.52	1.27	1.52	1.24	1.45	1.24
tomatoes	7285	41	3.85	2.42	2.24	1.88	1.39	1.02	1.37	1.28	1.63	1.43	1.15	0.66
pancakes	7286	43	3.81	2.39	1.77	1.38	1.26	1	1.28	1.22	1.19	0.96	1	0.31
food    	7289	25	4	2.53	1.88	1.62	1.4	1.12	1.2	0.82	1.29	0.91	1.16	0.8
desserts	7320	25	3.32	2.38	1.72	1.17	1.08	0.4	1.08	0.4	1.24	0.66	1.56	1.85
watermel	7325	25	7.17	1.83	2.87	2.34	1.08	0.28	1.08	0.28	1.12	0.33	1.04	0.2
icecream	7330	25	6.36	2	3.56	2.16	1.52	1.48	1.44	1.29	1.2	0.65	1.12	0.44
icecream	7340	40	6.54	2.2	3.1	1.92	1.38	1.09	1.28	1.02	1.13	0.66	1.13	0.66
pizza   	7350	40	5.35	2.49	2.78	2.24	1.28	0.79	1.05	0.32	1.69	1.52	1.05	0.32
pizza   	7351	25	4.08	2.25	2.56	2.06	1.16	0.8	1.16	0.8	1.8	1.78	1.16	0.8
pizza   	7352	50	3.65	2.68	2.61	2.16	1.66	1.64	1.72	1.83	2.39	2.26	1.02	0.14
fliespie	7360	25	1.72	1.72	4.2	2.38	2.44	1.92	2.72	2.42	6.84	2.56	1.92	2.04
meat sli	7361	25	1.88	1.48	3.92	2.68	2.6	2.12	2.08	2.25	5.08	2.84	2.32	2.39
roach on	7380	26	1.35	0.63	4.19	2.71	1.77	1.66	2.38	2.04	6.88	2.39	3.08	2.77
icecream	7390	41	5.05	2.6	3.1	2.1	1.03	0.16	1.03	0.16	1	0	1.5	1.54
candy   	7400	40	5.65	2.72	2.25	1.6	1.6	1.63	1.28	1.13	1.25	1.03	1.18	0.71
pastry  	7402	41	3.95	2.56	2.3	2.09	2	2.15	1.33	1.05	1.3	1.34	1.23	0.89
candy   	7410	26	5.73	2.71	2.23	1.48	1.23	0.82	1.46	1.24	2.08	1.98	1.42	1.24
candy   	7430	25	3.65	2.46	1.61	1.44	1.96	2.18	1.65	2.04	1.65	1.94	1.61	1.62
cheesebu	7450	25	5.32	2.54	2.28	1.43	1.2	0.5	1.12	0.6	2.12	1.86	1.04	0.2
frenchfr	7460	26	5.04	2.73	2.08	1.55	1.12	0.33	1.08	0.27	1.04	0.2	1	0
pancakes	7470	39	5.1	2.4	2.46	1.73	1.46	1.27	1.33	1.15	1.44	1.35	1.31	1.36
shrimp  	7475	41	4.03	2.89	3.05	2.34	1.2	0.85	1.28	1.01	1.73	1.88	1.6	1.82
pasta   	7480	41	5.78	2.51	2.85	2.09	1.29	0.9	1.1	0.49	1.07	0.35	1.05	0.22
food    	7481	40	5.56	2.91	2.64	2.07	1.62	1.44	1.26	1.02	1.45	1.25	1.74	1.98
window  	7490	27	3.33	2.3	2.96	2.14	2.63	2.06	2.11	1.93	2.22	2.06	2.19	2.13
building	7491	40	2.85	2.23	2.38	1.76	2.4	2.05	1.65	1.44	1.75	1.69	1.58	1.11
store   	7495	32	3.91	2.29	1.69	0.97	1.31	0.9	1.03	0.18	1	0	1.03	0.18
street  	7496	38	2.92	1.98	2.47	1.64	2.39	2.34	2.16	2.09	2.32	2.29	2.26	2.08
building	7500	68	1.96	1.64	1.81	1.47	1.41	1.34	1.56	1.62	1.66	1.87	1.47	1.41
city    	7501	40	5.85	2.82	3.28	2.04	1.33	1.2	1.44	1.29	1.43	1.3	1.25	0.54
castle  	7502	41	5.22	2.33	7.07	2.15	4.49	2.23	1.78	1.56	1.39	1.12	1.29	1.01
carddeal	7503	41	4.83	2.26	3.93	2.3	2.63	1.96	1.68	1.11	1.98	1.77	1.54	0.98
skyscrap	7510	25	3.76	2.74	2.2	1.63	1.52	1.45	1.4	1.15	1.2	0.65	1.28	1.02
ocean   	7545	40	5.69	2.41	3.48	2.32	1.8	1.45	1.13	0.65	1.25	1.3	1.28	1.32
office  	7550	26	3.12	2.69	1.73	1.12	1.27	0.72	1.23	0.71	1.15	0.61	1.04	0.2
freeway 	7560	93	2.67	2.04	2	1.38	1.83	1.65	2.54	2.33	2.22	2.18	2.2	1.95
 skyline	7570	38	6	2.54	3.19	2.21	1.63	1.58	1.37	1.32	1.13	0.62	1.32	1.12
desert  	7580	25	5.76	2.59	3.56	2.33	1.44	1.12	1.08	0.28	1.84	2.03	1.76	1.64
traffic 	7590	40	2.33	1.85	1.87	1.4	2.05	1.81	3.08	2.31	2.21	1.85	1.68	1.47
traffic 	7595	25	2.32	1.77	1.76	1.23	1.48	1.42	1.76	1.54	1.64	1.35	1.16	0.37
dragon  	7600	32	4	1.83	3.94	2.05	1.59	1.34	1.66	1.38	1.38	1.1	2.31	1.94
jet     	7620	27	3.58	2.27	2.48	2.05	2.81	1.98	1.67	1.3	1.7	1.84	2.77	2.2
skyscrap	7640	38	2.7	2.01	3.97	2.35	1.92	1.5	1.71	1.43	1.55	1.08	6	2.51
office  	7700	25	1.78	1.31	1.39	1.03	1.71	1.55	1.42	0.97	2	1.82	1.63	1.5
cabinet 	7705	25	2.2	1.63	1.52	1.01	1.36	1.44	1.44	1.47	1.36	1.6	1	0
bed     	7710	50	3.56	2.66	2.15	1.49	1.96	1.87	1.4	1.32	1.49	1.54	1.36	0.8
agate   	7820	40	2.08	1.71	2.97	2.66	1.49	1.27	1.63	1.61	1.78	1.75	1.75	1.85
agate   	7830	41	1.88	1.57	2	2.05	1.38	1.43	1.3	1.07	1.78	2.01	2.18	2.46
violin  	7900	25	3.32	2.25	1.56	1.08	1.38	1.1	1.16	0.47	1.08	0.28	1.12	0.33
carcrash	7920	25	2.46	2	3.36	2.2	2.56	1.71	3.17	2.62	2.52	3.35	2.24	1.88
tissue  	7950	41	2.15	2.02	1.6	1.28	1.55	1.26	1.25	0.93	1.28	1.04	1.13	0.65
runner  	8010	41	2.48	2.01	2.28	1.87	2.85	2.39	1.63	1.43	1.8	1.71	1.15	0.7
skier   	8021	29	3.93	2.46	2.45	2.1	1.66	1.52	1.31	1.04	1.28	1.03	2.07	2.02
skier   	8030	25	4.08	2.43	2.64	1.98	1.36	1	1.2	0.71	1.2	1	2.44	2.47
skier   	8031	25	4.96	1.85	2.32	1.55	1.32	0.9	1	0	1	0	1.52	0.92
iceskate	8032	25	4.84	2.37	2.24	1.88	1.12	0.44	1.08	0.28	1.04	0.2	1.44	1.36
iceskate	8033	38	4.97	2.52	2.89	1.93	1.34	0.78	1.21	1.02	1.29	1.06	1.63	1.28
skier   	8034	40	4.93	2.62	3.2	2.1	1.3	0.91	1.33	1.27	1.1	0.38	2.05	1.79
diver   	8040	32	4.28	2.29	3.06	2.09	1.31	0.78	1.16	0.37	1.13	0.34	2.94	2.06
diver   	8041	25	4.16	2.51	3.08	2.33	1.56	1.78	1.16	0.8	1.04	0.2	2.64	2.91
rower   	8050	41	4.51	2.3	2.73	1.88	1.61	1.12	1.34	0.99	1.32	0.99	1.46	1.21
boxer   	8060	40	3.35	2.49	3.18	2.18	2.6	2.07	2.75	2.42	3.05	2.75	2.15	1.9
sailing 	8080	40	4.63	2.5	4.4	2.49	1.41	1.25	1.33	0.96	1.26	0.85	3.1	2.41
gymnast 	8090	25	4.13	2.72	2.63	2.22	1.29	0.91	1.29	1	1.63	1.86	2.04	2.14
football	8116	26	4.27	2.57	2	1.52	1.58	1.42	1.42	1.14	1.31	1.09	1.35	1.09
Hockey  	8117	25	5.16	2.66	2.64	2.14	1.4	1.44	1.32	1.41	1.32	1.41	1.52	1.69
athlete 	8120	43	5.3	2.6	2.35	1.53	1.28	0.91	1.05	0.21	1.02	0.15	1.02	0.15
polevaul	8130	41	4.24	2.34	3.41	2.26	1.63	1.24	1.41	1.07	1.29	0.93	2.15	1.85
rockclim	8160	29	2.96	2.15	4.28	2.59	1.52	1.09	1.55	1.38	2.21	2.2	3.29	2.69
hanglide	8161	38	4.76	1.98	3.32	1.76	1.26	0.6	1.18	0.39	1.13	0.41	3.57	2.12
hotairba	8162	26	5.58	2.44	3.46	2.69	1.54	1.21	1.19	0.4	1.19	0.57	1.81	2.21
sailboat	8170	25	6.24	2.44	2.56	2.31	1.08	0.28	1.04	0.2	1.08	0.4	1.36	1.15
cliffdiv	8180	29	4.3	2.7	5.31	2.73	1.38	0.86	1.17	0.47	1.34	0.86	3.48	2.86
skydiver	8185	29	4.28	2.42	3.59	2.47	1.48	1.24	1.38	1.08	1.39	1.1	3.43	2.94
skier   	8190	27	5.81	2.53	3.04	1.68	1.89	1.69	1.33	1	1.15	0.36	2.37	1.86
waterski	8200	25	5.56	2.6	2.88	2.03	1.36	0.91	1.36	0.95	1.68	1.73	1.8	1.55
boat    	8210	25	6.44	1.89	3	1.89	1.64	1.29	1.08	0.28	1.04	0.2	1.92	1.68
runners 	8220	39	5.03	2.41	2.38	1.74	1.56	1.31	1.38	1.09	1.15	0.67	1.08	0.35
boxer   	8230	25	1.96	1.95	4.75	2.51	4.36	2.71	3.96	2.85	5.8	3.07	2.92	2.52
boxer   	8231	32	1.38	0.83	3.31	1.89	4.22	2.08	3.5	2.46	4.81	2.51	3	2.38
boxer   	8232	25	3.04	2.39	2.17	1.88	2.21	1.56	2.25	2.15	2.58	2.3	1.58	1.38
motorcyc	8250	25	3.32	2.27	2.6	1.98	1.4	1.26	1.28	1.21	1.04	0.2	2.12	1.51
motorcyc	8260	25	2.64	2.23	1.68	1.03	1.28	0.89	1.4	1.44	1.32	1.07	3.48	2.62
diver   	8280	41	4.32	2.42	2.76	1.92	1.49	1.23	1.41	1.09	1.24	0.89	1.83	1.82
pilot   	8300	68	3.31	2.6	3.59	2.69	1.47	1.22	1.38	1.12	1.52	1.49	2.34	2.21
golfer  	8311	29	4.41	2.26	2.69	1.81	1.66	1.56	1.45	1.43	1.21	0.77	1.34	1.49
carracer	8320	93	3.63	2.47	2.26	1.78	1.34	1.01	1.2	0.78	1.31	1.05	1.21	0.88
athletes	8330	25	3.92	2.18	2.16	1.49	1.16	0.47	1.08	0.28	1.08	0.28	1.08	0.28
planw   	8340	25	4.09	2.5	2.61	2.06	1	0	1	0	1	0	1.59	1.14
tennispl	8350	25	6.2	2.27	3	1.96	1.08	0.28	1	0	1	0	1	0
rafting 	8370	26	6.85	2.03	4.04	2.62	1.15	0.46	1.12	0.43	1.04	0.2	3.42	2.64
athletes	8380	25	6.79	2.23	3.16	2.17	1.08	0.28	1.12	0.44	1	0	1	0
rafters 	8400	26	5.27	2.72	3.04	1.95	1.31	0.62	1.12	0.33	1.08	0.27	2.38	1.86
tubing  	8420	26	7.31	1.87	3.88	2.7	1.42	1.24	1.27	1	1.27	0.72	1.46	1.58
runner  	8460	41	5.51	2.1	2.51	1.76	1.22	0.79	1.32	1.25	1.24	1.11	1.32	1.04
happytee	8461	25	5.16	2.66	2.64	2.14	1.4	1.44	1.32	1.41	1.32	1.41	1.52	1.69
runner  	8465	26	5.5	2.85	3.42	2.52	1.69	1.59	1.46	1.24	1.31	0.88	1.38	1.1
gymnast 	8470	25	5.56	2.99	2.8	2.35	1.12	0.33	1.24	0.88	1.16	0.8	1.16	0.8
bikeronf	8480	93	1.45	1.16	6.69	2.23	4.31	2.92	2.92	2.48	3.62	2.94	5.24	3.07
rollcoas	8490	40	6.48	2.72	3.93	2.45	1.7	1.42	1.28	0.93	1.15	0.66	3.28	2.75
watersli	8496	27	7.62	1.39	3.56	2.22	1.63	1.52	1.26	0.81	1.22	0.8	1.41	1.08
carnirid	8497	39	6.69	2.1	2.46	2.06	1.49	1.45	1.08	0.48	1	0	1	0
gold    	8500	25	4.72	2.78	4	2.72	1.35	0.83	1.3	0.76	1.88	1.87	1.29	1.23
money   	8501	26	5.69	2.85	4.31	2.75	1.88	1.96	2.28	2.44	1.64	1.47	1.88	1.99
money   	8502	51	6.72	2.38	4.68	2.77	1.8	1.59	1.76	1.68	1.65	1.34	1.18	0.71
money   	8503	50	4.82	2.88	3.45	2.18	2.14	1.9	1.98	1.71	2.04	1.97	1.6	1.48
sportcar	8510	25	5.8	2.64	2.8	2.18	1.8	1.63	1.6	1.78	1.12	0.44	1.12	0.6
sportcar	8531	25	5	2.63	3.24	2.37	1.4	1.38	1.24	0.83	1.2	0.71	1.28	0.89
sthltes 	8540	25	6	2.66	3.56	2.43	1.32	1.22	1	0	1.28	1.4	1	0
mascot  	8600	26	6.16	2.25	2.85	2.07	1.23	0.82	1.38	1.39	1.38	1.39	1.15	0.78
cemetery	9000	25	1.76	1.45	3.2	2	7.2	1.87	4	2.86	2.36	2.12	4.58	3.35
cemetary	9001	25	1.48	1.05	2.64	1.75	6.96	2.64	3.68	2.94	2.44	2.48	4.72	2.94
hivtatto	9005	25	1.33	0.64	6	1.91	6.04	2.23	3.39	2.21	3.96	2.53	3.71	2.81
tatoo   	9006	41	1.35	1.31	5.2	2.48	6.73	2.3	5.48	2.98	5.3	3.11	6.08	2.89
needles 	9007	40	1.08	0.27	5.03	2.73	5.03	2.63	5.15	2.78	6.15	2.33	3.78	2.69
needle  	9008	43	1.56	1.18	5.17	2.49	1.65	1.49	1.36	0.88	5.29	3.24	1.12	0.4
barbedwi	9010	25	1.68	1.49	1.6	1.15	2.36	2.04	2.2	2.14	1.92	1.91	2.52	2.33
starvchi	9040	25	1	0	5.44	2.4	7.24	1.96	5.68	2.66	7.28	1.99	3.88	2.82
scaredch	9041	25	1.52	0.96	2.04	1.17	6.08	2.16	4.28	2.76	2.64	2.18	2.44	2.06
stickthr	9042	25	1.61	1.53	6.57	2.17	3.38	3.07	2.35	2.04	7.09	2.09	2.87	2.58
lady/don	9045	40	2.37	1.84	6.49	2.2	3	2.33	2.38	2.27	4.36	2.45	1.56	1.16
family  	9046	38	1.92	1.26	2.66	1.89	5.24	2.73	3.74	2.81	3.37	2.88	2.24	1.85
plancras	9050	40	1.51	1.43	4.69	2.7	6.46	1.94	4.13	2.59	4.1	2.83	4.59	2.4
boy     	9070	29	2.31	1.77	2.38	1.63	5.72	2.33	2.82	2.36	2.36	2.33	1.89	2.11
wires   	9080	26	2	1.67	3.04	2.49	2.31	1.74	2.35	2.35	2.23	2.12	3.04	2.69
exhaust 	9090	25	1.52	1.33	1.84	2.03	2.8	2.83	2.64	2.56	2.8	2.69	1.64	1.63
cocaine 	9101	25	1.88	1.67	3.44	2.24	3	2.16	3.4	2.29	3.76	2.49	2.84	1.91
heroin  	9102	32	1.63	1.16	4.25	2.27	3.31	2.18	3.13	2.5	4.63	2.89	3.81	2.32
puddle  	9110	25	1.28	0.89	2.8	1.84	3.56	2.57	4.16	3.12	4	3	3.04	2.61
oilfires	9120	25	1.28	0.79	2.92	1.91	4.2	2.8	4.6	2.87	4.8	3.07	4.58	2.96
cow     	9140	26	1.04	0.2	4.23	2.14	6.5	2.42	5.35	2.76	5.77	2.86	2.85	2.46
place   	9156	25	2.77	2.49	2.86	1.75	1.77	1.34	1.86	1.61	1.73	1.42	2.91	2.41
soldier 	9160	25	1.8	1.68	2.56	1.69	5.68	2.59	4.44	3.02	3.56	2.79	4.6	3.29
seao    	9180	25	1.65	1.27	3.91	2.25	6.45	2.28	5.22	2.98	5.22	3.32	2.91	2.07
deadcows	9181	25	1.64	2.08	4.92	2.91	7.67	1.86	6.36	2.87	6.68	2.78	3.6	3.03
horses  	9182	25	5.56	2.99	2.8	2.35	1.12	0.33	1.24	0.88	1.16	0.8	1.16	0.8
woman   	9190	25	1.76	1.2	2.42	1.84	4	2.61	2.2	2.1	1.88	1.73	2.13	2.44
rain    	9210	43	1.84	1.59	2.5	1.66	4.19	2.52	2.7	2.54	2.21	2.17	1.88	1.91
cemetery	9220	43	1.42	1.48	3.21	2.27	6.77	2.6	3.42	2.61	1.6	1.43	3.37	2.86
oilfire 	9230	68	1.56	1.16	4.43	2.4	5.7	2.53	4.13	2.7	3.32	2.43	4.88	2.8
warvicti	9250	41	1.15	0.7	4.45	2.73	6.8	2.13	5.58	2.88	5.72	2.9	4.28	3.01
deadbody	9252	25	1.32	1.41	5.75	2.17	6.08	2.12	5.92	3.15	6.84	2.19	3.8	3.01
mutilati	9253	25	1.52	1.75	5.14	2.57	6.83	2.57	6.57	2.5	6.7	2.7	4.65	2.71
hung man	9265	26	1.25	1.22	5.32	2.53	7.33	1.83	6.29	2.42	6.8	2.75	4.8	2.75
toxicwas	9270	25	1.16	0.8	3.44	2.31	7.16	2.01	6.72	2.37	4.92	2.93	6.04	2.77
smoke   	9280	32	1.28	0.58	2.88	1.76	5.25	2.17	5.41	2.65	5.56	2.68	3.78	2.79
garbage 	9290	25	1.84	1.72	3.28	1.97	4.64	2.69	5	2.89	5.16	3.05	3.88	2.77
dirty   	9300	25	1.24	0.83	5.64	2.27	3.2	2.5	3.84	2.72	7.64	2.06	1.8	1.38
vomit   	9320	29	1.41	1.09	4.41	2.97	2.17	2.02	2.68	2.64	6.75	2.47	1.48	1.18
garbage 	9330	41	1.68	1.42	4.22	2.34	4.55	2.75	4.6	3.02	5.5	2.94	3.3	2.69
bag man 	9331	32	1.56	0.88	2.87	1.78	6.13	2.03	3.97	2.26	3.25	2.41	2.91	2.28
garbage 	9340	25	1.28	0.89	2.28	1.67	6	2.14	5.56	2.52	6.6	2.25	3.04	2.65
poolno  	9360	43	1.77	1.43	2.3	1.46	3.23	2.25	1.84	1.56	2.72	2.5	1.7	1.37
garbage 	9373	32	1.09	0.3	4.06	2.51	2.94	2.51	3.13	2.56	6.38	1.95	2.41	2.15
dishes  	9390	25	1.75	1.19	1.92	1.47	2.5	2.04	3.13	2.68	4.21	2.84	1.08	0.28
soldier 	9400	40	1.28	0.6	5.23	2.31	7.4	1.92	5.8	2.5	5.95	2.62	4.53	2.84
knives  	9401	40	1.9	1.79	2.49	1.9	3.08	2.23	3.25	2.27	3.23	2.42	3.43	2.71
mob     	9402	43	1.56	1.35	5.05	2.26	4.14	2.46	4.21	2.52	4	2.56	2.88	2.26
soliders	9404	25	1.83	1.66	3	2.38	5.04	2.76	4.5	2.72	3.88	2.91	4.67	2.78
slicehan	9405	41	2.27	1.48	1.38	1.25	5.15	2.25	5.63	2.36	4.29	2.92	7.1	2.34
soldier 	9410	41	1.15	0.79	5.68	2.75	8.2	1.35	7.59	1.72	7.98	1.72	5.56	2.83
boy     	9411	40	2.41	1.92	2.82	1.99	3.87	2.27	3.33	2.61	2.74	2.34	3.87	2.46
handicap	9415	25	1.04	0.2	4.28	2.21	7	2.47	5.76	2.5	5.16	2.82	4.16	2.67
speeding	9417	25	2.64	2.23	1.68	1.03	1.28	0.89	1.4	1.44	1.32	1.07	3.48	2.62
soldier 	9420	26	1	0	4.65	2.48	6.54	2.35	5.54	2.35	6.5	2.5	5.12	2.7
soldier 	9421	25	1.16	0.8	3.44	2.31	7.16	2.01	6.72	2.37	4.92	2.93	6.04	2.77
burial  	9430	29	1.55	1.18	4.07	2.53	4.18	2.84	2.68	2.33	3.57	2.99	3.57	2.77
mastecto	9432	25	1.92	1.53	4.68	2.25	5.28	2.46	3.28	2.69	2.12	1.86	3.48	2.89
mastecmy	9433	25	1.29	1.23	4.64	2.58	6.12	2.31	5.16	2.82	6.36	2.45	3.74	2.42
skulls  	9440	25	1.2	0.82	3.64	1.8	4.2	2.5	3.32	2.55	4.2	2.9	3.12	2.71
gun     	9452	39	1.31	1.1	4.56	2.85	2.56	2.28	3.56	2.63	5.62	2.67	3	2.55
ruins   	9470	38	1.84	1.75	4	2.18	6.21	2.21	4.68	2.58	4.05	2.88	4.32	2.83
skull   	9480	25	1.44	1.16	5.32	2.36	5.32	2.73	3.8	2.99	5.96	3.1	4.52	3.24
corpse  	9490	25	1.6	1.55	4.08	2.27	3	2.78	2.36	2.38	3.64	2.93	3.04	2.42
porpoise	9500	29	2.1	1.59	3.41	2.28	3.46	2.59	2.46	2.36	3.28	3	2.59	2.44
kids    	9520	40	1.6	1.28	4.88	2.13	6.05	2.55	5.76	2.68	5.6	2.72	3.45	2.41
boys    	9530	26	1.46	1.33	3.5	1.94	5.85	2.81	4.38	2.73	4.42	2.67	2.58	1.72
duckoil 	9560	40	2.28	1.91	4.1	2.51	5.38	3.08	5.33	3.08	4.13	3.15	3	2.52
sickkitt	9561	51	1.39	1.02	4.84	2.36	7.49	1.78	5.26	3.11	5.1	2.98	2.04	2.01
dog     	9570	25	1.17	0.83	4.83	2.39	6.04	2.98	4.96	2.85	6.48	2.57	2.57	2.04
cat     	9571	26	1.12	0.43	4.27	2.43	7.08	2.26	5.58	2.91	6.35	2.38	3.08	2.56
dentalex	9582	26	1.64	1.04	1.92	1.41	1.92	1.63	1.76	1.67	1.76	0.97	2.64	2.31
dentalex	9584	25	1.86	1.61	2.68	1.89	1.75	1.19	1.87	1.29	3.5	2.55	3.08	2.26
injectio	9592	25	2.32	2.15	2.2	1.53	2.28	1.77	1.16	0.47	1.8	1.8	2.8	2.52
injectio	9594	50	1.54	1.37	2.8	1.98	3.08	2.09	2.21	2.01	3.44	2.97	4.24	2.76
ship    	9600	93	1.5	1.36	4.78	2.48	6.33	2.51	3.63	2.5	3.03	2.51	5.27	3.09
planecra	9611	25	1.12	0.33	4.04	2.3	6.24	2.7	3.68	2.66	3.04	2.51	5.64	3.09
shipwrec	9620	32	1.5	0.95	4.94	2.02	6.06	2.14	3.41	2.31	2.68	2.36	6.09	2.86
ship    	9621	25	1.96	1.84	3.2	2.42	4.72	3.14	2.72	2.49	2.24	2.42	3.56	3.1
jet     	9622	27	1.26	0.71	5.12	2.1	5.96	2.05	4.04	2.36	3.56	2.34	5.33	2.22
bomb    	9630	43	1.44	1.2	3.58	2.35	5.19	2.55	4.79	2.79	4.05	2.99	4.6	2.61
workertr	9700	25	2.72	2.42	3.28	2.19	1.88	1.54	1.88	1.86	2.6	2.42	2.08	2.16
skinhead	9800	38	1.24	0.63	3.84	2.22	5.45	2.34	6.66	2.13	6.97	2.01	4.5	2.87
kkkrally	9810	25	1	0	5.48	2.29	7.04	1.93	8	1.44	8.44	1.12	4.64	2.74
cigarret	9830	39	1.62	1.37	1.69	1.38	3.62	2.77	4.59	2.76	6.54	2.48	2.87	2.66
autoacci	9910	25	1.36	1.41	3.6	2.2	7.08	1.98	5	2.92	4.6	2.93	5.44	2.83
caraccid	9911	40	1.28	1.17	4.23	2.45	7.38	1.53	5.32	2.94	4.27	2.88	5.5	2.9
firefigh	9912	25	1.32	1.41	4.92	2.63	6.96	2.07	3.8	2.83	3.84	3.08	4	3.06
autoacci	9920	39	1.03	0.28	3.41	2.17	6.95	2.33	4.69	2.48	3.92	2.37	4.87	2.79
fire    	9921	40	1.26	0.75	5.45	2.31	6.82	2.49	4.28	2.67	4.61	2.86	5.62	2.56
														
														
														
