Means and Standard Deviations for the Six Emotions														
														
Description	IAPS #	N	Happiness		Surprise		Sadness		Anger		Disgust		Fear	
			M	SD	M	SD	M	SD	M	SD	M	SD	M	SD
mickey  	1999	41	7.54	1.79	3.74	2.1	1.48	1.47	1.48	1.59	1.6	1.77	1.15	0.66
adult   	2000	25	5.14	2.49	2.23	1.45	1.27	0.77	1.14	0.35	1.14	0.35	1.32	0.89
adult   	2010	26	4.92	2.73	2.12	1.66	1.27	1.19	1.15	0.61	1.58	1.65	1.58	1.9
adult   	2020	25	4.92	2.68	2.52	2.29	1.28	0.84	1.32	0.99	1.48	1.33	1.76	1.94
woman   	2030	25	4.96	2.28	2	1.68	1.04	0.2	1.04	0.2	1.04	0.2	1	0
baby    	2040	68	7.5	2.11	3.26	2.45	1.26	1	1.15	0.88	1.06	0.39	1.33	1.24
baby    	2050	25	7.88	1.83	3.32	2.14	1.48	1.26	1.33	1.05	1.67	0.48	1.13	0.45
baby    	2053	25	1.71	1.52	3.42	2.08	5.92	2.72	3.63	2.84	3	2.75	3.25	2.56
father  	2057	29	6.83	2.47	3.28	1.12	1.52	1.5	1.21	0.94	1.31	1.31	1.17	0.6
baby    	2058	41	7.95	1.18	3.46	2.42	1.17	0.67	1.02	0.16	1.03	0.16	1.2	0.61
baby    	2070	26	7.52	1.98	3.96	2.58	1.5	1.1	1.04	0.2	1.12	0.59	1.5	1.73
babies  	2080	26	7.04	1.84	2.32	1.18	1.24	0.72	1.32	1.07	1.12	0.33	1.44	1.19
girls   	2091	25	7.08	2.22	3.24	2.13	1.12	0.33	1.04	0.2	1.04	0.2	1	0
clowns  	2092	27	5.3	2.83	4.3	2.61	2.22	1.48	2.07	2.18	2.04	2.3	2.48	2.86
angryfac	2100	51	2.06	1.42	2.84	1.7	2.29	1.81	2.58	2.22	2.26	1.96	2.86	2.2
angry fa	2110	25	1.68	1.44	3	2.1	3	2.29	3.28	2.67	2.88	2.44	3.96	2.41
angryfac	2120	51	1.76	1.3	3.61	1.93	2.84	2.22	3.29	2.61	3.12	2.47	3.88	2.69
woman   	2130	26	1.81	1.63	3.08	2.23	2.42	1.96	2.62	2.08	2.15	1.85	1.96	1.75
grievfem	2141	25	1.04	0.2	4.28	2.21	7	2.47	5.76	2.5	5.16	2.82	4.16	2.67
baby    	2150	25	7.04	2.13	4.04	2.23	1.36	1.08	1.25	1.03	1.29	0.86	1.35	1.07
father  	2160	41	4.98	1.98	6.49	2.2	3.66	2.22	1.51	1.5	1.29	0.93	1.32	1.39
father  	2165	25	8	1.26	3.32	2.25	1.32	1.07	1.28	1.02	1.04	0.2	1.4	1.44
mother  	2170	26	5.46	2.6	3.08	1.92	1.46	1.17	1	0	1.15	0.46	1	0
man     	2190	27	2.3	1.71	1.93	1.38	3.74	2.43	1.7	1.32	1.67	1.11	2.48	2.24
neutface	2200	26	2.37	2.03	1.85	1.46	1.7	1.42	1.75	1.94	1.65	1.57	1.4	0.94
hospital	2205	39	1.28	0.56	2.62	1.99	7.38	1.84	3.31	2.34	2.59	2.17	3.41	2.63
fingerpr	2206	25	1.96	1.86	1.64	1.35	2	1.5	1.84	1.46	1.56	1.39	1.79	1.59
bride   	2208	32	6.69	2.12	3.16	2.08	1.41	1.01	1.06	0.25	1.06	0.25	1.53	1.27
bride   	2209	25	7.12	1.81	3.52	2.43	1.48	1.36	1	0	1	0	1.08	0.4
neutface	2210	25	2.26	1.48	2.3	1.84	1.39	0.89	1.73	1.03	1.55	0.96	2.95	2.68
neutman 	2214	50	2.75	1.88	1.89	1.31	1.55	1.12	1.33	0.86	1.31	0.85	1.29	0.85
neut man	2215	25	2.33	1.63	1.39	0.89	1.17	0.83	1.17	0.82	1.17	0.82	1.29	1
children	2216	43	6.81	2.16	2.23	1.46	1.12	0.39	1	0.22	1.02	0.15	1.12	0.5
maleface	2220	50	2.36	1.98	3.06	2.14	1.74	1.45	1.76	1.51	1.65	1.27	2.1	1.86
judge   	2221	39	1.92	1.44	2	1.32	2.23	1.87	1.92	1.58	2.13	2.1	2.1	1.76
sad face	2230	29	1.9	1.59	1.34	0.67	2.72	2.15	1.72	1.28	1.59	1.12	2.07	1.44
neutchil	2240	26	5.31	2.49	1.85	1.26	1.35	1.23	1.08	0.27	1.04	0.2	1.23	0.99
neutbaby	2250	25	5.52	2.82	3.2	2.47	2.4	2.02	1.32	0.9	1.28	0.84	1	0
neutbaby	2260	41	7.46	1.27	7.07	1.82	2.98	2.13	1.15	0.53	1.07	0.35	1.05	0.22
neuchild	2270	43	4.44	2.1	2.09	1.7	2.7	2.12	1.3	1.04	1.21	0.74	1.51	1.59
woman   	2271	43	1.72	1.2	2.3	1.63	3.23	2.49	2.05	1.88	1.79	1.68	1.6	1.53
girl    	2276	25	1.28	0.46	2.88	2.13	6.6	2.27	3.96	2.84	2.08	1.58	2.32	1.86
boy     	2280	25	3.65	2.04	2.26	1.68	3.35	2.04	2.09	2.13	1.68	1.39	1.48	1.16
children	2303	50	6.42	2.47	3.66	2.46	1.06	0.24	1.02	0.14	1.1	0.59	1.02	0.14
girl    	2304	25	5.6	2.55	2.08	1.5	1.2	0.5	1.2	1	1.32	1.6	1	0
mother  	2310	26	7.23	1.63	2.27	1.51	1.12	0.33	1.04	0.2	1	0	1.19	0.69
mother  	2311	25	6.64	2.31	2.16	1.57	1.16	0.8	1.36	1.32	1.08	0.4	1	0
mother  	2312	38	3.26	2.3	2.76	2.11	3.63	2.57	1.66	1.55	1.61	1.48	1.97	2.06
