norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
imagine_mean,0.692496029496419,0.47955075086830523,0.7339110031536836,0.8566860586899285,Clarke2024.csv,norms,False,,th,100,2,cbow,word2vec
body_object_interaction_mean,0.26680901187033085,0.07118704881522235,0.14826706524759886,0.3850546263163174,Clarke2024.csv,norms,False,,th,100,2,cbow,word2vec
aoa_mean,0.44592924158469605,0.19885288850030222,0.3035885118123546,0.550988667589774,Clarke2024.csv,norms,False,,th,100,2,cbow,word2vec
,0.1341346890329481,0.017992114801965685,0.03876675350552039,0.196892746198331,th.subs.2018.tsv,counts,False,unigram_freq,th,100,2,cbow,word2vec
,0.12333072005334629,0.015210466508876874,0.04309717573922561,0.20759859281610174,th.wiki.2018.tsv,counts,False,unigram_freq,th,100,2,cbow,word2vec
imagine_mean,0.7355779311004449,0.5410748927220109,0.8280683881317393,0.9099826306758494,Clarke2024.csv,norms,True,,th,100,2,cbow,word2vec
body_object_interaction_mean,0.45439955606797633,0.20647895655477394,0.4300505419634199,0.6557823891836528,Clarke2024.csv,norms,True,,th,100,2,cbow,word2vec
aoa_mean,0.4789612002040772,0.22940383130093012,0.3502306065249637,0.5918028443028672,Clarke2024.csv,norms,True,,th,100,2,cbow,word2vec
,0.11604948836001408,0.013467483748621042,0.029017746305473435,0.17034596063738475,th.subs.2018.tsv,counts,True,unigram_freq,th,100,2,cbow,word2vec
,0.0930730866283124,0.008662599454521346,0.024544518133756632,0.15666690184514606,th.wiki.2018.tsv,counts,True,unigram_freq,th,100,2,cbow,word2vec
imagine_mean,0.7259672925772133,0.5270285098918891,0.8065716124622828,0.898093320575475,Clarke2024.csv,norms,False,,th,100,2,sg,fasttext
body_object_interaction_mean,0.3757965585718082,0.1412230534344145,0.2941367569875719,0.5423437627442321,Clarke2024.csv,norms,False,,th,100,2,sg,fasttext
aoa_mean,0.3853329692747219,0.14848149721007375,0.22668655763382617,0.47611611780512764,Clarke2024.csv,norms,False,,th,100,2,sg,fasttext
,0.08504385081058463,0.007232456560692977,0.015583429953277994,0.12483360906934476,th.subs.2018.tsv,counts,False,unigram_freq,th,100,2,sg,fasttext
,0.08273272069759956,0.006844703074027019,0.019393709659858538,0.1392612999359784,th.wiki.2018.tsv,counts,False,unigram_freq,th,100,2,sg,fasttext
