norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
,0.07820986630431638,0.0061167831873390425,0.017335379771007575,0.1316638893964764,he.wiki.2018.tsv,counts,False,unigram_freq,he,200,3,cbow,word2vec
aoa_mean_hebrew,0.0,-0.026776772451916515,-0.33359395679679327,0.0,Luniewska2016.csv,norms,True,,he,200,3,cbow,word2vec
,0.04194229796445313,0.0017591563585389696,0.005611449357709186,0.07490960791319887,he.subs.2018.tsv,counts,True,unigram_freq,he,200,3,cbow,word2vec
,0.0487839734286404,0.0023798760634862926,0.006744730703200363,0.08212630944587954,he.wiki.2018.tsv,counts,True,unigram_freq,he,200,3,cbow,word2vec
aoa_mean_hebrew,0.0,-0.052825612701062986,-0.6581190915674097,0.0,Luniewska2016.csv,norms,False,,he,200,3,sg,fasttext
,0.03671312064874395,0.0013478532277692295,0.004299453026184397,0.06557021447413755,he.subs.2018.tsv,counts,False,unigram_freq,he,200,3,sg,fasttext
,0.05683476445183861,0.0032301904502959776,0.00915457953528065,0.09567956696850509,he.wiki.2018.tsv,counts,False,unigram_freq,he,200,3,sg,fasttext
aoa_mean_hebrew,0.0,-0.028442262971670275,-0.3543431928553922,0.0,Luniewska2016.csv,norms,True,,he,200,3,sg,fasttext
,0.041534645168612556,0.0017251267492825503,0.0055028999225903985,0.07418153356860721,he.subs.2018.tsv,counts,True,unigram_freq,he,200,3,sg,fasttext
,0.06549703937218386,0.004289862166521402,0.012157761284698587,0.11026223870708679,he.wiki.2018.tsv,counts,True,unigram_freq,he,200,3,sg,fasttext
aoa_mean_hebrew,0.0,-0.07849254314335012,-0.9778862666609035,0.0,Luniewska2016.csv,norms,False,,he,200,3,sg,word2vec
,0.025911819639608067,0.0006714223970355783,0.002141738430645246,0.046278919938188334,he.subs.2018.tsv,counts,False,unigram_freq,he,200,3,sg,word2vec
,0.0631297683135926,0.003985367647327881,0.0112948030978961,0.10627701114491366,he.wiki.2018.tsv,counts,False,unigram_freq,he,200,3,sg,word2vec
aoa_mean_hebrew,0.0,-0.026991959287657057,-0.33627482612539417,0.0,Luniewska2016.csv,norms,True,,he,200,3,sg,word2vec
,0.031121912714310685,0.000968573450997173,0.0030896064713691884,0.05558422862079844,he.subs.2018.tsv,counts,True,unigram_freq,he,200,3,sg,word2vec
,0.06214446350684832,0.003861934344554002,0.010944984718784023,0.10461828099708016,he.wiki.2018.tsv,counts,True,unigram_freq,he,200,3,sg,word2vec
aoa_mean_hebrew,0.0,-0.04472108005329666,-0.5571501223306542,0.0,Luniewska2016.csv,norms,False,,he,300,4,cbow,fasttext
,0.049837801364889744,0.0024838064448862063,0.007922976267673187,0.0890111019349451,he.subs.2018.tsv,counts,False,unigram_freq,he,300,4,cbow,fasttext
