"","var","adjusted_r","adjusted_r_squared","r_squared","r","language","dim","window","algo","dataset"
"90","familiar_M",0,-0.0002498269189338,-0.00071700325734003,0,"ar",100,3,"sg","Khwaileh2018.csv"
"91","visual_complex_M",0,-0.0288302474185466,-0.0827428100912288,0,"ar",100,4,"cbow","Khwaileh2018.csv"
"92","image_agree_M",0,-0.0543411465073764,-0.15595909047617,0,"ar",100,4,"cbow","Khwaileh2018.csv"
"93","aoa_M",0.231300524415772,0.0534999325950113,0.153544806547682,0.391847938041892,"ar",100,4,"cbow","Khwaileh2018.csv"
"94","imagine_M",0.262370487200421,0.0688382725537863,0.197565842229367,0.444483792988413,"ar",100,4,"cbow","Khwaileh2018.csv"
"95","familiar_M",0.215683632950912,0.0465194295229036,0.133510762730733,0.365391246105778,"ar",100,4,"cbow","Khwaileh2018.csv"
"96","visual_complex_M",0,-0.0322103567306362,-0.092443723816926,0,"ar",100,4,"sg","Khwaileh2018.csv"
"97","image_agree_M",0,-0.03336834158604,-0.0957671403519347,0,"ar",100,4,"sg","Khwaileh2018.csv"
"98","aoa_M",0.218265326640039,0.0476397528132831,0.136726090574123,0.369764912578415,"ar",100,4,"sg","Khwaileh2018.csv"
"99","imagine_M",0.318497562408486,0.101440697260147,0.291134801136623,0.539569088381296,"ar",100,4,"sg","Khwaileh2018.csv"
"100","familiar_M",0,-0.0300643253887746,-0.086284613865783,0,"ar",100,4,"sg","Khwaileh2018.csv"
"101","visual_complex_M",0,-0.0283360935459715,-0.0813245884769381,0,"ar",100,5,"cbow","Khwaileh2018.csv"
"102","image_agree_M",0,-0.0719014796884675,-0.206357246705902,0,"ar",100,5,"cbow","Khwaileh2018.csv"
"103","aoa_M",0.21379849743033,0.0457097975034669,0.13118711883495,0.362197624005114,"ar",100,5,"cbow","Khwaileh2018.csv"
"104","imagine_M",0.210804220951239,0.0444384195708587,0.127538264168364,0.357124997960608,"ar",100,5,"cbow","Khwaileh2018.csv"
"105","familiar_M",0.150735188785784,0.022721097138286,0.0652095487868807,0.2553616039793,"ar",100,5,"cbow","Khwaileh2018.csv"
"106","visual_complex_M",0,-0.0433132369383246,-0.124308990012991,0,"ar",100,5,"sg","Khwaileh2018.csv"
"107","image_agree_M",0,-0.0633010408346045,-0.181673987195315,0,"ar",100,5,"sg","Khwaileh2018.csv"
"108","aoa_M",0.246823425734169,0.0609218034911506,0.174845576019602,0.4181454005721,"ar",100,5,"sg","Khwaileh2018.csv"
"109","imagine_M",0.325787478148934,0.106137480918642,0.304614570236503,0.551918988834868,"ar",100,5,"sg","Khwaileh2018.csv"
"110","familiar_M",0.0775583910885781,0.00601530402824882,0.0172639225610741,0.13139224695953,"ar",100,5,"sg","Khwaileh2018.csv"
"111","visual_complex_M",0,-0.00475459747776421,-0.0136456947611833,0,"ar",100,6,"cbow","Khwaileh2018.csv"
"112","image_agree_M",0,-0.0410619843947909,-0.11784789521305,0,"ar",100,6,"cbow","Khwaileh2018.csv"
"113","aoa_M",0.163232611681781,0.026644885516455,0.0764708214322257,0.276533581020869,"ar",100,6,"cbow","Khwaileh2018.csv"
"114","imagine_M",0.250606782057656,0.0628037592132933,0.180246788942152,0.424554812647497,"ar",100,6,"cbow","Khwaileh2018.csv"
"115","familiar_M",0.19957253699375,0.0398291975221219,0.11430979688849,0.33809731866504,"ar",100,6,"cbow","Khwaileh2018.csv"
"116","visual_complex_M",0,-0.0413132365917926,-0.118568989018445,0,"ar",100,6,"sg","Khwaileh2018.csv"
"117","image_agree_M",0,-0.06125010493356,-0.175787801159317,0,"ar",100,6,"sg","Khwaileh2018.csv"
"118","aoa_M",0.251136608594171,0.0630695961761818,0.181009741025642,0.425452395722062,"ar",100,6,"sg","Khwaileh2018.csv"
"119","imagine_M",0.307051980167966,0.0942809185250688,0.270586236166947,0.520179042414194,"ar",100,6,"sg","Khwaileh2018.csv"
"120","familiar_M",0,-0.0003683574785988,-0.00105718596357857,0,"ar",100,6,"sg","Khwaileh2018.csv"
"121","visual_complex_M",0.142190851530629,0.0202182382590054,0.0580263438033454,0.240886578711529,"ar",200,1,"cbow","Khwaileh2018.csv"
"122","image_agree_M",0,-0.0369878775174115,-0.106155208474971,0,"ar",200,1,"cbow","Khwaileh2018.csv"
"123","aoa_M",0.301524223102238,0.0909168571174082,0.260931379926962,0.510814428072428,"ar",200,1,"cbow","Khwaileh2018.csv"
"124","imagine_M",0.386769934651085,0.149590982350004,0.429326119344513,0.655229821775927,"ar",200,1,"cbow","Khwaileh2018.csv"
"125","familiar_M",0.160119806750283,0.025638352513748,0.0735820717144568,0.27126015504393,"ar",200,1,"cbow","Khwaileh2018.csv"
"126","visual_complex_M",0,-0.00216589833311371,-0.00621612821603634,0,"ar",200,1,"sg","Khwaileh2018.csv"
"127","image_agree_M",0,-0.0526396778972845,-0.151075875565206,0,"ar",200,1,"sg","Khwaileh2018.csv"
"128","aoa_M",0.286325296104596,0.0819821751893846,0.235288842793534,0.485065812847632,"ar",200,1,"sg","Khwaileh2018.csv"
"129","imagine_M",0.374927007893825,0.140570261248217,0.403436649782382,0.635166631508915,"ar",200,1,"sg","Khwaileh2018.csv"
"130","familiar_M",0.17468103079406,0.0305134625192753,0.0875736374303201,0.29592843295351,"ar",200,1,"sg","Khwaileh2018.csv"
"131","visual_complex_M",0,-0.0204072185941976,-0.058568717365347,0,"ar",200,2,"cbow","Khwaileh2018.csv"
"132","image_agree_M",0,-0.0402754863649323,-0.115590645867356,0,"ar",200,2,"cbow","Khwaileh2018.csv"
"133","aoa_M",0.216087475640448,0.046693797128661,0.134011197759257,0.366075399008534,"ar",200,2,"cbow","Khwaileh2018.csv"
"134","imagine_M",0.226840602762095,0.0514566590614707,0.147680611506421,0.384292351610621,"ar",200,2,"cbow","Khwaileh2018.csv"
"135","familiar_M",0.184341055303139,0.0339816246702748,0.0975272628036887,0.312293552292853,"ar",200,2,"cbow","Khwaileh2018.csv"
"136","visual_complex_M",0,-0.00091141368072234,-0.00261575726367314,0,"ar",200,2,"sg","Khwaileh2018.csv"
"137","image_agree_M",0,-0.0355016074725497,-0.101889613446218,0,"ar",200,2,"sg","Khwaileh2018.csv"
"138","aoa_M",0.284756896958963,0.0810864903656977,0.232718227349553,0.48240877619458,"ar",200,2,"sg","Khwaileh2018.csv"
"139","imagine_M",0.358204360491381,0.12831036387504,0.368250744321363,0.606836670218077,"ar",200,2,"sg","Khwaileh2018.csv"
"140","familiar_M",0,-0.00252056523389288,-0.00723402222127256,0,"ar",200,2,"sg","Khwaileh2018.csv"
"141","visual_complex_M",0,-0.0165099434757573,-0.0473835377754235,0,"ar",200,3,"cbow","Khwaileh2018.csv"
"142","image_agree_M",0,-0.0412848997293965,-0.118487662223368,0,"ar",200,3,"cbow","Khwaileh2018.csv"
"143","aoa_M",0.168169245947635,0.0282808952825961,0.0811661694610508,0.284896769832602,"ar",200,3,"cbow","Khwaileh2018.csv"
"144","imagine_M",0.247964604042113,0.0614864448577619,0.176466096741777,0.420078679227805,"ar",200,3,"cbow","Khwaileh2018.csv"
"145","familiar_M",0.122604216946863,0.0150317940131534,0.0431412488177501,0.207704715444186,"ar",200,3,"cbow","Khwaileh2018.csv"
"146","visual_complex_M",0,-0.0023344497968877,-0.0066998709170677,0,"ar",200,3,"sg","Khwaileh2018.csv"
"147","image_agree_M",0,-0.032462357905969,-0.0931669671901309,0,"ar",200,3,"sg","Khwaileh2018.csv"
"148","aoa_M",0.278786099568585,0.0777216893126651,0.223061248327349,0.472293603944992,"ar",200,3,"sg","Khwaileh2018.csv"
"149","imagine_M",0.3445322609089,0.118702478806998,0.340676114176085,0.583674664668671,"ar",200,3,"sg","Khwaileh2018.csv"
"150","familiar_M",0.0831688748280195,0.00691706174015878,0.0198519671942557,0.140897009174275,"ar",200,3,"sg","Khwaileh2018.csv"
"151","visual_complex_M",0,-0.0141969635257475,-0.0407452853188953,0,"ar",200,4,"cbow","Khwaileh2018.csv"
"152","image_agree_M",0,-0.0277265458055147,-0.0795751864618272,0,"ar",200,4,"cbow","Khwaileh2018.csv"
"153","aoa_M",0.175987082620447,0.0309714532492559,0.0888880708253643,0.298141025062577,"ar",200,4,"cbow","Khwaileh2018.csv"
"154","imagine_M",0.245602973587403,0.0603208206349747,0.173120755222377,0.41607782351668,"ar",200,4,"cbow","Khwaileh2018.csv"
"155","familiar_M",0.121384838684185,0.0147342790623857,0.0422873809090469,0.205638957663783,"ar",200,4,"cbow","Khwaileh2018.csv"
"156","visual_complex_M",0,-0.0206557768385359,-0.059282079526598,0,"ar",200,4,"sg","Khwaileh2018.csv"
