datasets_found,,,,,
English,AOA,"Diez-Alamo, Diez, Wojcik, Alonso, & Fernandez_1.xlsx",,,
English,AOA,"Ghasisn, Yadegari, Rahgozar, Nazari, & Rastegarianzade_1.xlsx",,,
English,AOA,"Moors, Houwer, Hermans, Wanmaker, Schie, Can Harmelen, De Schryver, De Winne, & Brysbaert_1.xlsx",,,
English,AOA,"Schauenburg, Ambrasat, Schroder, von Scheve, & Conrad_1.xlsx",,,
English,AOA,"Schmidtke, Schroder, Jacobs, & Conrad_1.xlsx",,,
English,AOA,"Schroder, Gemballa, Ruppin, & Wartenburger_1.xls",,,
English,AOA,"Soares, Comesana, Pinheiro, Simoes, & Frade_1.xls",,,
English,AOA,"Soares, Pinheiro, Costa, Frade, Comesana, & Pureza_1.xls",,,
English,valence,"Brysbaert, Warriner, & Kuperman_1.xlsx",,,
English,valence,Warriner.csv,,,
English,valence,Mikels2005_ReadMe.txt,,,
English,valence,Mikels2005negativenorms.txt,,,
English,valence,Mikels2005positivenorms.txt,,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_6.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_8.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_6.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_8.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_6.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_8.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_6.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_8.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_6.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_8.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_6.xlsx",,,
English,familiar,"Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_8.xlsx",,,
English,valence,Calvo-Avero(2009)_Appx-A.xls,,,
English,valence,CalvoEtAl-APP-A.xls,,,
English,valence,Calvo-Avero(2009)_Appx-A.xls,,,
English,valence,CalvoEtAl-APP-A.xls,,,
English,valence,Gruhn-Scheibe_2008_PictureData.txt,,,
English,valence,Gruhn-Scheibe_2008_ReadMe.txt,,,
English,valence,Gruhn-Smith_2008_AGE.txt,,,
English,valence,Gruhn-Smith_2008_ReadMe.txt,,,
English,valence,"Dawel, Wright, Irons, Dumbleton, Palermo, O'Kearney, & McKone_1.xlsx",,,
English,valence,"Dawel, Wright, Irons, Dumbleton, Palermo, O'Kearney, & McKone_2.xlsx",,,
English,valence,"Dawel, Wright, Irons, Dumbleton, Palermo, O'Kearney, & McKone_3.xlsx",,,
English,valence,Palermo_AppendixA.xls,,,
French,AOAÊ familiar,"Bonin, Meot, & Bugaiska_2.xls",,,
French,AOA Ê imagine,"Bonin, Meot, Millotte, & Bugaiska_1.xlsx",,,
French,AOA Ê imagine,"Bonin, Meot, Ferrand, & Bugaiska_1.xlsx",,,
French,imagine valence,Monnier & Syssau_2.xlsx,,,
French,AOAÊ Ê valence,"Bonin, Meot, & Bugaiska_2.txt",,,
French,AOAÊ Ê valence,"Bonin, Meot, & Bugaiska_3.xlsx",,,
French,AOA,Cannard_appendix2008.xls,,,
French,familiar,CordierEtAl(2005).xls,,,
French,AOA Ê imagine,"Bonin, Meot, Ferrand, & Bugaiska_1.xlsx",,,
French,AOA Ê imagine,Ferrand(2008).xls,,,
French,AOA,schwitter2004norms.xls,,,
French,AOAÊ familiar,AlarioEtAl(1999)App-A.xls,,,
French,AOAÊ familiar,AlarioEtAl(1999)App-B.xls,,,
French,valence,Monnier & Syssau_2.xlsx,,,
French,valence,syssau_monnier_norms.xls,,,
French,AOAÊ familiar,"Bonin, Meot, & Bugaiska_2.txt",,,
French,AOAÊ familiar,"Bonin, Meot, & Bugaiska_2.xls",,,
French,AOAÊ familiar,"Bonin, Meot, & Bugaiska_3.xlsx",,,
French,AOAÊ familiar,"Bonin, Meot, Ferrand, & Bugaiska_1.xlsx",,,
French,AOAÊ familiar,"Bonin, Meot, Millotte, & Bugaiska_1.xlsx",,,
French,AOAÊ familiar,"Tsaparina, Bonin, & Meot_1.xls",,,
French,AOAÊ familiar,"Tsaparina, Bonin, & Meot_2.xls",,,
German,AOAÊ familiar,"Schroder, Gemballa, Ruppin, & Wartenburger_1.xls",,,
German,imagine valence,"Schmidtke, Schroder, Jacobs, & Conrad_1.xlsx",,,
German,AOA,"Birchenough, Davies, & Connelly_1.csv",,,
German,concrete familiarÊ valence,"Citron, Cacciari, Kucharski, Beck, Conrad, & Jacobs_2.xls",,,
German,valence,"Schauenburg, Ambrasat, Schroder, von Scheve, & Conrad_1.xlsx",,,
German,valence,"Briesemeister, Kuchinke, & Jacobs_1.xls",,,
German,AOA,Smolka & Eulitz_3.csv,,,
German,imagine,Gruhn-Scheibe_2008_PictureData.txt,,,
German,imagine,Gruhn-Scheibe_2008_ReadMe.txt,,,
German,imagine,Gruhn-Smith_2008_AGE.txt,,,
German,imagine,Gruhn-Smith_2008_ReadMe.txt,,,
German,concrete Ê valence,Kanske_LANG_database.txt,,,
German,concrete Ê valence,Kanske_LANG_rating-instructions.txt,,,
Greek,AOA,Dimitropoulou_2009_AppA.pdf,,,
Greek,AOA,Dimitropoulou_2009_AppB.pdf,,,
Italian,familiar,"Montefinese, Ambrosini, Fairfield, & Mammarella_1.xls",,,
Italian,AOAÊ familiar,"Tabossi, Arduino, & Fanari_1.xls",,,
Italian,AOAÊ familiar,"Tabossi, Arduino, & Fanari_2.xls",,,
Italian,AOA Ê imagine,Rinaldi_CFV-lexvar.xls,,,
Italian,AOA,Barbarotto-Description&Data.txt,,,
Italian,AOA concrete familiar imagine,DellaRosaEtAl_norms.xls,,,
Italian,AOAÊ familiar,Lotto_Appendix_A.xls,,,
Italian,AOAÊ familiar,Lotto_Appendix_B.xls,,,
Japanese,familiar imagine,"Nishimoto, Ueda, Miyawaki, Une, & Takahashi_1.xlsx",,,
Japanese,valence,"Yang, Makita, Nakao, Kanayama, Machizawa, Sasaoka, Sugata, Kobayashi, Hiramoto, Yamawaki, Iwanaga, & Miyatani_1.xlsx",,,
Japanese,AOAÊ familiar,Nishimoto_appendix_a.xls,,,
Japanese,AOAÊ familiar,"Nishimoto, Ueda, Miyawaki, Une, & Takahashi_1.xlsx",,,
Japanese,familiar imagine,Nishimoto_appendix_a.xls,,,
Japanese,familiar imagine,"Nishimoto, Ueda, Miyawaki, Une, & Takahashi_1.xlsx",,,
Norwegian ,Familiarity,Torrance2018,Note: Dataset saved,,
Persian,AOA Ê imagine,"Bakhtiar, Nilipour, & Weekes_1.xlsx",,,
Persian,AOAÊ familiar,"Ghasisn, Yadegari, Rahgozar, Nazari, & Rastegarianzade_1.xlsx",,,
Polish,valence,"Marchewka, Zurawski, Jednorog, & Grabowska_1.xls",,,
Polish,valence,"Marchewka, Zurawski, Jednorog, & Grabowska_2.xlsx",,,
Polish,valence,Imbir_1.xls,,,
Polish,imagine valence,"Riegel, Wierzba, Wypych, Zurawski, Jednorog, Grabowska, & Marchewka_1.xlsx",,,
Portuguese,valence,"Soares, Pinheiro, Costa, Frade, Comesana, & Pureza_1.xls",,,
Portuguese,valence,"Soares, Comesana, Pinheiro, Simoes, & Frade_1.xls",,,
Portuguese,concreteÊ imagine,"Soares, Costa, Machado, Comesana, & Oliveira_1.xlsx",,,
Portuguese,Concreteness & Familiarity,Prada 2016,Note: Dataset saved,,
Portuguese,AOA concrete familiar imagine,MarquesetalBRM.xls,,,
Portuguese,Familiarity,Pompeia2001,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2001000300004&lng=en&tlng=en,,
Portuguese,Familiarity,Miranda2004,https://core.ac.uk/download/pdf/37705675.pdf,,
Portuguese,AOA,Cameirao_AOA 1749 Portuguese Words.csv,,,
Russian,AOAÊ familiar imagine,Grigoriev & Oshhepkov_1.xls,,,
Spanish,valence,"Ferre, Guasch, Moldovan, & Sanchez-Casas_1.xls",,,
Spanish,AOAÊ familiar,"Moreno-Martinez, Montoro, & Rodriguez-Rojo_1.xls",,,
Spanish,AOA,"Alonso, Diez, & Fernandez_1.xlsx",,,
Spanish,valence,"Ferre, Guasch, Martinez-Garcia, Fraga, & Hinojosa_1.xls",,,
Spanish,concrete familiar imagine valence,"Guasch, Ferre, & Fraga_1.xlsx",,,
Spanish,valence,"Stadthagen-Gonzalez, Imbault, Sanchez, & Brysbaert_1.csv",,,
Spanish,concrete familiar,"Diez-Alamo, Diez, Alonso,Vargas, & Fernandez_1.rar",,,
Spanish,AOA,"Diez-Alamo, Diez, Wojcik, Alonso, & Fernandez_1.xlsx",,,
Spanish,valence,"Stadthagen-Gonzalez, Ferre, Perez-Sanchez, Imbault, & Hinojosa_1.csv",,,
Spanish,AOAÊ familiar imagine,Izuranorms.xls,,,
Spanish,concrete familiar imagine valence,RealesEtAl(2002).xls,,,
Spanish,concrete familiar imagine valence,Redondo(2007).xls,,,
Spanish,AOA,Cuetos_actionpictures.xls,,,
Spanish,AOAÊ familiar imagine,Cuetos_actionpictures.xls,,,
Spanish,AOAÊ familiar,Manoiloff_APPENDIX_A.xls,,,
Spanish,AOAÊ familiar,Manoiloff_APPENDIX_B.xls,,,
Spanish,familiar,dasi_2004norms.txt,,,
Spanish,AOA,Alonso_SpanishAoA.txt,,,
Spanish,AOA,"Alonso, Diez, & Fernandez_1.xlsx",,,
Spanish,AOA,"Diez-Alamo, Diez, Wojcik, Alonso, & Fernandez_1.xlsx",,,
Turkish,AOAÊ familiar,"Raman, Raman, & Mertan_1.xlsx",,,
Turkish,AOAÊ familiar,"Raman, Raman, & Mertan_2.xlsx",,,
