Portuguese name	English translation	AoA	AoASd	Syl	Let	Fam	Wwf	LogWwf	Conc	Imag
Carteiro	mailman	3,10	1,04	3	8	1,80	67	1,83		
Casa	house	1,57	0,60	2	4	1,40	12731	4,10	6,26	6,50
Casaco	coat	2,10	0,70	3	6	1,58	568	2,75		
Casca	shell	2,30	0,86	2	5	2,10	318	2,50	6,16	5,38
Cassete	tape	2,65	0,80	3	7	1,58	90	1,95		
Castanha	chestnut	2,14	0,57	3	8	2,30	98	1,99		
Catatua	cockatoo	4,61	1,36	4	7	4,00				
Cavala	chub mackerel	5,22	1,11	3	6	2,58	22	1,34		
Cavalo	horse	1,70	0,70	3	6	1,11	1559	3,19	6,68	6,77
Cavaquinho	little guitar	3,67	0,97	4	10	3,21	17	1,23		
Cebola	onion	2,52	0,93	3	6	1,95	661	2,82	6,78	6,44
Cegonha	stork	2,14	0,79	3	7	3,00	48	1,68		
Cenoura 	carrot	2,35	1,36	3	8	1,63	207	2,32	6,86	6,56
Cérebro	brain	3,83	1,34	3	7	1,67	293	2,47	5,32	5,75
Cereja	cherry	2,30	0,73	3	6	1,95	81	1,91	6,80	6,63
Ceroulas	long johns	5,05	1,66	3	8	2,53	26	1,41		
Cesto	basket	2,10	0,77	2	5	1,84	290	2,46	6,56	6,12
Céu	sky	1,50	0,60	1	3	1,73	1502	3,18	4,16	5,83
Chacal	jackal	5,87	1,41	2	6	3,26	9	0,95		
Chaleira	kettle	4,27	1,36	3	8	2,74	15	1,18		
Chapéu	hat	1,71	0,72	2	6	1,21	662	2,82		
Charme	charm	5,76	1,04	2	6	3,20	85	1,93	2,38	3,10
Charrete	chariot	5,30	1,72	3	8	3,65	13	1,11		
Charuto	cigar	4,74	1,30	3	7	1,58	131	2,12		
Chave	key	2,43	0,98	2	5	1,21	570	2,76	6,72	6,60
Chávena 	cup	2,57	0,93	3	8	1,53	176	2,25	6,76	6,17
Cherne	black grouper	5,52	1,50	2	6	4,16	16	1,20		
Chicharro	horse mackerel	5,50	1,86	3	9	2,95	12	1,08		
Chicória	chicory	6,48	1,83	3	8	4,37	17	1,23		
Chicote	whip	4,00	1,53	3	7		87	1,94		
Chimpanzé	chimpanzee	3,05	1,12	3	9	1,79				
Chinelo	slipper	2,04	1,01	3	7	1,63	59	1,77		
Chocolate	chocolate	1,81	0,60	4	9	1,65	218	2,34		
Chouriço	smoked pork sausage	2,91	0,77	3	8	1,90	99	2,00		
Chuva	rain	1,70	0,64	2	5		1839	3,26		
Cíclame	cyclamen	7,68	0,58	3	7	4,78				
Cientista	scientist	4,09	1,09	3	9	2,25	428	2,63		
Cigarra	cicada	3,00	0,77	3	7	2,58	26	1,41		
Cinto	belt	2,22	0,72	2	5	1,58	196	2,29		
Cinzeiro	ashtray	3,05	1,16	3	8	1,65	111	2,05		
Cisne	swan	2,95	1,09	2	5	2,00	70	1,85		
Ciúme	jealousy	4,14	1,31	3	5	3,00	210	2,32	1,90	2,62
Clarinete	clarinet	4,62	1,16	4	9	2,89	53	1,72		
Clipe	paper clip	4,00	1,18	1	5	1,68	33	1,52		
Cloreto	chloride	6,55	0,83	3	7	3,47	40	1,60	4,92	2,52
Coador	strainer	4,29	1,23	2	6	2,95	6	0,78		
Coala	koala	3,90	1,14	2	5	2,00				
Cobra	snake	2,43	0,68	2	5	1,63	142	2,15		
Coche	carriage	3,87	1,42	2	5	2,85	32	1,51		
Coco	coconut	2,18	0,83	2	4	2,15	48	1,68		
Codorniz	quail	3,91	0,98	3	8	3,00	41	1,61		
Coelho	rabbit	1,70	0,64	2	6	1,23	156	2,19	6,72	6,71
Coentros	coriander	4,64	1,57	3	8	3,45	68	1,83		
Cofre	safe	3,33	1,15	2	5	1,74	273	2,44		
Cogumelo	mushroom	3,05	1,16	4	8	1,95	260	2,41		
Coiote	coyote	4,71	1,19	3	6	2,68				
Colar	necklace	2,43	0,93	2	5	1,80	204	2,31		
Colchão	mattress	2,57	0,81	2	7	1,85	122	2,09		
Cólera	anger	5,39	1,20	3	6	3,33	210	2,32	2,54	2,62
Colete	vest	3,29	1,15	3	6	1,89	157	2,20		
Colher	spoon	1,52	0,94	2	6	1,26	1082	3,03	6,62	6,56
Combóio	train	1,67	0,66	3	7	1,32	1197	3,08	6,58	6,62
Comerciante	trader/dealer	3,90	1,48	4	11	2,40	794	2,90		
Cómoda	chest of drawers	3,87	1,53	3	6	2,55	94	1,97		
Compota	jam	3,30	1,12	3	7	2,45	44	1,64		
Condor	condor	6,09	1,85	2	6	3,60	10	1,00		
Confiança	trust	4,05	1,07	3	9	2,97	1214	3,08	2,08	2,37
Conforto	comfort	4,52	1,21	3	8	2,93	361	2,56	2,74	3,37
Congelador	freezer	3,18	0,93	4	10	1,68	29	1,46		
Congro	conger	7,24	1,55	2	6	4,24	12	1,08		
Contentamento	contentment	4,86	1,69	5	13	3,13	94	1,97	2,42	2,92
Copo	glass	1,27	0,56	2	4	1,16	837	2,92	6,62	6,56
Cor	colour	1,86	0,48	1	3	2,23	2799	3,45	3,88	4,00
Coração	heart	2,38	0,86	3	7		2213	3,34		
Cordeiro	lamb	3,43	1,02	3	8	2,21	28	1,45		
Corneta	horn	2,78	0,96	3	7	2,32	15	1,18		
Corrente	chain	3,90	1,00	3	8	1,89	2040	3,31		
Corta-Relva	lawn mower	4,14	1,01	4	11					
Cortinas	curtains	3,00	0,63	3	8	2,20	286	2,46		
Coruja	owl	3,00	0,85	3	6	2,80	51	1,71	6,66	6,19
Corvina	meagre	5,13	1,70	3	7	2,92	18	1,26		
Corvo	crow	3,43	1,36	2	5	2,65	33	1,52	6,72	6,21
Costas	back	1,91	0,77	2	6	1,74	1064	3,03	6,06	5,38
Cotovelo	elbow	2,22	0,72	4	8	1,64	144	2,16		
Cotovia	lark	4,71	1,59	4	7	3,55	14	1,15		
Couve	cabbage	2,67	1,28	2	5	2,55	177	2,25		
Couve-flor	cauliflower	3,67	1,20	3	10	2,45	18	1,26		
Cozinheiro	cook	2,68	0,91	4	10	1,90	186	2,27		
