Portuguese name	English translation	AoA	AoASd	Syl	Let	Fam	Wwf	LogWwf	Conc	Imag
Trotinete	scooter	4,04	1,73	4	9	2,50			6,58	5,96
Truta	trout	4,23	1,53	2	5	1,97	64	1,81		
Tubarão	shark	2,64	0,74	3	7	1,89	78	1,89		
Tucano	toucan	5,23	1,80	3	6	4,33	9	0,95		
Tulipa	tulip	3,86	0,96	3	6	3,00				
Umbigo	navel	2,30	0,86	3	6	1,58	75	1,88		
Unha	nail	1,81	0,75	2	4	1,47	340	2,53		
Urso	bear	1,95	0,74	2	4	1,35	89	1,95	6,64	6,65
Uvas	grapes	1,90	0,62	2	4	1,95	158	2,20	6,80	6,62
Vaca	cow	1,70	0,78	2	4	1,33	535	2,73	6,76	6,58
Vaidade	vanity	4,26	1,23	3	7	2,93	191	2,28	2,20	3,00
Vaivém	space shuttle	4,82	1,59	2	6	2,95	85	1,93		
Vale	valley	4,05	1,69	2	4	2,40	1368	3,14	5,22	4,31
Valentia	bravery	5,00	1,34	4	8	3,13	31	1,49	2,24	2,42
Valor	value	4,30	1,17	2	5	3,17	7691	3,89	2,10	2,27
Varredor	sweeper	3,48	0,98	3	8	2,26	10	1,00		
Vaso	vase	2,39	0,98	2	4	1,58	424	2,63	6,66	6,29
Vassoura	broom	2,24	0,70	3	8		90	1,95		
Veado	deer	2,86	1,01	3	5	1,42	99	2,00		
Vela	candle	2,71	0,85	2	4	1,37	649	2,81	6,36	6,15
Vendedor	salesman	3,43	0,93	3	8	2,21	344	2,54		
Vento	wind	2,24	0,83	2	5	2,17	2150	3,33	4,88	4,31
Vergonha	shame	3,04	1,12	3	8	2,90	519	2,72	2,06	2,63
Vespa	wasp	3,19	0,98	2	5	2,68	46	1,66		
Vestido	dress	1,91	0,77	3	7	1,63	524	2,72		
Veterinário	veterinary	3,26	0,92	5	11	1,42	69	1,84		
Viagem	trip	2,61	0,74	3	6	2,26	2449	3,39		
Víbora	viper	4,86	1,49	3	6	2,89	20	1,30		
Viola	classic guitar	2,65	0,62	3	5	1,95	174	2,24		
Violeta	violet	3,10	1,30	4	7	3,16	62	1,79		
Violino	violin	3,50	0,98	4	7	1,45	208	2,32		
Violoncelo	cello	4,91	1,26	5	10	2,74	105	2,02		
Vontade	will	2,91	0,89	3	7	3,10	2119	3,33	2,00	2,23
Xilofone	xylophone	3,57	1,25	4	8	2,42				
Xuxu	choko	5,17	2,79	2	4	4,26				
Zebra	zebra	2,33	0,66	2	5	1,42	18	1,26	6,72	6,54
										
