IAPS	set	valcat	content	val_yf	val_ym	val_of	val_om	val_f	val_m	val_y	val_o	val_t	aro_yf	aro_ym	aro_of	aro_om	aro_f	aro_m	aro_y	aro_o	aro_t	vage_p	vage_e	vage_s	vaxs_p	vaxs_e	vaxs_s	vsex_p	vsex_e	vsex_s	aage_p	aage_e	aage_s	aaxs_p	aaxs_e	aaxs_s	asex_p	asex_e	asex_s	phit_y	phit_o	phit_t	pfa_y	pfa_o	pfa_t	dp_y	dp_o	dp_t	bc_y	by_o	by_t
4623.0	1	3	3	6.333	7.200	8.000	7.615	7.231	7.393	6.815	7.815	7.315	2.833	3.267	2.714	3.385	2.769	3.321	3.074	3.037	3.056	0.154	0.019	0	0.307	0.010	0	0.669	0.002	0	0.999	0.000	0	0.838	0.001	0	0.343	0.018	0	0.860	0.860	0.867	0.220	0.420	0.316	1.853	1.282	1.592	-0.154	-0.439	-0.318
4624.0	1	2	3	6.154	6.000	6.357	6.917	6.259	6.440	6.077	6.615	6.346	2.769	4.000	3.429	2.833	3.111	3.440	3.385	3.154	3.269	0.176	0.018	0	0.148	0.021	0	0.917	0.000	0	0.562	0.007	0	0.142	0.045	0	0.666	0.004	0	0.700	0.820	0.765	0.060	0.300	0.173	2.079	1.440	1.664	0.515	-0.195	0.109
4625.0	1	2	3	6.462	7.000	7.143	7.333	6.815	7.160	6.731	7.231	6.981	3.308	3.923	2.714	2.333	3.000	3.160	3.615	2.538	3.077	0.018	0.056	1	0.567	0.003	0	0.836	0.000	0	0.050	0.079	1	0.499	0.010	0	0.972	0.000	0	0.860	0.940	0.908	0.180	0.500	0.337	1.996	1.555	1.751	-0.082	-0.777	-0.454
4626.0	1	4	3	6.538	6.538	7.714	7.583	7.148	7.040	6.538	7.654	7.096	2.846	3.538	2.786	2.000	2.815	2.800	3.192	2.423	2.808	0.007	0.071	1	0.530	0.004	0	0.813	0.001	0	0.140	0.046	0	0.263	0.027	0	0.833	0.001	0	0.860	0.820	0.847	0.180	0.220	0.194	1.996	1.688	1.887	-0.082	-0.072	-0.080
4640.0	1	4	3	6.154	6.000	6.214	7.500	6.185	6.720	6.077	6.808	6.442	2.923	4.308	3.214	2.583	3.074	3.480	3.615	2.923	3.269	0.034	0.045	1	0.034	0.045	1	0.591	0.003	0	0.180	0.038	0	0.120	0.051	0	0.615	0.005	0	0.740	0.780	0.765	0.180	0.300	0.235	1.559	1.297	1.447	0.136	-0.124	0.000
4641.0	1	2	3	6.077	6.692	7.143	7.583	6.630	7.120	6.385	7.346	6.865	2.538	4.385	2.643	2.583	2.593	3.520	3.462	2.615	3.038	0.009	0.067	1	0.246	0.014	0	0.634	0.002	0	0.132	0.048	0	0.142	0.045	0	0.171	0.040	0	0.820	0.820	0.827	0.180	0.340	0.255	1.831	1.328	1.599	0.000	-0.251	-0.141
4650.0	1	4	3	4.769	5.923	5.786	6.667	5.296	6.280	5.346	6.192	5.769	4.000	4.692	3.071	2.917	3.519	3.840	4.346	3.000	3.673	0.002	0.095	1	0.979	0.000	0	0.153	0.021	0	0.008	0.142	1	0.575	0.007	0	0.787	0.002	0	0.900	0.940	0.929	0.140	0.300	0.214	2.362	2.079	2.257	-0.101	-0.515	-0.337
4656.0	1	3	3	5.917	6.933	6.929	7.615	6.462	7.250	6.481	7.259	6.870	3.250	3.667	2.857	3.385	3.038	3.536	3.481	3.111	3.296	0.158	0.019	0	0.792	0.001	0	0.650	0.002	0	0.603	0.005	0	0.932	0.000	0	0.467	0.011	0	0.780	0.780	0.786	0.180	0.220	0.194	1.688	1.544	1.655	0.072	0.000	0.036
4660.0	1	3	3	6.083	7.400	6.500	6.769	6.308	7.107	6.815	6.630	6.722	4.500	4.333	3.357	3.077	3.885	3.750	4.407	3.222	3.815	0.209	0.015	0	0.590	0.003	0	0.242	0.013	0	0.082	0.059	0	0.933	0.000	0	0.742	0.002	0	0.940	0.940	0.949	0.260	0.340	0.296	2.198	1.967	2.171	-0.456	-0.571	-0.549
4670.0	1	2	3	4.923	6.615	5.929	7.333	5.444	6.960	5.769	6.577	6.173	4.308	4.923	3.357	3.083	3.815	4.040	4.615	3.231	3.923	0.019	0.054	1	0.646	0.002	0	0.114	0.025	0	0.037	0.090	1	0.355	0.018	0	0.637	0.005	0	0.900	0.820	0.867	0.020	0.300	0.153	3.335	1.440	2.137	0.386	-0.195	-0.045
4676.0	1	4	3	5.846	6.385	6.071	7.500	5.963	6.920	6.115	6.731	6.423	4.154	5.154	3.214	3.000	3.667	4.120	4.654	3.115	3.885	0.010	0.066	1	0.216	0.015	0	0.497	0.005	0	0.014	0.121	1	0.377	0.017	0	0.585	0.006	0	0.740	0.780	0.765	0.260	0.460	0.357	1.287	0.873	1.090	0.000	-0.336	-0.179
4677.0	1	2	3	6.308	6.923	6.786	6.417	6.556	6.680	6.615	6.615	6.615	3.846	5.231	3.714	2.917	3.778	4.120	4.538	3.346	3.942	0.114	0.025	0	0.355	0.009	0	0.668	0.002	0	0.067	0.069	0	0.098	0.057	0	0.646	0.005	0	0.820	0.980	0.908	0.140	0.300	0.214	1.996	2.578	2.121	0.082	-0.765	-0.269
4680.0	1	1	3	6.917	7.933	5.500	7.154	6.154	7.571	7.481	6.296	6.889	4.417	5.467	3.786	4.769	4.077	5.143	5.000	4.259	4.630	0.670	0.002	0	0.729	0.001	0	0.754	0.001	0	0.403	0.014	0	0.966	0.000	0	0.202	0.032	0	0.980	0.940	0.969	0.020	0.100	0.051	4.107	2.836	3.507	0.000	-0.137	-0.118
4681.0	1	2	3	4.385	6.231	5.500	6.500	4.963	6.360	5.308	5.962	5.635	4.385	4.769	3.857	3.667	4.111	4.240	4.577	3.769	4.173	0.105	0.026	0	0.794	0.001	0	0.090	0.029	0	0.117	0.051	0	0.744	0.002	0	0.997	0.000	0	0.620	0.660	0.643	0.300	0.260	0.276	0.830	1.056	0.962	0.109	0.115	0.115
4687.0	1	4	3	5.615	6.769	6.286	6.417	5.963	6.600	6.192	6.346	6.269	4.462	5.462	3.214	3.250	3.815	4.400	4.962	3.231	4.096	0.035	0.044	1	0.860	0.000	0	0.774	0.001	0	0.007	0.147	1	0.507	0.009	0	0.472	0.011	0	0.860	0.900	0.888	0.260	0.540	0.398	1.724	1.181	1.473	-0.218	-0.691	-0.478
4689.0	1	1	3	5.917	7.400	7.214	7.154	6.615	7.286	6.741	7.185	6.963	3.083	3.933	2.143	2.846	2.577	3.429	3.556	2.481	3.019	0.042	0.039	1	0.353	0.008	0	0.931	0.000	0	0.086	0.058	0	0.900	0.000	0	0.186	0.035	0	0.900	0.900	0.908	0.380	0.540	0.459	1.587	1.181	1.432	-0.488	-0.691	-0.614
4690.0	1	4	3	4.231	6.769	5.857	7.333	5.074	7.040	5.500	6.538	6.019	4.538	4.154	3.143	3.333	3.815	3.760	4.346	3.231	3.788	0.012	0.063	1	0.261	0.013	0	0.008	0.068	1	0.041	0.086	1	0.471	0.011	0	0.685	0.004	0	0.980	0.940	0.969	0.020	0.060	0.031	4.107	3.110	3.744	0.000	0.000	0.000
4700.0	1	3	3	6.500	6.333	8.000	7.846	7.308	7.036	6.407	7.926	7.167	3.000	2.400	2.000	2.308	2.462	2.357	2.667	2.148	2.407	0.001	0.106	1	0.446	0.006	0	0.981	0.000	0	0.242	0.027	0	0.329	0.019	0	0.752	0.002	0	0.780	0.820	0.806	0.100	0.100	0.092	2.054	2.197	2.193	0.255	0.183	0.233
5120.0	3	2	2	3.538	3.385	2.429	2.917	2.963	3.160	3.462	2.654	3.058	5.077	4.538	5.429	5.833	5.259	5.160	4.808	5.615	5.212	0.103	0.027	0	0.776	0.001	0	0.703	0.001	0	0.285	0.024	0	0.416	0.014	0	0.823	0.001	0	0.700	0.620	0.663	0.260	0.300	0.276	1.168	0.830	1.018	0.059	0.109	0.087
5130.0	3	4	2	3.462	4.385	3.429	4.167	3.444	4.280	3.923	3.769	3.846	5.308	3.231	4.857	4.750	5.074	3.960	4.269	4.808	4.538	0.347	0.009	0	0.409	0.007	0	0.068	0.033	0	0.291	0.024	0	0.204	0.034	0	0.152	0.043	0	0.620	0.780	0.704	0.020	0.180	0.092	2.359	1.688	1.866	0.874	0.072	0.397
5260.0	4	4	3	6.462	7.077	7.143	7.333	6.815	7.200	6.769	7.231	7.000	3.231	3.769	2.071	2.667	2.630	3.240	3.500	2.346	2.923	0.072	0.032	0	0.988	0.000	0	0.547	0.004	0	0.050	0.079	1	0.932	0.000	0	0.229	0.031	0	0.740	0.820	0.786	0.140	0.180	0.153	1.724	1.831	1.815	0.218	0.000	0.116
5270.0	4	2	3	6.154	6.231	6.071	6.250	6.111	6.240	6.192	6.154	6.173	3.846	4.000	3.429	3.000	3.630	3.520	3.923	3.231	3.577	0.659	0.002	0	0.493	0.005	0	0.926	0.000	0	0.331	0.020	0	0.476	0.011	0	0.992	0.000	0	0.580	0.620	0.602	0.260	0.260	0.255	0.845	0.949	0.917	0.221	0.169	0.200
5300.0	4	2	3	6.846	6.923	6.143	6.833	6.481	6.880	6.885	6.462	6.673	3.231	3.538	2.786	2.417	3.000	3.000	3.385	2.615	3.000	0.512	0.004	0	0.533	0.004	0	0.409	0.007	0	0.151	0.043	0	0.685	0.004	0	0.838	0.001	0	0.780	0.900	0.847	0.100	0.020	0.051	2.054	3.335	2.658	0.255	0.386	0.306
5390.0	3	4	2	7.385	6.462	7.071	7.000	7.222	6.720	6.923	7.038	6.981	1.923	2.538	1.429	2.250	1.667	2.400	2.231	1.808	2.019	0.400	0.007	0	0.792	0.001	0	0.116	0.025	0	0.324	0.021	0	0.744	0.002	0	0.121	0.050	0	0.500	0.780	0.643	0.060	0.020	0.031	1.555	2.826	2.238	0.777	0.641	0.753
5395.0	3	4	2	6.000	5.308	5.357	4.667	5.667	5.000	5.654	5.038	5.346	3.769	4.308	3.429	4.250	3.593	4.280	4.038	3.808	3.923	0.677	0.002	0	0.665	0.002	0	0.104	0.026	0	0.586	0.006	0	0.656	0.004	0	0.330	0.020	0	0.740	0.940	0.847	0.020	0.060	0.031	2.697	3.110	2.895	0.705	0.000	0.424
5450.0	3	3	3	3.500	6.000	5.000	5.154	4.308	5.607	4.889	5.074	4.981	4.167	3.867	4.786	5.000	4.500	4.393	4.000	4.889	4.444	0.528	0.004	0	0.102	0.026	0	0.117	0.023	0	0.181	0.035	0	0.692	0.003	0	0.947	0.000	0	0.700	0.740	0.724	0.180	0.220	0.194	1.440	1.416	1.460	0.195	0.064	0.134
5455.0	1	2	2	5.308	5.231	5.286	5.417	5.296	5.320	5.269	5.346	5.308	3.615	3.615	3.286	3.750	3.444	3.680	3.615	3.500	3.558	0.698	0.002	0	0.822	0.001	0	0.475	0.005	0	0.869	0.001	0	0.924	0.000	0	0.425	0.014	0	0.540	0.620	0.582	0.020	0.140	0.071	2.154	1.386	1.671	0.977	0.387	0.630
5460.0	1	4	3	4.154	6.231	3.714	4.417	3.926	5.360	5.192	4.038	4.615	3.154	3.615	6.071	4.583	4.667	4.080	3.385	5.385	4.385	0.000	0.128	1	0.640	0.002	0	0.027	0.049	1	0.002	0.179	1	0.133	0.047	0	0.302	0.023	0	0.700	0.580	0.643	0.020	0.180	0.092	2.578	1.117	1.696	0.765	0.357	0.482
5470.0	1	1	3	5.167	6.133	6.071	6.231	5.654	6.179	5.704	6.148	5.926	3.167	3.200	3.357	4.615	3.269	3.857	3.185	3.963	3.574	0.719	0.001	0	0.227	0.014	0	0.921	0.000	0	0.184	0.035	0	0.309	0.021	0	0.284	0.023	0	0.820	0.700	0.765	0.140	0.140	0.133	1.996	1.605	1.837	0.082	0.278	0.195
5480.0	3	2	3	5.692	6.615	6.571	6.083	6.148	6.360	6.154	6.346	6.250	3.462	4.000	2.286	2.667	2.852	3.360	3.731	2.462	3.096	0.037	0.043	1	0.287	0.011	0	0.888	0.000	0	0.009	0.138	1	0.962	0.000	0	0.474	0.011	0	0.780	0.900	0.847	0.100	0.180	0.133	2.054	2.197	2.137	0.255	-0.183	0.045
5500.0	3	3	2	5.417	5.333	6.000	5.538	5.731	5.429	5.370	5.778	5.574	2.417	2.533	2.714	3.385	2.577	2.929	2.481	3.037	2.759	0.797	0.001	0	0.507	0.004	0	0.344	0.009	0	0.228	0.029	0	0.559	0.007	0	0.407	0.014	0	0.780	0.620	0.704	0.740	0.740	0.745	0.129	-0.338	-0.122	-0.708	-0.474	-0.597
5510.0	3	4	2	5.846	5.231	6.357	5.833	6.111	5.520	5.538	6.115	5.827	2.538	3.615	2.643	2.667	2.593	3.160	3.077	2.654	2.865	0.114	0.025	0	0.667	0.002	0	0.221	0.015	0	0.340	0.019	0	0.364	0.018	0	0.340	0.019	0	0.820	0.900	0.867	0.140	0.300	0.214	1.996	1.806	1.906	0.082	-0.379	-0.161
5520.0	3	2	2	5.615	5.462	6.643	5.500	6.148	5.480	5.538	6.115	5.827	2.846	3.000	2.429	3.333	2.630	3.160	2.923	2.846	2.885	0.335	0.009	0	0.120	0.024	0	0.189	0.017	0	0.826	0.001	0	0.404	0.015	0	0.404	0.015	0	0.660	0.820	0.745	0.340	0.540	0.439	0.825	0.815	0.813	0.000	-0.508	-0.252
5530.0	3	1	2	5.000	5.867	6.143	5.308	5.615	5.607	5.481	5.741	5.611	2.750	2.267	2.286	3.615	2.500	2.893	2.481	2.926	2.704	0.836	0.000	0	0.017	0.054	1	0.574	0.003	0	0.346	0.018	0	0.057	0.071	0	0.367	0.016	0	0.860	0.940	0.908	0.100	0.140	0.112	2.362	2.635	2.544	0.101	-0.237	-0.057
5531.0	3	4	2	5.769	4.385	6.214	6.417	6.000	5.360	5.077	6.308	5.692	2.846	3.000	2.929	2.833	2.889	2.920	2.923	2.885	2.904	0.050	0.038	1	0.324	0.010	0	0.570	0.003	0	0.817	0.001	0	0.926	0.000	0	0.926	0.000	0	0.780	0.940	0.867	0.180	0.340	0.255	1.688	1.967	1.772	0.072	-0.571	-0.228
5532.0	3	4	2	5.308	3.615	5.857	5.917	5.593	4.720	4.462	5.885	5.173	3.077	3.538	2.857	2.917	2.963	3.240	3.308	2.885	3.096	0.018	0.055	1	0.394	0.007	0	0.394	0.007	0	0.392	0.016	0	0.846	0.001	0	0.768	0.002	0	0.900	0.940	0.929	0.460	0.740	0.602	1.382	0.911	1.207	-0.591	-1.099	-0.862
5533.0	3	4	2	6.231	5.077	5.714	6.000	5.963	5.520	5.654	5.846	5.750	2.846	2.538	2.214	3.000	2.519	2.760	2.692	2.577	2.635	0.469	0.005	0	0.941	0.000	0	0.469	0.005	0	0.667	0.004	0	0.102	0.056	0	0.667	0.004	0	0.660	0.780	0.724	0.340	0.660	0.500	0.825	0.360	0.596	0.000	-0.592	-0.298
5534.0	3	1	2	4.833	5.067	5.643	5.385	5.269	5.214	4.963	5.519	5.241	2.833	2.667	2.714	3.923	2.769	3.250	2.741	3.296	3.019	0.995	0.000	0	0.215	0.015	0	0.478	0.005	0	0.281	0.023	0	0.194	0.034	0	0.323	0.020	0	0.700	0.900	0.806	0.380	0.340	0.357	0.830	1.694	1.230	-0.109	-0.435	-0.249
