Appendix
Icon functions, ratings of function familiarity and concreteness, and no. of syllables listed in alphabetic order
Function	Concreteness Rating	Familiarity Rating	No. of Syllables
1	add task	2.05	3.90	2
202	slow	2.35	4.72	1
203	smooth edges	3.20	4.00	3
204	sound	2.25	4.69	1
205	spade	4.50	4.23	1
206	spark coil-ignition element	3.10	1.87	8
207	spark plug	4.20	4.00	2
208	sterilizer	3.85	3.90	4
209	straining element	2.63	1.85	5
210	suction removal of trimmed edges	2.28	1.51	 10
211	surgery	3.38	4.44	3
212	tape cassette	4.60	4.56	3
213	tape recorder	4.47	4.51	4
214	temperature	2.70	4.77	4
215	thin ice	3.80	4.54	2
216	three star freezing compartment	3.43	2.74	7
217	timber	4.33	4.41	2
218	time	2.28	4.62	1
219	timed page cancelled	2.05	2.23	5
220	toolbox	4.50	4.23	2
221	topic	2.28	4.28	2
222	tourist activities	2.73	4.44	6
223	toxic substances	3.70	4.28	5
224	tubular film die	2.80	1.46	5
225	typewriter	4.47	4.36	3
226	undo	2.33	4.41	2
227	vertebrates	3.58	3.92	3
228	vibrate	2.60	4.46	2
229	video camera	4.63	4.79	5
230	wall	4.43	4.62	1
231	water cooled condenser	3.65	2.87	7
232	water power	2.60	2.95	4
233	webcrawler	2.73	2.56	3
234	weight	3.13	4.67	1
235	wheel	4.63	4.56	1
236	windscreen demisting and defrosting	2.58	3.56	9
237	winter sports area	3.20	4.05	4
238	zoom	2.35	4.67	1
239	zoom	2.17	4.74	1
