var,adjusted r,adjusted r-squared,r-squared,r,language,dim,window,algo,dataset,data_source
unigram_freq,0.0309710098369663,0.000959203450321464,0.00342490439455467,0.0585226827354546,af,100,3,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.293070767118058,0.0858904745391668,0.0771676832261597,0.277790718394549,af,100,4,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0443146468120943,0.00196378792208066,0.0070118449657926,0.0837367599432448,af,100,4,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.213096962190731,0.0454103152949178,0.0407985733537926,0.201986567260777,af,100,4,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0317551629222887,0.0010083903722211,0.00360052981053105,0.060004414925329,af,100,4,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.297915495210517,0.0887536422865278,0.0797400758335722,0.282382853292427,af,100,5,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0455942525065224,0.00207883586162852,0.00742263184693848,0.0861546971844163,af,100,5,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.211977653609093,0.0449345256296168,0.0403711035281661,0.200925616903784,af,100,5,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0308709432097164,0.000953015134657536,0.00340280857170794,0.058333597280709,af,100,5,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.291811570600528,0.0851539927363467,0.0765059964120306,0.276597173543098,af,100,6,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0411224075450826,0.00169105240230387,0.00603802332250969,0.0777047187917805,af,100,6,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.215496785160436,0.046438864414483,0.0417226659620475,0.204261268874076,af,100,6,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0325964007178645,0.00106252533975959,0.00379382257668981,0.0615940141303504,af,100,6,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.257216302326961,0.0661602261827547,0.0594411825482903,0.243805624521442,af,200,1,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0379520025615812,0.00144035449843427,0.00514288856003475,0.0717139356055345,af,200,1,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.218343669343442,0.0476739579423581,0.0428323269183423,0.206959722937441,af,200,1,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0346967139182348,0.00120386195672383,0.00429847505723507,0.0655627566323677,af,200,1,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.28207874420243,0.0795684179308199,0.0714876766327825,0.26737179475925,af,200,2,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0396905780583241,0.00157534198660392,0.00562487102297021,0.0749991401482058,af,200,2,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.213495476406942,0.045580318446227,0.0409513114705403,0.202364303844676,af,200,2,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.03221902586874,0.00103806562793054,0.00370648742948532,0.0608809282902726,af,200,2,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.300745982063706,0.0904481457274627,0.0812624903441135,0.285065764945764,af,200,3,cbow,dedup.af.words.unigrams.tsv,Subtitles
